device/C,kernel/C,workDimension/C,nEvents/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon Phi coprocessor x100 family,Uux3a,ONE_D,3.4603e+06,2,1,1,263,1573.4,180.686,0.013,112.605,4.263,4.543
Intel Xeon Phi coprocessor x100 family,Uux3a,ONE_D,3.4603e+06,4,1,1,263,1421.53,179.293,0.01,108.728,4.216,4.001
Intel Xeon Phi coprocessor x100 family,Uux3a,ONE_D,3.4603e+06,8,1,1,263,1416.25,179.034,0.01,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Uux3a,ONE_D,3.4603e+06,16,1,1,263,1413.42,177.015,0.01,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Uux3a,ONE_D,3.4603e+06,32,1,1,263,1414.79,177.348,0.01,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Uux3a,ONE_D,3.4603e+06,64,1,1,263,1412.94,177.041,0.01,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Uux3a,ONE_D,3.4603e+06,128,1,1,263,1412.66,177.22,0.013,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Uux3a,ONE_D,3.4603e+06,256,1,1,263,1411.58,176.952,0.011,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Uux3a,ONE_D,3.4603e+06,512,1,1,263,1412.43,177.026,0.011,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Uux3a,ONE_D,3.4603e+06,1024,1,1,263,1413.41,175.474,0.011,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Uux3a,ONE_D,3.4603e+06,2048,1,1,263,1412.82,177.011,0.011,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Uux3a,ONE_D,3.4603e+06,4096,1,1,263,1413.58,177.08,0.01,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Uux3a,ONE_D,3.4603e+06,8192,1,1,263,1411.82,177.216,0.011,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Uux3a,ONE_D,3.4603e+06,1,1,1,263,1414.49,178.582,0.011,119.016,14.766,3.131
Intel Xeon Phi coprocessor x100 family,Uux3a,ONE_D,3.4603e+06,2,1,1,263,1411.93,179.566,0.011,113.127,11.087,2.987
Intel Xeon Phi coprocessor x100 family,Uux3a,ONE_D,3.4603e+06,4,1,1,263,1411.35,178.528,0.011,109.225,9.594,3.144
Intel Xeon Phi coprocessor x100 family,Uux3a,ONE_D,3.4603e+06,8,1,1,263,1411.72,178.717,0.01,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Uux3a,ONE_D,3.4603e+06,16,1,1,263,1412.48,176.559,0.011,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Uux3a,ONE_D,3.4603e+06,32,1,1,263,1412.35,177.133,0.014,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Uux3a,ONE_D,3.4603e+06,64,1,1,263,1417.64,177.494,0.011,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Uux3a,ONE_D,3.4603e+06,128,1,1,263,1411.67,177.198,0.014,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Uux3a,ONE_D,3.4603e+06,256,1,1,263,1411.52,176.565,0.011,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Uux3a,ONE_D,3.4603e+06,512,1,1,263,1412.55,176.873,0.01,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Uux3a,ONE_D,3.4603e+06,1024,1,1,263,1412.23,176.768,0.012,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Uux3a,ONE_D,3.4603e+06,2048,1,1,263,1412.4,176.68,0.01,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Uux3a,ONE_D,3.4603e+06,4096,1,1,263,1411.63,177.877,0.01,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Uux3a,ONE_D,3.4603e+06,8192,1,1,263,1414.57,177.443,0.013,-1,-1,-1
