device/C,kernel/C,workDimension/C,a/F,b/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon Phi coprocessor x100 family,Computation,ONE_D,498,948,1,1,1,896,0.006,0,0.004,1.386,0,2.198
Intel Xeon Phi coprocessor x100 family,Computation,ONE_D,498,948,2,1,1,896,0.011,0.001,0.004,0.661,0,1.004
Intel Xeon Phi coprocessor x100 family,Computation,ONE_D,498,948,4,1,1,896,0.004,0,0.002,0.57,0.001,0.912
Intel Xeon Phi coprocessor x100 family,Computation,ONE_D,498,948,8,1,1,896,0.013,0,0.004,0.553,0,0.933
Intel Xeon Phi coprocessor x100 family,Computation,ONE_D,498,948,16,1,1,896,0.012,0.001,0.004,0.613,0.001,0.925
Intel Xeon Phi coprocessor x100 family,Computation,ONE_D,498,948,32,1,1,896,0.025,0,0.004,0.554,0,0.951
Intel Xeon Phi coprocessor x100 family,Computation,ONE_D,498,948,64,1,1,896,0.011,0,0.004,0.564,0,0.965
Intel Xeon Phi coprocessor x100 family,Computation,ONE_D,498,948,128,1,1,896,0.013,0,0.004,0.555,0.001,0.946
Intel Xeon Phi coprocessor x100 family,Computation,ONE_D,498,948,256,1,1,896,0.012,0,0.004,0.593,0,0.909
Intel Xeon Phi coprocessor x100 family,Computation,ONE_D,498,948,512,1,1,896,0.011,0.001,0.003,0.533,0,0.955
Intel Xeon Phi coprocessor x100 family,Computation,ONE_D,498,948,1024,1,1,896,0.011,0,0.003,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Computation,ONE_D,498,948,2048,1,1,896,0.013,0,0.004,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Computation,ONE_D,498,948,4096,1,1,896,0.012,0,0.004,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Computation,ONE_D,498,948,8192,1,1,896,0.013,0,0.004,-1,-1,-1
