device/C,kernel/C,workDimension/C,actualMB/F,width/F,height/F,nSteps/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon Phi coprocessor x100 family,FluidSimulation,ONE_D,32,2048,2048,3,1,1,1,32,500.888,355.057,0.027,1042.18,0.001,8.243
Intel Xeon Phi coprocessor x100 family,FluidSimulation,ONE_D,32,2048,2048,3,2,1,1,32,498.982,360.77,0.019,982.89,0.001,6.912
Intel Xeon Phi coprocessor x100 family,FluidSimulation,ONE_D,32,2048,2048,3,4,1,1,32,494.487,366.086,0.018,916.907,0.001,7.264
Intel Xeon Phi coprocessor x100 family,FluidSimulation,ONE_D,32,2048,2048,3,8,1,1,32,502.549,361.686,0.019,1039.37,0.001,7.074
Intel Xeon Phi coprocessor x100 family,FluidSimulation,ONE_D,32,2048,2048,3,16,1,1,32,493.794,360.495,0.011,1008.87,0.001,8.754
Intel Xeon Phi coprocessor x100 family,FluidSimulation,ONE_D,32,2048,2048,3,32,1,1,32,565.579,345.547,0.026,943.96,0.001,7.383
Intel Xeon Phi coprocessor x100 family,FluidSimulation,ONE_D,32,2048,2048,3,64,1,1,32,497.861,355.937,0.015,960.804,0.001,6.444
Intel Xeon Phi coprocessor x100 family,FluidSimulation,ONE_D,32,2048,2048,3,128,1,1,32,496.824,349.71,0.014,948.641,0.001,7.192
Intel Xeon Phi coprocessor x100 family,FluidSimulation,ONE_D,32,2048,2048,3,256,1,1,32,499.442,345.335,0.014,944.739,0.001,9.49
Intel Xeon Phi coprocessor x100 family,FluidSimulation,ONE_D,32,2048,2048,3,512,1,1,32,498.073,346.238,0.016,941.634,0.001,7.159
Intel Xeon Phi coprocessor x100 family,FluidSimulation,ONE_D,32,2048,2048,3,1024,1,1,32,499.633,347.903,0.017,948.178,0.001,9.433
Intel Xeon Phi coprocessor x100 family,FluidSimulation,ONE_D,32,2048,2048,3,2048,1,1,32,497.924,345.519,0.017,953.91,0.001,7.168
Intel Xeon Phi coprocessor x100 family,FluidSimulation,ONE_D,32,2048,2048,3,4096,1,1,32,498.47,350.089,0.015,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,FluidSimulation,ONE_D,32,2048,2048,3,8192,1,1,32,497.41,349.197,0.016,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,FluidSimulation,ONE_D,32,2048,2048,3,1,1,1,32,498.226,358.33,0.011,1046.57,0.001,6.443
Intel Xeon Phi coprocessor x100 family,FluidSimulation,ONE_D,32,2048,2048,3,2,1,1,32,499.006,360.099,0.01,899.321,0.001,6.434
Intel Xeon Phi coprocessor x100 family,FluidSimulation,ONE_D,32,2048,2048,3,4,1,1,32,498.932,355.614,0.018,1271.41,0.001,8.318
Intel Xeon Phi coprocessor x100 family,FluidSimulation,ONE_D,32,2048,2048,3,8,1,1,32,577.865,346.305,0.016,1049.54,0.001,9.353
Intel Xeon Phi coprocessor x100 family,FluidSimulation,ONE_D,32,2048,2048,3,16,1,1,32,495.159,345.771,0.017,925.089,0.002,6.994
Intel Xeon Phi coprocessor x100 family,FluidSimulation,ONE_D,32,2048,2048,3,32,1,1,32,501.811,347.779,0.015,930.102,0.001,7.256
Intel Xeon Phi coprocessor x100 family,FluidSimulation,ONE_D,32,2048,2048,3,64,1,1,32,495.534,351.74,0.026,963.451,0.001,6.738
Intel Xeon Phi coprocessor x100 family,FluidSimulation,ONE_D,32,2048,2048,3,128,1,1,32,495.569,347.029,0.014,934.383,0,7.578
Intel Xeon Phi coprocessor x100 family,FluidSimulation,ONE_D,32,2048,2048,3,256,1,1,32,505.983,343.285,0.026,949.324,0.001,7.351
Intel Xeon Phi coprocessor x100 family,FluidSimulation,ONE_D,32,2048,2048,3,512,1,1,32,496.769,340.452,0.015,956.576,0.001,7.331
Intel Xeon Phi coprocessor x100 family,FluidSimulation,ONE_D,32,2048,2048,3,1024,1,1,32,496.689,345.877,0.016,951.419,0.001,10.289
