device/C,kernel/C,workDimension/C,nEvents/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon Phi coprocessor x100 family,Uux3a,ONE_D,65536,1,1,1,5,9.338,13.946,0.003,7.352,0.197,3.084
Intel Xeon Phi coprocessor x100 family,Uux3a,ONE_D,65536,2,1,1,5,8.696,8.79,0.005,18.196,0.207,2.568
Intel Xeon Phi coprocessor x100 family,Uux3a,ONE_D,65536,4,1,1,5,11.187,5.609,0.006,17.894,0.26,2.588
Intel Xeon Phi coprocessor x100 family,Uux3a,ONE_D,65536,8,1,1,5,9.179,3.983,0.002,12.026,0.141,1.836
Intel Xeon Phi coprocessor x100 family,Uux3a,ONE_D,65536,16,1,1,5,10.996,4.244,0.003,12.75,0.156,2.432
Intel Xeon Phi coprocessor x100 family,Uux3a,ONE_D,65536,32,1,1,5,10.693,4.244,0.004,13.863,0.155,2.647
Intel Xeon Phi coprocessor x100 family,Uux3a,ONE_D,65536,64,1,1,5,9.876,4.45,0.003,15.013,0.176,2.759
Intel Xeon Phi coprocessor x100 family,Uux3a,ONE_D,65536,128,1,1,5,11.203,6.106,0.006,12.786,0.271,2.532
Intel Xeon Phi coprocessor x100 family,Uux3a,ONE_D,65536,256,1,1,5,11.189,5.058,0.003,12.782,0.144,2.336
Intel Xeon Phi coprocessor x100 family,Uux3a,ONE_D,65536,512,1,1,5,6.489,4.91,0.003,6.086,0.141,2.316
Intel Xeon Phi coprocessor x100 family,Uux3a,ONE_D,65536,1024,1,1,5,6.356,4.102,0.002,4.187,0.183,2.614
Intel Xeon Phi coprocessor x100 family,Uux3a,ONE_D,65536,2048,1,1,5,8.671,4.9,0.004,3.617,0.201,2.555
Intel Xeon Phi coprocessor x100 family,Uux3a,ONE_D,65536,4096,1,1,5,7.782,5.542,0.002,7.122,0.224,2.642
Intel Xeon Phi coprocessor x100 family,Uux3a,ONE_D,65536,8192,1,1,5,11.157,4.193,0.003,7.703,0.172,2.769
Intel Xeon Phi coprocessor x100 family,Uux3a,ONE_D,65536,1,1,1,5,10.492,5.481,0.004,7.444,0.591,2.819
Intel Xeon Phi coprocessor x100 family,Uux3a,ONE_D,65536,2,1,1,5,11.714,6.974,0.006,13.711,0.222,2.048
Intel Xeon Phi coprocessor x100 family,Uux3a,ONE_D,65536,4,1,1,5,8.628,5.421,0.005,10.989,0.211,1.897
Intel Xeon Phi coprocessor x100 family,Uux3a,ONE_D,65536,8,1,1,5,11.776,5.502,0.004,9.651,0.209,2.627
Intel Xeon Phi coprocessor x100 family,Uux3a,ONE_D,65536,16,1,1,5,10.136,5.072,0.003,10.393,0.201,2.468
Intel Xeon Phi coprocessor x100 family,Uux3a,ONE_D,65536,32,1,1,5,11.193,4.232,0.004,14.151,0.2,1.8
Intel Xeon Phi coprocessor x100 family,Uux3a,ONE_D,65536,64,1,1,5,10.639,4.22,0.004,16.399,0.203,2.006
