device/C,kernel/C,workDimension/C,width/F,height/F,nSteps/F,xLocal/I,yLocal/I,zLocal/I,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Tesla K20Xm,FluidSimulation,TWO_D,2048,2048,5,1,1,1,105.307,0.005,2468.32,0.002,3.502
Tesla K20Xm,FluidSimulation,TWO_D,2048,2048,5,1,2,1,103.13,0.004,2115.88,0.001,3.356
Tesla K20Xm,FluidSimulation,TWO_D,2048,2048,5,1,4,1,105.504,0.004,1958.11,0.001,3.406
Tesla K20Xm,FluidSimulation,TWO_D,2048,2048,5,1,8,1,102.88,0.005,1863.72,0.001,3.599
Tesla K20Xm,FluidSimulation,TWO_D,2048,2048,5,1,16,1,103.191,0.004,1833.69,0.001,3.685
Tesla K20Xm,FluidSimulation,TWO_D,2048,2048,5,1,32,1,102.961,0.004,1827.92,0.002,3.65
Tesla K20Xm,FluidSimulation,TWO_D,2048,2048,5,1,64,1,102.882,0.005,1840.15,0.001,3.803
Tesla K20Xm,FluidSimulation,TWO_D,2048,2048,5,1,128,1,103.673,0.004,1844.75,0.001,3.719
Tesla K20Xm,FluidSimulation,TWO_D,2048,2048,5,1,256,1,102.879,0.004,1856.25,0.001,3.697
Tesla K20Xm,FluidSimulation,TWO_D,2048,2048,5,1,512,1,103.186,0.004,1898.75,0.001,3.684
Tesla K20Xm,FluidSimulation,TWO_D,2048,2048,5,1,1024,1,102.952,0.004,1959.45,0.001,3.842
Tesla K20Xm,FluidSimulation,TWO_D,2048,2048,5,2,1,1,103.496,0.004,2094.53,0.001,3.742
Tesla K20Xm,FluidSimulation,TWO_D,2048,2048,5,2,2,1,103.347,0.004,1922.21,0.001,3.658
Tesla K20Xm,FluidSimulation,TWO_D,2048,2048,5,2,4,1,102.873,0.004,1840.78,0.002,3.699
Tesla K20Xm,FluidSimulation,TWO_D,2048,2048,5,2,8,1,103.819,0.004,1804.74,0.001,3.708
Tesla K20Xm,FluidSimulation,TWO_D,2048,2048,5,2,16,1,103.605,0.004,1790.02,0.001,3.655
Tesla K20Xm,FluidSimulation,TWO_D,2048,2048,5,2,32,1,102.969,0.012,1799.51,0.001,3.668
Tesla K20Xm,FluidSimulation,TWO_D,2048,2048,5,2,64,1,103.071,0.004,1799.39,0.001,3.647
Tesla K20Xm,FluidSimulation,TWO_D,2048,2048,5,2,128,1,102.989,0.005,1801.58,0,3.737
Tesla K20Xm,FluidSimulation,TWO_D,2048,2048,5,2,256,1,103.434,0.004,1804.8,0.001,3.655
Tesla K20Xm,FluidSimulation,TWO_D,2048,2048,5,2,512,1,102.921,0.004,1821,0.001,3.705
Tesla K20Xm,FluidSimulation,TWO_D,2048,2048,5,4,1,1,102.911,0.004,1909.8,0.001,3.644
Tesla K20Xm,FluidSimulation,TWO_D,2048,2048,5,4,2,1,103.674,0.004,1832.72,0.001,3.688
Tesla K20Xm,FluidSimulation,TWO_D,2048,2048,5,4,4,1,103.012,0.004,1787.89,0.001,3.675
Tesla K20Xm,FluidSimulation,TWO_D,2048,2048,5,4,8,1,103.041,0.004,1775.16,0.001,3.761
Tesla K20Xm,FluidSimulation,TWO_D,2048,2048,5,4,16,1,103.004,0.004,1775.29,0.001,3.658
Tesla K20Xm,FluidSimulation,TWO_D,2048,2048,5,4,32,1,103.147,0.004,1774.93,0.001,3.676
Tesla K20Xm,FluidSimulation,TWO_D,2048,2048,5,4,64,1,103.423,0.004,1772.67,0.001,3.724
Tesla K20Xm,FluidSimulation,TWO_D,2048,2048,5,4,128,1,102.833,0.003,1774.07,0.001,3.663
Tesla K20Xm,FluidSimulation,TWO_D,2048,2048,5,4,256,1,102.815,0.004,1779.32,0.001,3.715
Tesla K20Xm,FluidSimulation,TWO_D,2048,2048,5,8,1,1,102.934,0.003,1821.74,0.001,3.66
Tesla K20Xm,FluidSimulation,TWO_D,2048,2048,5,8,2,1,103.26,0.004,1781.72,0.001,3.653
Tesla K20Xm,FluidSimulation,TWO_D,2048,2048,5,8,4,1,103.309,0.004,1770.2,0.001,3.652
Tesla K20Xm,FluidSimulation,TWO_D,2048,2048,5,8,8,1,102.815,0.004,1769.68,0.001,3.682
Tesla K20Xm,FluidSimulation,TWO_D,2048,2048,5,8,16,1,102.983,0.004,1768.99,0.001,3.657
Tesla K20Xm,FluidSimulation,TWO_D,2048,2048,5,8,32,1,103.013,0.004,1766.39,0.001,3.646
Tesla K20Xm,FluidSimulation,TWO_D,2048,2048,5,8,64,1,103.113,0.004,1766.55,0.001,3.638
Tesla K20Xm,FluidSimulation,TWO_D,2048,2048,5,8,128,1,102.954,0.004,1768.93,0.001,3.647
Tesla K20Xm,FluidSimulation,TWO_D,2048,2048,5,16,1,1,102.864,0.005,1777.42,0.001,3.694
Tesla K20Xm,FluidSimulation,TWO_D,2048,2048,5,16,2,1,103.447,0.004,1764.27,0.001,3.666
Tesla K20Xm,FluidSimulation,TWO_D,2048,2048,5,16,4,1,103.79,0.005,1761.13,0.001,3.664
Tesla K20Xm,FluidSimulation,TWO_D,2048,2048,5,16,8,1,102.806,0.004,1763.46,0.001,3.675
Tesla K20Xm,FluidSimulation,TWO_D,2048,2048,5,16,16,1,102.943,0.004,1765.01,0.001,3.677
Tesla K20Xm,FluidSimulation,TWO_D,2048,2048,5,16,32,1,103.18,0.004,1761.09,0.001,3.816
Tesla K20Xm,FluidSimulation,TWO_D,2048,2048,5,16,64,1,103.076,0.004,1765.45,0.001,3.631
Tesla K20Xm,FluidSimulation,TWO_D,2048,2048,5,32,1,1,103.628,0.004,1759.9,0.001,3.64
Tesla K20Xm,FluidSimulation,TWO_D,2048,2048,5,32,2,1,102.992,0.004,1755.22,0.001,3.664
Tesla K20Xm,FluidSimulation,TWO_D,2048,2048,5,32,4,1,103.184,0.004,1758.36,0.002,3.683
Tesla K20Xm,FluidSimulation,TWO_D,2048,2048,5,32,8,1,103.337,0.004,1758.52,0.001,3.655
Tesla K20Xm,FluidSimulation,TWO_D,2048,2048,5,32,16,1,102.878,0.004,1760.26,0.001,3.731
Tesla K20Xm,FluidSimulation,TWO_D,2048,2048,5,32,32,1,103.03,0.004,1763.53,0.001,3.665
Tesla K20Xm,FluidSimulation,TWO_D,2048,2048,5,64,1,1,103.04,0.004,1751.24,0.001,3.712
Tesla K20Xm,FluidSimulation,TWO_D,2048,2048,5,64,2,1,103.023,0.004,1754.85,0.001,3.642
Tesla K20Xm,FluidSimulation,TWO_D,2048,2048,5,64,4,1,102.911,0.004,1758.26,0.001,3.708
Tesla K20Xm,FluidSimulation,TWO_D,2048,2048,5,64,8,1,102.882,0.004,1761.71,0.001,4.052
Tesla K20Xm,FluidSimulation,TWO_D,2048,2048,5,64,16,1,103.024,0.004,1764.04,0.001,3.657
Tesla K20Xm,FluidSimulation,TWO_D,2048,2048,5,128,1,1,103.379,0.004,1752.32,0.001,3.682
Tesla K20Xm,FluidSimulation,TWO_D,2048,2048,5,128,2,1,102.929,0.004,1755.82,0.001,3.637
Tesla K20Xm,FluidSimulation,TWO_D,2048,2048,5,128,4,1,103.049,0.004,1759.91,0.001,3.646
Tesla K20Xm,FluidSimulation,TWO_D,2048,2048,5,128,8,1,103.272,0.004,1764.02,0.001,3.647
Tesla K20Xm,FluidSimulation,TWO_D,2048,2048,5,256,1,1,103.034,0.005,1753.27,0.001,3.639
Tesla K20Xm,FluidSimulation,TWO_D,2048,2048,5,256,2,1,102.868,0.004,1758.46,0.001,3.696
Tesla K20Xm,FluidSimulation,TWO_D,2048,2048,5,256,4,1,103.049,0.004,1764.36,0.001,3.682
Tesla K20Xm,FluidSimulation,TWO_D,2048,2048,5,512,1,1,103.075,0.004,1759.58,0.001,3.66
Tesla K20Xm,FluidSimulation,TWO_D,2048,2048,5,512,2,1,102.945,0.004,1765.97,0.001,3.595
Tesla K20Xm,FluidSimulation,TWO_D,2048,2048,5,1024,1,1,102.96,0.004,1765.11,0.001,3.619
Tesla K20Xm,FluidSimulation,TWO_D,2048,2048,5,1,1,1,206.192,0.003,3075.82,0.001,3.514
Tesla K20Xm,FluidSimulation,TWO_D,2048,2048,5,1,2,1,105.974,0.005,2396.85,0.001,3.57
Tesla K20Xm,FluidSimulation,TWO_D,2048,2048,5,1,4,1,103.618,0.005,1957.49,0.001,3.415
Tesla K20Xm,FluidSimulation,TWO_D,2048,2048,5,1,8,1,103.373,0.005,1868.28,0.001,3.487
Tesla K20Xm,FluidSimulation,TWO_D,2048,2048,5,1,16,1,103.756,0.005,1836.08,0.002,3.462
Tesla K20Xm,FluidSimulation,TWO_D,2048,2048,5,1,32,1,103.565,0.005,1831.62,0.001,3.455
Tesla K20Xm,FluidSimulation,TWO_D,2048,2048,5,1,64,1,103.415,0.005,1848.03,0.002,3.495
Tesla K20Xm,FluidSimulation,TWO_D,2048,2048,5,1,128,1,103.403,0.004,1847.34,0.001,3.497
Tesla K20Xm,FluidSimulation,TWO_D,2048,2048,5,1,256,1,103.163,0.005,1860.32,0.001,3.485
Tesla K20Xm,FluidSimulation,TWO_D,2048,2048,5,1,512,1,103.907,0.005,1899.31,0.002,3.466
Tesla K20Xm,FluidSimulation,TWO_D,2048,2048,5,1,1024,1,103.32,0.005,1966.62,0.001,3.49
Tesla K20Xm,FluidSimulation,TWO_D,2048,2048,5,2,1,1,103.349,0.005,2097.81,0,3.472
Tesla K20Xm,FluidSimulation,TWO_D,2048,2048,5,2,2,1,103.353,0.004,1926.27,0.001,3.466
Tesla K20Xm,FluidSimulation,TWO_D,2048,2048,5,2,4,1,103.404,0.005,1845.26,0.001,3.515
Tesla K20Xm,FluidSimulation,TWO_D,2048,2048,5,2,8,1,103.473,0.004,1806.82,0.001,3.764
Tesla K20Xm,FluidSimulation,TWO_D,2048,2048,5,2,16,1,109.698,0.005,1793.98,0.001,3.45
Tesla K20Xm,FluidSimulation,TWO_D,2048,2048,5,2,32,1,103.644,0.004,1799.37,0.001,3.477
Tesla K20Xm,FluidSimulation,TWO_D,2048,2048,5,2,64,1,104.1,0.004,1802.1,0.002,3.5
Tesla K20Xm,FluidSimulation,TWO_D,2048,2048,5,2,128,1,103.84,0.005,1805.72,0.001,3.448
Tesla K20Xm,FluidSimulation,TWO_D,2048,2048,5,2,256,1,104.082,0.004,1807.61,0.001,3.449
Tesla K20Xm,FluidSimulation,TWO_D,2048,2048,5,2,512,1,103.425,0.005,1824.09,0.001,3.499
Tesla K20Xm,FluidSimulation,TWO_D,2048,2048,5,4,1,1,103.357,0.004,1911.37,0.001,3.439
Tesla K20Xm,FluidSimulation,TWO_D,2048,2048,5,4,2,1,103.611,0.004,1829.83,0.001,3.443
Tesla K20Xm,FluidSimulation,TWO_D,2048,2048,5,4,4,1,103.737,0.005,1790.77,0.001,3.497
Tesla K20Xm,FluidSimulation,TWO_D,2048,2048,5,4,8,1,103.228,0.005,1776.39,0.001,3.494
Tesla K20Xm,FluidSimulation,TWO_D,2048,2048,5,4,16,1,103.411,0.005,1777.83,0.001,3.497
Tesla K20Xm,FluidSimulation,TWO_D,2048,2048,5,4,32,1,103.33,0.004,1777.63,0.001,3.498
Tesla K20Xm,FluidSimulation,TWO_D,2048,2048,5,4,64,1,103.697,0.004,1778.32,0.001,3.447
Tesla K20Xm,FluidSimulation,TWO_D,2048,2048,5,4,128,1,103.895,0.003,1775.64,0.001,3.464
Tesla K20Xm,FluidSimulation,TWO_D,2048,2048,5,4,256,1,104.016,0.004,1781.51,0.001,3.518
Tesla K20Xm,FluidSimulation,TWO_D,2048,2048,5,8,1,1,103.29,0.005,1824.25,0.001,3.448
Tesla K20Xm,FluidSimulation,TWO_D,2048,2048,5,8,2,1,103.49,0.005,1783.82,0.002,3.446
Tesla K20Xm,FluidSimulation,TWO_D,2048,2048,5,8,4,1,103.454,0.005,1772.96,0.001,3.509
