device/C,kernel/C,workDimension/C,N/F,P/F,M/F,xLocal/I,yLocal/I,zLocal/I,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Tesla K20Xm,MatrixMultiplication,TWO_D,2048,4096,1024,1,1,1,17.113,0.003,9190.88,4.599,0.587
Tesla K20Xm,MatrixMultiplication,TWO_D,2048,4096,1024,1,2,1,17.382,0.002,4712.18,3.076,0.604
Tesla K20Xm,MatrixMultiplication,TWO_D,2048,4096,1024,1,4,1,17.28,0.002,2571.73,2.996,0.627
Tesla K20Xm,MatrixMultiplication,TWO_D,2048,4096,1024,1,8,1,17.138,0.002,2049.41,2.995,0.616
Tesla K20Xm,MatrixMultiplication,TWO_D,2048,4096,1024,1,16,1,17.145,0.003,1901.16,2.991,0.61
Tesla K20Xm,MatrixMultiplication,TWO_D,2048,4096,1024,1,32,1,17.215,0.003,1821.42,2.988,0.603
Tesla K20Xm,MatrixMultiplication,TWO_D,2048,4096,1024,1,64,1,17.117,0.003,1816.74,3,0.61
Tesla K20Xm,MatrixMultiplication,TWO_D,2048,4096,1024,1,128,1,17.139,0.002,1829.81,3.04,0.608
Tesla K20Xm,MatrixMultiplication,TWO_D,2048,4096,1024,1,256,1,17.163,0.002,1841.85,2.987,0.604
Tesla K20Xm,MatrixMultiplication,TWO_D,2048,4096,1024,1,512,1,17.166,0.003,1866.07,2.992,0.608
Tesla K20Xm,MatrixMultiplication,TWO_D,2048,4096,1024,1,1024,1,17.147,0.002,2012.55,2.987,0.608
Tesla K20Xm,MatrixMultiplication,TWO_D,2048,4096,1024,2,1,1,17.152,0.002,4692.77,3.034,0.62
Tesla K20Xm,MatrixMultiplication,TWO_D,2048,4096,1024,2,2,1,17.123,0.002,2360.51,2.979,0.603
Tesla K20Xm,MatrixMultiplication,TWO_D,2048,4096,1024,2,4,1,17.127,0.003,1293.74,3.08,0.61
Tesla K20Xm,MatrixMultiplication,TWO_D,2048,4096,1024,2,8,1,17.168,0.003,1029.07,2.999,0.627
Tesla K20Xm,MatrixMultiplication,TWO_D,2048,4096,1024,2,16,1,17.148,0.002,953.92,3.033,0.61
