device/C,kernel/C,workDimension/C,width/F,height/F,xLocal/I,yLocal/I,zLocal/I,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,64,8,1,87.375,0.003,4.092,124.544,1.569
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,64,16,1,87.445,0.003,4.301,125.927,1.564
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,128,1,1,87.488,0.003,3.929,124.424,1.58
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,128,2,1,87.456,0.003,3.924,125.078,1.581
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,128,4,1,87.257,0.003,4.033,124.879,1.592
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,128,8,1,87.986,0.003,4.262,124.447,1.588
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,256,1,1,87.659,0.003,3.99,124.853,1.536
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,256,2,1,87.402,0.003,4.009,124.601,1.559
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,256,4,1,87.333,0.003,4.396,124.52,1.566
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,512,1,1,87.414,0.003,4.122,124.437,1.561
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,512,2,1,87.299,0.002,4.26,125.098,1.612
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,1024,1,1,87.297,0.003,4.296,124.532,1.566
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,1,1,1,178.349,0.003,269.004,134.637,1.569
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,1,2,1,178.421,0.003,146.741,134.631,1.564
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,1,4,1,178.566,0.003,78.368,134.548,1.574
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,1,8,1,178.747,0.002,45.801,134.584,1.574
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,1,16,1,178.765,0.002,31.586,135.571,1.563
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,1,32,1,178.552,0.003,24.67,134.457,1.567
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,1,64,1,178.431,0.003,22.629,134.554,1.587
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,1,128,1,178.469,0.003,22.646,134.553,1.558
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,1,256,1,178.553,0.003,23.412,134.519,1.567
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,1,512,1,178.637,0.002,25.01,134.513,1.557
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,1,1024,1,178.413,0.003,25.729,135.619,1.57
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,2,1,1,178.466,0.003,133.196,135.033,1.549
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,2,2,1,178.405,0.003,74.591,134.601,1.574
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,2,4,1,178.417,0.002,39.678,134.474,1.573
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,2,8,1,178.367,0.003,23.39,134.558,1.559
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,2,16,1,178.462,0.003,16.134,134.708,1.554
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,2,32,1,178.906,0.003,11.841,134.598,1.559
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,2,64,1,178.378,0.003,11.984,134.658,1.589
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,2,128,1,178.461,0.003,13.868,134.645,1.583
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,2,256,1,178.466,0.002,15.152,134.623,1.564
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,2,512,1,178.294,0.002,15.585,134.562,1.567
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,4,1,1,178.414,0.003,66.095,134.704,1.563
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,4,2,1,178.816,0.003,37.784,134.879,1.56
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,4,4,1,178.455,0.003,20.251,135.068,1.552
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,4,8,1,178.514,0.002,12.295,134.642,1.525
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,4,16,1,178.412,0.003,7.425,134.717,1.584
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,4,32,1,178.091,0.003,6.662,134.883,1.588
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,4,64,1,178.228,0.003,6.856,135.034,1.557
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,4,128,1,178.454,0.003,7.784,135.527,1.566
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,4,256,1,178.362,0.003,8.625,134.669,1.588
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,8,1,1,178.219,0.003,33.775,134.632,1.56
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,8,2,1,178.462,0.003,19.219,134.75,1.547
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,8,4,1,178.4,0.003,10.77,135.139,1.56
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,8,8,1,178.202,0.003,6.163,139.817,1.524
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,8,16,1,177.92,0.003,4.548,135.491,1.574
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,8,32,1,178.116,0.003,4.704,134.505,1.543
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,8,64,1,177.462,0.002,4.969,131.863,1.552
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,8,128,1,177.379,0.003,5.608,134.596,1.564
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,16,1,1,178.18,0.003,17.433,134.583,1.565
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,16,2,1,179.157,0.003,10.158,134.625,1.565
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,16,4,1,178.817,0.004,5.745,134.77,1.582
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,16,8,1,177.535,0.003,4.154,134.636,1.535
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,16,16,1,178.297,0.002,4.197,134.61,1.544
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,16,32,1,178.283,0.003,4.331,134.707,1.573
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,16,64,1,177.795,0.003,4.834,134.733,1.575
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,32,1,1,178.63,0.002,9.328,135.158,1.573
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,32,2,1,178.23,0.003,5.534,134.685,1.57
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,32,4,1,178.05,0.003,3.998,134.709,1.556
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,32,8,1,178.235,0.003,4.111,134.592,1.578
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,32,16,1,178.344,0.002,4.277,134.626,1.534
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,32,32,1,178.341,0.003,4.407,134.653,1.567
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,64,1,1,178.406,0.004,5.442,135.232,1.56
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,64,2,1,178.406,0.002,3.965,134.514,1.566
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,64,4,1,178.395,0.003,4.053,134.718,1.566
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,64,8,1,178.523,0.004,4.119,134.514,1.565
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,64,16,1,178.419,0.003,4.387,134.466,1.56
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,128,1,1,179.209,0.003,4.011,134.504,1.583
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,128,2,1,178.436,0.004,4.049,134.538,1.566
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,128,4,1,178.488,0.004,4.082,134.653,1.558
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,128,8,1,178.303,0.004,4.357,134.651,1.561
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,256,1,1,178.479,0.004,4.038,134.611,1.592
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,256,2,1,178.574,0.003,4.061,134.571,1.564
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,256,4,1,178.739,0.003,4.337,135.167,1.586
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,512,1,1,167.799,0.003,4.116,134.707,1.529
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,512,2,1,178.348,0.004,4.441,134.56,1.554
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,1024,1,1,178.372,0.003,4.364,134.493,1.547
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,1,1,1,87.615,0.003,269.246,124.404,1.561
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,1,2,1,87.038,0.003,146.69,124.206,1.554
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,1,4,1,86.981,0.003,78.325,124.287,1.55
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,1,8,1,86.935,0.003,45.712,124.125,1.563
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,1,16,1,86.971,0.003,31.504,124.732,1.549
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,1,32,1,86.961,0.004,24.556,124.464,1.551
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,1,64,1,86.983,0.003,22.529,124.774,1.549
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,1,128,1,87.045,0.003,22.578,124.322,1.558
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,1,256,1,87.841,0.003,23.255,124.298,1.553
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,1,512,1,87.068,0.003,24.894,124.287,1.556
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,1,1024,1,86.933,0.003,25.571,124.25,1.559
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,2,1,1,87.043,0.003,133.465,124.284,1.556
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,2,2,1,87.241,0.003,74.664,124.302,1.581
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,2,4,1,87.839,0.003,39.695,124.242,1.634
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,2,8,1,87.063,0.003,23.38,124.423,1.574
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,2,16,1,87.096,0.003,16.125,124.304,1.556
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,2,32,1,86.975,0.003,11.791,124.234,1.552
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,2,64,1,87.041,0.003,11.922,124.582,1.562
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,2,128,1,87.159,0.004,13.809,124.773,1.554
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,2,256,1,87.019,0.003,14.876,124.898,1.554
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,2,512,1,87.175,0.003,15.505,124.77,1.574
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,4,1,1,86.897,0.003,66.105,124.395,1.573
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,4,2,1,86.903,0.004,37.836,124.241,1.568
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,4,4,1,87.147,0.003,20.264,124.393,1.564
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,4,8,1,87.349,0.003,12.177,124.156,1.583
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,4,16,1,86.966,0.003,7.353,124.376,1.564
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,4,32,1,86.978,0.003,6.66,124.43,1.555
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,4,64,1,87.035,0.003,6.81,125.702,1.561
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,4,128,1,87.355,0.003,7.714,124.176,1.557
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,4,256,1,87.023,0.003,8.553,124.743,1.545
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,8,1,1,87.005,0.003,33.728,124.197,1.546
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,8,2,1,86.926,0.003,19.218,124.225,1.543
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,8,4,1,87.135,0.003,10.609,124.288,1.533
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,8,8,1,87.013,0.004,6.099,124.181,1.55
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,8,16,1,86.915,0.003,4.505,124.248,1.587
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,8,32,1,86.983,0.003,4.617,124.535,1.546
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,8,64,1,87.15,0.003,4.879,125.409,1.548
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,8,128,1,87.25,0.003,5.538,124.243,1.548
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,16,1,1,87.125,0.003,17.405,124.812,1.556
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,16,2,1,86.978,0.003,10.104,124.438,1.563
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,16,4,1,87.684,0.003,5.72,124.21,1.553
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,16,8,1,87.079,0.003,4.033,124.225,1.556
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,16,16,1,87.01,0.003,4.15,124.327,1.576
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,16,32,1,87.069,0.003,4.267,124.272,1.563
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,16,64,1,86.986,0.003,4.726,124.23,1.549
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,32,1,1,87.051,0.003,9.304,124.75,1.579
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,32,2,1,87.003,0.003,5.405,124.629,1.544
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,32,4,1,87.234,0.003,3.916,124.869,1.558
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,32,8,1,87.177,0.003,4.063,124.201,1.548
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,32,16,1,87.57,0.003,4.067,125.011,1.546
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,32,32,1,87.318,0.004,4.335,124.736,1.566
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,64,1,1,87.518,0.003,5.347,124.171,1.562
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,64,2,1,86.972,0.003,3.942,124.341,1.548
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,64,4,1,86.995,0.003,3.993,124.35,1.542
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,64,8,1,87.06,0.003,4.038,124.39,1.557
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,64,16,1,87.078,0.003,4.336,124.173,1.553
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,128,1,1,87.029,0.003,3.95,124.263,1.546
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,128,2,1,86.908,0.003,3.903,124.458,1.571
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,128,4,1,87.041,0.003,4.074,125.67,1.549
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,128,8,1,87.195,0.003,4.25,124.195,1.548
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,256,1,1,88.804,0.004,3.978,125.062,1.555
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,256,2,1,92.82,0.003,3.997,124.308,1.545
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,256,4,1,87.724,0.003,4.235,124.251,1.561
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,512,1,1,87.071,0.003,4.105,124.322,1.544
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,512,2,1,86.98,0.003,4.239,124.172,1.536
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,1024,1,1,87.076,0.003,4.273,124.308,1.574
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,1,1,1,88.129,0.003,268.757,127.346,1.589
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,1,2,1,88.297,0.002,146.64,127.264,1.61
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,1,4,1,88.577,0.003,78.264,127.42,1.591
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,1,8,1,88.193,0.003,45.801,127.246,1.577
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,1,16,1,88.11,0.003,31.454,127.283,1.634
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,1,32,1,88.415,0.002,24.52,133.576,1.788
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,1,64,1,88.109,0.002,22.603,127.483,1.583
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,1,128,1,88.164,0.002,22.585,127.438,1.582
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,1,256,1,88.014,0.003,23.316,127.316,1.61
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,1,512,1,87.985,0.002,24.925,127.429,1.572
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,1,1024,1,88.132,0.003,25.605,128.55,1.584
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,2,1,1,88.045,0.002,133.036,127.431,1.571
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,2,2,1,88.055,0.002,74.444,127.241,1.594
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,2,4,1,88.133,0.002,39.623,127.195,1.59
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,2,8,1,88.22,0.002,23.338,127.345,1.588
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,2,16,1,88.141,0.003,16.075,127.408,1.595
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,2,32,1,88.123,0.002,11.823,127.283,1.585
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,2,64,1,88.135,0.003,11.921,127.524,1.588
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,2,128,1,88.057,0.002,13.785,128.191,1.577
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,2,256,1,88.092,0.002,14.883,127.493,1.6
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,2,512,1,88.119,0.002,15.475,127.745,1.592
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,4,1,1,88.236,0.003,65.969,127.827,1.617
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,4,2,1,88.024,0.003,37.732,127.687,1.604
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,4,4,1,88.058,0.002,20.235,127.462,1.583
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,4,8,1,88.162,0.003,12.237,127.248,1.591
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,4,16,1,88.456,0.003,7.272,127.311,1.593
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,4,32,1,88.112,0.003,6.616,127.359,1.586
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,4,64,1,88.41,0.002,6.793,127.256,1.648
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,4,128,1,88.116,0.002,7.699,127.495,1.578
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,4,256,1,88.112,0.003,8.55,127.645,1.577
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,8,1,1,88.029,0.002,33.6,127.374,1.588
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,8,2,1,88.061,0.002,19.149,127.303,1.582
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,8,4,1,88.192,0.002,10.604,127.425,1.582
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,8,8,1,88.098,0.003,6.092,127.928,1.588
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,8,16,1,88.281,0.003,4.452,127.662,1.644
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,8,32,1,88.177,0.003,4.575,127.235,1.581
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,8,64,1,88.172,0.003,4.964,127.557,1.595
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,8,128,1,88.105,0.002,5.628,127.41,1.589
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,16,1,1,87.99,0.003,17.426,127.274,1.59
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,16,2,1,88.073,0.003,10.027,127.445,1.602
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,16,4,1,87.984,0.003,5.712,127.861,1.623
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,16,8,1,88.052,0.003,4.132,127.678,1.578
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,16,16,1,88.21,0.003,4.153,127.234,1.579
Tesla K20Xm,MatrixTranspose,TWO_D,8192,8192,16,32,1,88.134,0.002,4.288,127.425,1.599
