device/C,kernel/C,workDimension/C,nBodies/F,timeStep/F,nSteps/F,xLocal/I,yLocal/I,zLocal/I,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,8,1,1,0.714,0.001,2356.84,0,0.099
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,16,1,1,0.712,0,1376.25,0,0.101
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,32,1,1,0.713,0.001,948.107,0,0.099
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,64,1,1,0.719,0,475.982,0,0.095
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,128,1,1,0.714,0.001,475.452,0.001,0.096
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,256,1,1,0.714,0,480.599,0,0.095
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,512,1,1,0.713,0.001,508.311,0,0.098
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,1024,1,1,0.716,0.001,522.565,0,0.1
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,1,1,1,1.359,0,17217.5,0,0.097
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,2,1,1,0.873,0.001,8704.55,0,0.096
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,4,1,1,0.727,0,4606.06,0,0.097
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,8,1,1,0.904,0,2357.94,0,0.095
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,16,1,1,0.736,0.001,1375.96,0,0.099
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,32,1,1,0.722,0,948.125,0,0.094
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,64,1,1,0.71,0.001,475.875,0,0.095
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,128,1,1,0.722,0,475.385,0,0.096
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,256,1,1,0.724,0.001,480.387,0,0.098
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,512,1,1,0.741,0.001,508.179,0,0.094
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,1024,1,1,0.72,0,522.392,0,0.095
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,1,1,1,1.54,0,17218.2,0,0.104
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,2,1,1,0.849,0,8704.21,0,0.106
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,4,1,1,0.8,0,4605.76,0,0.105
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,8,1,1,0.786,0,2357.66,0,0.103
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,16,1,1,0.791,0.001,1376.19,0,0.1
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,32,1,1,0.782,0.001,948.122,0,0.101
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,64,1,1,0.782,0.001,476.021,0,0.102
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,128,1,1,0.783,0,475.572,0,0.103
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,256,1,1,0.787,0.001,480.668,0.001,0.102
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,512,1,1,0.786,0,508.26,0,0.102
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,1024,1,1,0.78,0.001,522.514,0.001,0.104
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,1,1,1,1.413,0,17217.7,0,0.106
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,2,1,1,0.886,0,8704.44,0,0.101
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,4,1,1,0.851,0.001,4606,0,0.105
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,8,1,1,0.806,0.001,2357.4,0.001,0.105
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,16,1,1,0.803,0.001,1376.02,0,0.102
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,32,1,1,0.805,0.001,948.254,0,0.106
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,64,1,1,0.796,0.001,476.002,0,0.106
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,128,1,1,0.792,0.001,475.458,0,0.103
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,256,1,1,0.8,0.001,480.486,0.001,0.105
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,512,1,1,0.795,0.001,508.297,0,0.105
Tesla K20Xm,NBody,ONE_D,8192,0.005,100,1024,1,1,0.799,0.001,522.545,0,0.11
