device/C,kernel/C,workDimension/C,nElements/F,xLocal/I,yLocal/I,zLocal/I,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Tesla K20Xm,FWT,ONE_D,32768,1024,1,1,0.083,0.001,0.177,0.129,0.012
Tesla K20Xm,FWT,ONE_D,32768,1,1,1,0.085,0.001,1.886,0.083,0.015
Tesla K20Xm,FWT,ONE_D,32768,2,1,1,0.083,0,1.006,0.08,0.013
Tesla K20Xm,FWT,ONE_D,32768,4,1,1,0.082,0,0.572,0.079,0.014
Tesla K20Xm,FWT,ONE_D,32768,8,1,1,0.083,0,0.361,0.078,0.015
Tesla K20Xm,FWT,ONE_D,32768,16,1,1,0.082,0,0.244,0.078,0.013
Tesla K20Xm,FWT,ONE_D,32768,32,1,1,0.081,0,0.195,0.08,0.014
Tesla K20Xm,FWT,ONE_D,32768,64,1,1,0.083,0,0.162,0.077,0.013
Tesla K20Xm,FWT,ONE_D,32768,128,1,1,0.082,0.001,0.167,0.077,0.017
Tesla K20Xm,FWT,ONE_D,32768,256,1,1,0.085,0,0.167,0.077,0.014
Tesla K20Xm,FWT,ONE_D,32768,512,1,1,0.082,0.001,0.165,0.077,0.012
Tesla K20Xm,FWT,ONE_D,32768,1024,1,1,0.083,0,0.174,0.079,0.014
Tesla K20Xm,FWT,ONE_D,32768,1,1,1,0.131,0,2.21,0.141,0.016
Tesla K20Xm,FWT,ONE_D,32768,2,1,1,0.13,0,1.341,0.14,0.014
Tesla K20Xm,FWT,ONE_D,32768,4,1,1,0.128,0.001,0.907,0.138,0.014
Tesla K20Xm,FWT,ONE_D,32768,8,1,1,0.133,0.001,0.764,0.142,0.015
Tesla K20Xm,FWT,ONE_D,32768,16,1,1,0.127,0,0.252,0.135,0.015
Tesla K20Xm,FWT,ONE_D,32768,32,1,1,0.126,0.001,0.203,0.133,0.014
Tesla K20Xm,FWT,ONE_D,32768,64,1,1,0.13,0.001,0.718,0.138,0.013
Tesla K20Xm,FWT,ONE_D,32768,128,1,1,0.128,0,0.487,0.139,0.014
Tesla K20Xm,FWT,ONE_D,32768,256,1,1,0.129,0.001,0.483,0.136,0.014
Tesla K20Xm,FWT,ONE_D,32768,512,1,1,0.13,0.001,0.495,0.139,0.014
Tesla K20Xm,FWT,ONE_D,32768,1024,1,1,0.129,0,0.501,0.136,0.015
Tesla K20Xm,FWT,ONE_D,32768,1,1,1,0.132,0,1.893,0.132,0.016
Tesla K20Xm,FWT,ONE_D,32768,2,1,1,0.172,0.001,1.282,0.125,0.014
Tesla K20Xm,FWT,ONE_D,32768,4,1,1,0.132,0,0.894,0.128,0.015
Tesla K20Xm,FWT,ONE_D,32768,8,1,1,0.13,0.001,0.668,0.131,0.015
Tesla K20Xm,FWT,ONE_D,32768,16,1,1,0.128,0,0.558,0.126,0.014
Tesla K20Xm,FWT,ONE_D,32768,32,1,1,0.127,0,0.584,0.128,0.014
Tesla K20Xm,FWT,ONE_D,32768,64,1,1,0.127,0,0.188,0.126,0.013
Tesla K20Xm,FWT,ONE_D,32768,128,1,1,0.144,0,0.184,0.126,0.014
Tesla K20Xm,FWT,ONE_D,32768,256,1,1,0.127,0.001,0.489,0.132,0.014
Tesla K20Xm,FWT,ONE_D,32768,512,1,1,0.129,0,0.498,0.13,0.013
Tesla K20Xm,FWT,ONE_D,32768,1024,1,1,0.132,0.001,0.494,0.128,0.013
Tesla K20Xm,FWT,ONE_D,32768,1,1,1,0.086,0,1.898,0.135,0.016
Tesla K20Xm,FWT,ONE_D,32768,2,1,1,0.099,0,1.045,0.131,0.014
Tesla K20Xm,FWT,ONE_D,32768,4,1,1,0.084,0,0.572,0.132,0.014
Tesla K20Xm,FWT,ONE_D,32768,8,1,1,0.085,0,0.358,0.129,0.014
Tesla K20Xm,FWT,ONE_D,32768,16,1,1,0.083,0.001,0.256,0.132,0.014
Tesla K20Xm,FWT,ONE_D,32768,32,1,1,0.083,0,0.195,0.131,0.014
Tesla K20Xm,FWT,ONE_D,32768,64,1,1,0.083,0,0.174,0.129,0.014
Tesla K20Xm,FWT,ONE_D,32768,128,1,1,0.084,0,0.166,0.13,0.013
Tesla K20Xm,FWT,ONE_D,32768,256,1,1,0.083,0.001,0.171,0.128,0.014
Tesla K20Xm,FWT,ONE_D,32768,512,1,1,0.088,0,0.546,0.131,0.015
Tesla K20Xm,FWT,ONE_D,32768,1024,1,1,0.084,0,0.187,0.128,0.014
Tesla K20Xm,FWT,ONE_D,32768,1,1,1,0.13,0.001,1.38,0.09,0.016
Tesla K20Xm,FWT,ONE_D,32768,2,1,1,0.129,0.001,0.885,0.088,0.014
Tesla K20Xm,FWT,ONE_D,32768,4,1,1,0.126,0.001,0.358,0.085,0.014
Tesla K20Xm,FWT,ONE_D,32768,8,1,1,0.127,0.001,0.236,0.086,0.013
Tesla K20Xm,FWT,ONE_D,32768,16,1,1,0.124,0,0.183,0.086,0.013
Tesla K20Xm,FWT,ONE_D,32768,32,1,1,0.129,0,0.183,0.087,0.013
Tesla K20Xm,FWT,ONE_D,32768,64,1,1,0.126,0.001,0.438,0.088,0.014
Tesla K20Xm,FWT,ONE_D,32768,128,1,1,0.129,0,0.41,0.087,0.014
Tesla K20Xm,FWT,ONE_D,32768,256,1,1,0.126,0,0.42,0.088,0.014
Tesla K20Xm,FWT,ONE_D,32768,512,1,1,0.127,0.001,0.431,0.088,0.018
Tesla K20Xm,FWT,ONE_D,32768,1024,1,1,0.132,0.001,0.404,0.089,0.013
Tesla K20Xm,FWT,ONE_D,32768,1,1,1,0.131,0,1.374,0.089,0.016
Tesla K20Xm,FWT,ONE_D,32768,2,1,1,0.131,0.001,0.893,0.091,0.014
Tesla K20Xm,FWT,ONE_D,32768,4,1,1,0.125,0,0.359,0.084,0.014
Tesla K20Xm,FWT,ONE_D,32768,8,1,1,0.126,0,0.239,0.085,0.014
Tesla K20Xm,FWT,ONE_D,32768,16,1,1,0.125,0.001,0.186,0.086,0.013
Tesla K20Xm,FWT,ONE_D,32768,32,1,1,0.13,0,0.647,0.091,0.014
Tesla K20Xm,FWT,ONE_D,32768,64,1,1,0.128,0,0.411,0.086,0.014
Tesla K20Xm,FWT,ONE_D,32768,128,1,1,0.128,0,0.41,0.087,0.024
Tesla K20Xm,FWT,ONE_D,32768,256,1,1,0.129,0,0.39,0.089,0.013
Tesla K20Xm,FWT,ONE_D,32768,512,1,1,0.13,0,0.426,0.089,0.015
Tesla K20Xm,FWT,ONE_D,32768,1024,1,1,0.126,0,0.43,0.086,0.014
Tesla K20Xm,FWT,ONE_D,32768,1,1,1,0.083,0.001,1.078,0.156,0.02
Tesla K20Xm,FWT,ONE_D,32768,2,1,1,0.083,0,0.593,0.128,0.015
Tesla K20Xm,FWT,ONE_D,32768,4,1,1,0.081,0.001,0.356,0.144,0.015
Tesla K20Xm,FWT,ONE_D,32768,8,1,1,0.081,0.001,0.23,0.131,0.014
Tesla K20Xm,FWT,ONE_D,32768,16,1,1,0.083,0,0.561,0.129,0.014
Tesla K20Xm,FWT,ONE_D,32768,32,1,1,0.083,0.001,0.17,0.124,0.015
Tesla K20Xm,FWT,ONE_D,32768,64,1,1,0.081,0,0.15,0.139,0.014
Tesla K20Xm,FWT,ONE_D,32768,128,1,1,0.092,0.001,0.154,0.142,0.014
Tesla K20Xm,FWT,ONE_D,32768,256,1,1,0.081,0,0.156,0.127,0.013
Tesla K20Xm,FWT,ONE_D,32768,512,1,1,0.081,0,0.17,0.126,0.013
Tesla K20Xm,FWT,ONE_D,32768,1024,1,1,0.081,0,0.167,0.125,0.013
Tesla K20Xm,FWT,ONE_D,32768,1,1,1,0.085,0.001,1.092,0.135,0.016
Tesla K20Xm,FWT,ONE_D,32768,2,1,1,0.082,0.001,0.62,0.128,0.015
Tesla K20Xm,FWT,ONE_D,32768,4,1,1,0.083,0,0.364,0.13,0.014
Tesla K20Xm,FWT,ONE_D,32768,8,1,1,0.084,0,0.233,0.127,0.015
Tesla K20Xm,FWT,ONE_D,32768,16,1,1,0.082,0,0.177,0.124,0.014
Tesla K20Xm,FWT,ONE_D,32768,32,1,1,0.084,0,0.15,0.127,0.014
Tesla K20Xm,FWT,ONE_D,32768,64,1,1,0.083,0,0.154,0.128,0.014
Tesla K20Xm,FWT,ONE_D,32768,128,1,1,0.082,0,0.148,0.129,0.014
Tesla K20Xm,FWT,ONE_D,32768,256,1,1,0.082,0,0.15,0.127,0.014
Tesla K20Xm,FWT,ONE_D,32768,512,1,1,0.087,0.001,0.148,0.127,0.012
Tesla K20Xm,FWT,ONE_D,32768,1024,1,1,0.08,0.001,0.152,0.128,0.014
Tesla K20Xm,FWT,ONE_D,32768,1,1,1,0.086,0.001,1.094,0.138,0.016
Tesla K20Xm,FWT,ONE_D,32768,2,1,1,0.084,0.001,0.617,0.131,0.014
Tesla K20Xm,FWT,ONE_D,32768,4,1,1,0.083,0.001,0.362,0.131,0.013
Tesla K20Xm,FWT,ONE_D,32768,8,1,1,0.084,0,0.247,0.129,0.015
Tesla K20Xm,FWT,ONE_D,32768,16,1,1,0.083,0,0.537,0.129,0.014
Tesla K20Xm,FWT,ONE_D,32768,32,1,1,0.087,0,0.15,0.127,0.014
Tesla K20Xm,FWT,ONE_D,32768,64,1,1,0.082,0,0.145,0.126,0.013
Tesla K20Xm,FWT,ONE_D,32768,128,1,1,0.081,0,0.631,0.129,0.013
Tesla K20Xm,FWT,ONE_D,32768,256,1,1,0.083,0.001,0.15,0.168,0.014
Tesla K20Xm,FWT,ONE_D,32768,512,1,1,0.083,0,0.15,0.129,0.013
Tesla K20Xm,FWT,ONE_D,32768,1024,1,1,0.082,0,0.145,0.129,0.014
Tesla K20Xm,FWT,ONE_D,32768,1,1,1,0.085,0,1.075,0.132,0.016
Tesla K20Xm,FWT,ONE_D,32768,2,1,1,0.085,0.001,0.604,0.132,0.014
Tesla K20Xm,FWT,ONE_D,32768,4,1,1,0.084,0.001,0.362,0.13,0.014
Tesla K20Xm,FWT,ONE_D,32768,8,1,1,0.085,0.001,0.239,0.131,0.014
Tesla K20Xm,FWT,ONE_D,32768,16,1,1,0.084,0,0.181,0.129,0.015
Tesla K20Xm,FWT,ONE_D,32768,32,1,1,0.081,0.001,0.153,0.13,0.013
Tesla K20Xm,FWT,ONE_D,32768,64,1,1,0.081,0.001,0.153,0.128,0.013
Tesla K20Xm,FWT,ONE_D,32768,128,1,1,0.082,0.001,0.149,0.127,0.013
Tesla K20Xm,FWT,ONE_D,32768,256,1,1,0.083,0,0.154,0.127,0.013
Tesla K20Xm,FWT,ONE_D,32768,512,1,1,0.081,0.001,0.147,0.129,0.013
Tesla K20Xm,FWT,ONE_D,32768,1024,1,1,0.08,0,0.15,0.135,0.013
Tesla K20Xm,FWT,ONE_D,32768,1,1,1,0.132,0,1.365,0.083,0.015
Tesla K20Xm,FWT,ONE_D,32768,2,1,1,0.126,0,0.9,0.084,0.014
Tesla K20Xm,FWT,ONE_D,32768,4,1,1,0.127,0,0.659,0.086,0.013
Tesla K20Xm,FWT,ONE_D,32768,8,1,1,0.126,0,0.616,0.084,0.014
Tesla K20Xm,FWT,ONE_D,32768,16,1,1,0.126,0,0.184,0.079,0.014
Tesla K20Xm,FWT,ONE_D,32768,32,1,1,0.124,0,0.18,0.08,0.013
Tesla K20Xm,FWT,ONE_D,32768,64,1,1,0.126,0,0.18,0.081,0.014
