device/C,kernel/C,workDimension/C,nElements/F,xLocal/I,yLocal/I,zLocal/I,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Tesla K20Xm,VectorAdd,ONE_D,262144,32,1,1,1.088,0,0.373,0.911,0.189
Tesla K20Xm,VectorAdd,ONE_D,262144,64,1,1,1.098,0.001,0.557,0.914,0.182
Tesla K20Xm,VectorAdd,ONE_D,262144,128,1,1,1.098,0.001,0.538,0.923,0.197
Tesla K20Xm,VectorAdd,ONE_D,262144,256,1,1,1.099,0.001,0.431,0.913,0.195
Tesla K20Xm,VectorAdd,ONE_D,262144,512,1,1,1.089,0.001,0.328,0.909,0.189
Tesla K20Xm,VectorAdd,ONE_D,262144,1024,1,1,1.1,0.001,0.331,0.922,0.183
Tesla K20Xm,VectorAdd,ONE_D,262144,1,1,1,1.232,0.002,1.461,1.054,0.29
Tesla K20Xm,VectorAdd,ONE_D,262144,2,1,1,1.105,0,0.946,0.924,0.192
Tesla K20Xm,VectorAdd,ONE_D,262144,4,1,1,1.104,0.001,0.563,0.913,0.22
Tesla K20Xm,VectorAdd,ONE_D,262144,8,1,1,1.108,0,0.439,0.918,0.183
Tesla K20Xm,VectorAdd,ONE_D,262144,16,1,1,1.109,0,0.405,0.921,0.182
Tesla K20Xm,VectorAdd,ONE_D,262144,32,1,1,1.103,0,0.377,0.921,0.183
Tesla K20Xm,VectorAdd,ONE_D,262144,64,1,1,1.106,0.001,0.335,0.911,0.183
Tesla K20Xm,VectorAdd,ONE_D,262144,128,1,1,1.11,0,0.592,0.921,0.202
Tesla K20Xm,VectorAdd,ONE_D,262144,256,1,1,1.104,0,0.542,0.913,0.194
Tesla K20Xm,VectorAdd,ONE_D,262144,512,1,1,1.108,0.001,0.455,0.916,0.193
Tesla K20Xm,VectorAdd,ONE_D,262144,1024,1,1,1.103,0.001,0.344,0.919,0.196
Tesla K20Xm,VectorAdd,ONE_D,262144,1,1,1,2.107,0.002,1.469,0.536,0.226
Tesla K20Xm,VectorAdd,ONE_D,262144,2,1,1,1.841,0,0.951,0.543,0.209
Tesla K20Xm,VectorAdd,ONE_D,262144,4,1,1,1.874,0,0.67,0.536,0.212
Tesla K20Xm,VectorAdd,ONE_D,262144,8,1,1,1.851,0,0.553,0.526,0.209
Tesla K20Xm,VectorAdd,ONE_D,262144,16,1,1,1.847,0.001,0.391,0.522,0.222
Tesla K20Xm,VectorAdd,ONE_D,262144,32,1,1,1.845,0,0.38,0.53,0.198
Tesla K20Xm,VectorAdd,ONE_D,262144,64,1,1,1.856,0.001,0.362,0.52,0.198
Tesla K20Xm,VectorAdd,ONE_D,262144,128,1,1,1.895,0.001,0.363,0.53,0.198
Tesla K20Xm,VectorAdd,ONE_D,262144,256,1,1,1.868,0,0.346,0.522,0.212
Tesla K20Xm,VectorAdd,ONE_D,262144,512,1,1,1.875,0.001,0.343,0.52,0.199
Tesla K20Xm,VectorAdd,ONE_D,262144,1024,1,1,1.867,0,0.412,0.535,0.198
Tesla K20Xm,VectorAdd,ONE_D,262144,1,1,1,2.086,0.001,1.369,0.559,0.235
Tesla K20Xm,VectorAdd,ONE_D,262144,2,1,1,1.848,0,0.825,0.558,0.201
Tesla K20Xm,VectorAdd,ONE_D,262144,4,1,1,1.854,0.001,0.588,0.555,0.203
Tesla K20Xm,VectorAdd,ONE_D,262144,8,1,1,1.827,0.001,0.46,0.55,0.21
Tesla K20Xm,VectorAdd,ONE_D,262144,16,1,1,1.837,0,0.427,0.552,0.202
Tesla K20Xm,VectorAdd,ONE_D,262144,32,1,1,1.843,0.001,0.384,0.565,0.198
Tesla K20Xm,VectorAdd,ONE_D,262144,64,1,1,1.857,0.001,0.415,0.549,0.2
Tesla K20Xm,VectorAdd,ONE_D,262144,128,1,1,1.845,0,0.451,0.558,0.204
Tesla K20Xm,VectorAdd,ONE_D,262144,256,1,1,1.829,0.001,0.443,0.547,0.215
Tesla K20Xm,VectorAdd,ONE_D,262144,512,1,1,1.841,0.001,0.438,0.552,0.213
Tesla K20Xm,VectorAdd,ONE_D,262144,1024,1,1,1.843,0.001,0.555,0.565,0.214
Tesla K20Xm,VectorAdd,ONE_D,262144,1,1,1,2.181,0.001,1.374,0.561,0.232
Tesla K20Xm,VectorAdd,ONE_D,262144,2,1,1,1.837,0,0.823,0.557,0.209
Tesla K20Xm,VectorAdd,ONE_D,262144,4,1,1,1.83,0,0.573,0.551,0.198
Tesla K20Xm,VectorAdd,ONE_D,262144,8,1,1,1.839,0,0.474,0.558,0.199
Tesla K20Xm,VectorAdd,ONE_D,262144,16,1,1,1.826,0.001,0.46,0.544,0.207
Tesla K20Xm,VectorAdd,ONE_D,262144,32,1,1,1.828,0.001,0.459,0.551,0.204
Tesla K20Xm,VectorAdd,ONE_D,262144,64,1,1,1.83,0.001,0.442,0.558,0.208
Tesla K20Xm,VectorAdd,ONE_D,262144,128,1,1,1.821,0.001,0.491,0.547,0.2
Tesla K20Xm,VectorAdd,ONE_D,262144,256,1,1,1.846,0.001,0.339,0.559,0.209
Tesla K20Xm,VectorAdd,ONE_D,262144,512,1,1,1.812,0.001,0.342,0.548,0.198
Tesla K20Xm,VectorAdd,ONE_D,262144,1024,1,1,1.821,0,0.34,0.556,0.197
