device/C,kernel/C,workDimension/C,width/F,height/F,maskWidth/F,maskHeight/F,xLocal/I,yLocal/I,zLocal/I,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,1,1,1,3.63,0.001,5257.75,1.053,0.144
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,2,1,1,3.554,0.001,2640.81,1.064,0.16
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,4,1,1,3.555,0.001,1332.27,1.04,0.142
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,8,1,1,3.525,0.001,677.018,1.045,0.14
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,16,1,1,3.642,0.001,347.892,1.039,0.14
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,32,1,1,3.494,0.001,181.794,1.034,0.154
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,64,1,1,3.455,0.001,101.505,1.04,0.139
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,128,1,1,3.567,0.001,83.962,1.041,0.138
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,256,1,1,3.521,0,83.749,1.038,0.141
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,512,1,1,3.481,0.001,82.935,1.034,0.155
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,1024,1,1,3.443,0.001,82.354,1.043,0.139
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,1,1,1,6.496,0.001,5257.7,2.099,0.152
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,2,1,1,6.591,0.001,2640.76,2.09,0.151
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,4,1,1,6.522,0.001,1332.24,2.078,0.154
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,8,1,1,6.6,0,676.999,2.084,0.149
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,16,1,1,6.539,0.001,347.899,2.078,0.147
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,32,1,1,6.58,0,181.819,2.08,0.149
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,64,1,1,6.623,0.001,101.548,2.078,0.151
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,128,1,1,6.458,0.001,84.033,2.085,0.146
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,256,1,1,6.5,0,83.76,2.1,0.146
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,512,1,1,6.661,0.001,82.977,2.09,0.148
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,1024,1,1,6.527,0,82.346,2.089,0.154
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,1,1,1,3.461,0.001,5267.02,1.051,0.143
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,2,1,1,3.496,0,2645.46,1.038,0.154
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,4,1,1,3.608,0,1334.56,1.039,0.143
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,8,1,1,3.507,0.001,678.162,1.037,0.148
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,16,1,1,3.562,0.001,348.454,1.04,0.143
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,32,1,1,3.546,0.001,182.095,1.037,0.146
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,64,1,1,3.463,0.001,101.627,1.038,0.146
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,128,1,1,3.502,0.001,83.961,1.046,0.142
Tesla K20Xm,Convolution,ONE_D,1024,1024,64,64,256,1,1,3.509,0.001,83.755,1.04,0.148
