device/C,kernel/C,workDimension/C,width/F,height/F,xLocal/I,yLocal/I,zLocal/I,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,64,16,1,36.364,0.002,479.903,35.643,0.693
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,128,1,1,36.485,0.003,711.787,35.595,0.721
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,128,2,1,36.646,0.003,644.833,35.859,0.711
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,128,4,1,36.522,0.003,399.02,35.538,0.69
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,128,8,1,36.482,0.002,480.131,35.624,0.695
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,256,1,1,36.876,0.002,645.054,35.718,0.711
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,256,2,1,36.477,0.003,399.124,35.537,0.689
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,256,4,1,36.454,0.003,480.204,35.52,0.698
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,512,1,1,36.797,0.003,399.115,35.568,0.69
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,512,2,1,36.376,0.003,480.201,36.02,0.705
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,1024,1,1,36.563,0.003,479.591,35.874,0.692
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,1,1,1,35.606,0.003,7503.59,34.984,0.677
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,1,2,1,35.607,0.003,3805.83,35.318,0.68
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,1,4,1,35.562,0.003,2184.81,34.8,0.689
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,1,8,1,35.617,0.003,1477.92,35.303,0.687
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,1,16,1,35.431,0.003,1042.59,35.221,0.688
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,1,32,1,35.799,0.002,806.252,35.243,0.736
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,1,64,1,35.41,0.003,769.161,35.119,0.684
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,1,128,1,35.894,0.002,708.131,35.146,0.663
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,1,256,1,35.492,0.003,641.649,35.163,0.693
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,1,512,1,35.816,0.003,395.636,35.205,0.675
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,1,1024,1,35.469,0.003,476.313,35.216,0.672
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,2,1,1,35.606,0.003,3805.92,35.05,0.697
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,2,2,1,35.486,0.002,2185.13,35.015,0.68
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,2,4,1,35.569,0.003,1477.84,34.982,0.688
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,2,8,1,35.335,0.003,1043.26,35.158,0.657
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,2,16,1,35.862,0.003,805.711,35.168,0.665
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,2,32,1,35.561,0.003,768.793,35.557,0.671
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,2,64,1,35.572,0.002,708.348,35.189,0.695
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,2,128,1,35.916,0.003,641.372,35.181,0.666
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,2,256,1,35.603,0.003,395.135,35.474,0.672
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,2,512,1,35.401,0.003,476.359,35.059,0.676
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,4,1,1,36.057,0.003,2184.71,34.96,0.669
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,4,2,1,35.377,0.002,1477.77,35.134,0.669
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,4,4,1,35.731,0.002,1043.64,35.093,0.728
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,4,8,1,35.506,0.003,806.026,35.131,0.68
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,4,16,1,35.455,0.003,768.726,35.195,0.699
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,4,32,1,35.474,0.003,708.386,35.192,0.666
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,4,64,1,35.584,0.003,641.439,35.083,0.661
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,4,128,1,35.427,0.002,395.719,35.079,0.665
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,4,256,1,35.604,0.002,476.464,35.142,0.68
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,8,1,1,35.351,0.003,1478.84,34.835,0.68
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,8,2,1,35.522,0.003,1042.59,34.768,0.681
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,8,4,1,35.476,0.002,805.433,35.208,0.677
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,8,8,1,35.57,0.002,768.582,35.093,0.673
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,8,16,1,35.518,0.003,708.529,35.259,0.669
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,8,32,1,35.509,0.003,642,35.287,0.666
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,8,64,1,35.414,0.003,395.091,35.138,0.67
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,8,128,1,35.937,0.002,476.419,35.103,0.68
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,16,1,1,35.482,0.003,1042.82,35.397,0.675
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,16,2,1,35.671,0.003,806.219,35.224,0.68
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,16,4,1,35.469,0.003,768.573,35.063,0.701
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,16,8,1,35.706,0.003,709.133,35.085,0.732
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,16,16,1,35.453,0.002,641.744,35.094,0.73
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,16,32,1,35.605,0.003,395.117,35.158,0.684
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,16,64,1,35.334,0.002,476.628,35.094,0.689
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,32,1,1,35.537,0.003,805.578,35.311,0.668
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,32,2,1,35.367,0.003,769.269,35.059,0.677
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,32,4,1,35.577,0.002,708.485,35.21,0.677
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,32,8,1,35.325,0.003,641.608,35.284,0.666
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,32,16,1,35.46,0.003,394.987,35.083,0.685
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,32,32,1,35.459,0.003,477.092,35.194,0.68
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,64,1,1,35.582,0.003,769.501,35.176,0.671
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,64,2,1,35.342,0.004,708.753,35.202,0.687
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,64,4,1,35.614,0.003,642.305,35.212,0.694
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,64,8,1,35.453,0.002,397.528,35.214,0.695
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,64,16,1,35.584,0.003,478.232,35.127,0.685
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,128,1,1,35.526,0.002,710.249,35.112,0.671
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,128,2,1,35.855,0.002,643.289,35.182,0.672
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,128,4,1,35.466,0.003,396.899,35.292,0.668
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,128,8,1,35.473,0.003,478.263,35.013,0.674
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,256,1,1,35.721,0.003,643.445,35.08,0.673
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,256,2,1,35.507,0.003,397.362,35.647,0.708
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,256,4,1,35.383,0.004,478.28,35.033,0.725
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,512,1,1,35.821,0.002,396.848,35.202,0.673
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,512,2,1,35.304,0.003,478.204,35.569,0.665
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,1024,1,1,35.644,0.003,478.007,35.143,0.698
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,1,1,1,35.521,0.002,7509.48,35.019,0.624
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,1,2,1,35.462,0.002,3811.2,35.199,0.638
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,1,4,1,35.43,0.002,2189.62,35.032,0.628
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,1,8,1,35.472,0.003,1482.73,35.144,0.631
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,1,16,1,35.521,0.002,1047.43,35.075,0.626
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,1,32,1,35.959,0.003,810.244,35.284,0.628
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,1,64,1,35.429,0.003,773.802,35.467,0.625
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,1,128,1,35.557,0.003,713.41,35.271,0.627
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,1,256,1,35.528,0.003,646.64,35.303,0.634
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,1,512,1,35.793,0.002,400.295,35.535,0.614
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,1,1024,1,35.325,0.003,481.59,35.208,0.642
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,2,1,1,35.652,0.003,3810.86,35.097,0.64
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,2,2,1,35.551,0.003,2189.25,35.061,0.638
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,2,4,1,35.496,0.002,1482.91,35.038,0.647
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,2,8,1,35.422,0.002,1047.45,34.949,0.641
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,2,16,1,35.443,0.003,810.212,35.351,0.643
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,2,32,1,35.509,0.003,773.733,35.273,0.635
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,2,64,1,35.406,0.003,713.542,35.319,0.646
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,2,128,1,35.411,0.003,646.434,35.302,0.656
