device/C,kernel/C,workDimension/C,cubeLength/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,1,16,4,1,14.353,0.636,0.001,1.311,0.491,0.159
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,1,16,8,1,12.309,0.692,0.002,1.349,0.523,0.15
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,1,16,16,1,13.439,0.693,0.001,1.384,0.482,0.168
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,1,16,32,1,11.681,0.659,0.001,1.192,0.519,0.223
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,1,16,64,1,16.664,0.651,0.001,1.507,0.474,0.168
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,1,32,1,1,12.995,0.679,0.002,1.467,0.511,0.177
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,1,32,2,1,12.367,0.66,0.002,1.593,0.519,0.158
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,1,32,4,1,14.015,0.647,0.001,1.281,0.5,0.175
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,1,32,8,1,13.839,0.686,0.002,1.275,0.494,0.164
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,1,32,16,1,12.234,0.693,0.001,1.473,0.51,0.149
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,1,32,32,1,13.5,0.69,0.001,1.443,0.515,0.161
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,1,64,1,1,12.359,0.683,0.002,1.477,0.496,0.167
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,1,64,2,1,13.613,0.653,0.003,1.364,0.499,0.135
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,1,64,4,1,13.421,0.691,0.001,1.291,0.485,0.162
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,1,64,8,1,12.133,0.66,0.002,1.406,0.497,0.167
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,1,64,16,1,13.612,0.692,0.002,1.642,0.505,0.163
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,1,128,1,1,12.577,0.668,0.002,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,1,128,2,1,13.237,0.487,0.001,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,1,128,4,1,11.729,0.452,0.002,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,1,128,8,1,11.723,0.459,0.001,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,1,256,1,1,11.72,0.49,0.002,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,1,256,2,1,11.729,0.454,0.002,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,1,256,4,1,11.726,0.456,0.002,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,1,512,1,1,11.717,0.457,0.002,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,1,512,2,1,11.732,0.482,0.002,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,1,1024,1,1,11.715,0.46,0.001,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,2,1,1,1,11.728,0.452,0.002,4.694,0.293,0.148
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,2,1,2,1,11.717,0.402,0,1.899,0.542,0.13
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,2,1,4,1,11.684,0.583,0.001,1.628,0.547,0.238
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,2,1,8,1,21.356,0.67,0.001,1.411,0.51,0.165
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,2,1,16,1,11.674,0.682,0.002,1.086,0.476,0.18
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,2,1,32,1,15.545,0.674,0.002,1.076,0.497,0.14
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,2,1,64,1,12.52,0.677,0.001,1.101,0.461,0.17
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,2,1,128,1,12.765,0.606,0.001,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,2,1,256,1,12.788,0.414,0.002,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,2,1,512,1,12.627,0.367,0.001,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,2,2,1,1,11.716,0.387,0.002,2.669,0.434,0.146
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,2,2,2,1,11.682,0.643,0.003,1.787,0.506,0.18
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,2,2,4,1,12.228,0.613,0.002,1.178,0.438,0.165
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,2,2,8,1,12.196,0.607,0.002,0.933,0.414,0.152
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,2,2,16,1,11.937,0.574,0.002,0.947,0.383,0.147
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,2,2,32,1,12.611,0.671,0.003,0.939,0.277,0.135
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,2,2,64,1,12.515,0.387,0.001,0.924,0.454,0.157
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,2,2,128,1,12.03,0.668,0.001,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,2,2,256,1,12.232,0.477,0.002,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,2,4,1,1,11.729,0.479,0.001,1.86,0.535,0.135
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,2,4,2,1,13.061,0.675,0.001,1.452,0.512,0.165
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,2,4,4,1,14.045,0.676,0.001,1.132,0.494,0.162
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,2,4,8,1,14.459,0.671,0.002,0.942,0.492,0.145
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,2,4,16,1,11.685,0.68,0.001,0.848,0.472,0.156
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,2,4,32,1,15.117,0.651,0.002,0.982,0.463,0.155
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,2,4,64,1,11.682,0.678,0,0.882,0.506,0.221
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,2,4,128,1,16.4,0.642,0.002,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,2,8,1,1,11.725,0.469,0.001,1.385,0.497,0.157
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,2,8,2,1,12.109,0.682,0.001,1.17,0.512,0.167
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,2,8,4,1,13.651,0.65,0.002,1.022,0.496,0.165
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,2,8,8,1,12.163,0.674,0.002,1.031,0.504,0.154
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,2,8,16,1,13.611,0.665,0.002,1.106,0.472,0.155
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,2,8,32,1,12.218,0.64,0.001,0.953,0.488,0.155
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,2,8,64,1,12.75,0.635,0.002,1.083,0.465,0.156
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,2,16,1,1,12.181,0.668,0.002,1.22,0.51,0.164
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,2,16,2,1,13.575,0.671,0.002,1.063,0.504,0.158
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,2,16,4,1,12.245,0.679,0.002,0.988,0.49,0.151
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,2,16,8,1,12.746,0.741,0.001,1.007,0.448,0.153
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,2,16,16,1,12.738,0.609,0.001,0.999,0.492,0.157
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,2,16,32,1,15.202,0.637,0.002,1.033,0.49,0.151
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,2,32,1,1,12.445,0.672,0.002,0.983,0.31,0.13
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,2,32,2,1,12.51,0.4,0.002,0.943,0.496,0.155
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,2,32,4,1,12.028,0.677,0.002,1.022,0.508,0.155
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,2,32,8,1,13.014,0.674,0.002,1.023,0.537,0.142
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,2,32,16,1,12.334,0.68,0.001,1.042,0.507,0.164
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,2,64,1,1,13.43,0.663,0.002,0.959,0.493,0.147
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,2,64,2,1,12.383,0.658,0.001,1.017,0.525,0.135
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,2,64,4,1,13.346,0.612,0,0.903,0.521,0.142
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,2,64,8,1,12.798,0.68,0.002,1.048,0.306,0.134
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,2,128,1,1,12.891,0.603,0.002,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,2,128,2,1,11.721,0.489,0.002,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,2,128,4,1,11.727,0.456,0.002,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,2,256,1,1,11.737,0.45,0.001,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,2,256,2,1,11.725,0.492,0.002,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,2,512,1,1,11.726,0.359,0.002,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,4,1,1,1,11.717,0.365,0.002,2.615,0.438,0.149
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,4,1,2,1,12.163,0.589,0.001,1.528,0.427,0.145
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,4,1,4,1,13.421,0.554,0.001,1.002,0.416,0.143
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,4,1,8,1,11.709,0.684,0.002,0.959,0.472,0.138
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,4,1,16,1,12.365,0.684,0.001,0.903,0.457,0.147
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,4,1,32,1,12.967,0.616,0.001,0.565,0.387,0.15
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,4,1,64,1,12.119,0.613,0.001,0.577,0.383,0.144
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,4,1,128,1,12.184,0.585,0.002,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,4,1,256,1,11.69,0.359,0.001,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,4,2,1,1,11.709,0.535,0.001,1.779,0.511,0.157
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,4,2,2,1,13.169,0.662,0.002,1.222,0.586,0.14
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,4,2,4,1,11.89,0.735,0.001,0.948,0.604,0.144
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,4,2,8,1,13.85,0.685,0.001,0.863,0.465,0.151
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,4,2,16,1,12.293,0.647,0.002,0.896,0.495,0.138
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,4,2,32,1,13.374,0.686,0.001,0.886,0.471,0.16
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,4,2,64,1,13.712,0.699,0.002,0.768,0.475,0.124
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,4,2,128,1,12.193,0.689,0.001,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,4,4,1,1,12.785,0.486,0.002,1.254,0.535,0.141
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,4,4,2,1,12.735,0.653,0.002,1.036,0.489,0.156
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,4,4,4,1,14.915,0.652,0.002,0.855,0.487,0.154
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,4,4,8,1,12.259,0.673,0.002,0.783,0.476,0.154
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,4,4,16,1,13.118,0.676,0.001,0.764,0.475,0.143
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,4,4,32,1,12.219,0.649,0.002,0.79,0.481,0.155
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,4,4,64,1,13.585,0.675,0.002,0.808,0.453,0.144
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,4,8,1,1,12.225,0.639,0.002,0.952,0.529,0.135
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,4,8,2,1,13.567,0.657,0.002,0.877,0.495,0.156
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,4,8,4,1,12.237,0.68,0.001,0.731,0.491,0.151
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,4,8,8,1,13.144,0.669,0.002,0.715,0.49,0.134
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,4,8,16,1,12.199,0.693,0.002,0.774,0.488,0.155
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,4,8,32,1,13.606,0.673,0.002,0.718,0.477,0.154
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,64,4,16,1,1,12.176,0.665,0.001,0.81,0.521,0.125
