device/C,kernel/C,workDimension/C,length/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.44179e+06,1,1,1,22,125.452,10.862,0.003,42.892,7.316,0.926
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.44179e+06,2,1,1,22,117.392,10.905,0.002,26.512,3.86,0.789
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.44179e+06,4,1,1,22,116.17,10.907,0.002,33.017,1.935,0.827
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.44179e+06,8,1,1,22,114.264,10.656,0.002,16.242,1.047,0.708
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.44179e+06,16,1,1,22,113.898,10.616,0.001,1.661,0.59,0.734
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.44179e+06,32,1,1,22,113.57,10.546,0.002,1.486,0.383,0.736
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.44179e+06,64,1,1,22,113.318,10.509,0.002,1.299,0.169,0.725
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.44179e+06,128,1,1,22,113.741,10.642,0.002,1.189,0.109,0.657
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.44179e+06,256,1,1,22,115.777,10.593,0.002,1.282,0.073,0.652
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.44179e+06,512,1,1,22,113.377,10.573,0.002,1.517,0.055,0.621
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.44179e+06,1024,1,1,22,113.352,10.655,0.002,1.754,0.043,0.743
