device/C,kernel/C,workDimension/C,length/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Tesla K20Xm,Reduction,ONE_D,2.49037e+06,64,1,1,38,197.195,30.958,0.002,6.945,1.164,6.681
Tesla K20Xm,Reduction,ONE_D,2.49037e+06,128,1,1,38,195.926,31.033,0.002,6.973,1.091,6.682
Tesla K20Xm,Reduction,ONE_D,2.49037e+06,256,1,1,38,196.007,31.033,0.002,7.008,1.019,6.692
Tesla K20Xm,Reduction,ONE_D,2.49037e+06,512,1,1,38,195.714,30.957,0.002,7.047,1.017,6.672
Tesla K20Xm,Reduction,ONE_D,2.49037e+06,1024,1,1,38,195.813,30.925,0.002,7.273,1.061,6.719
Tesla K20Xm,Reduction,ONE_D,2.49037e+06,1,1,1,38,209.79,30.931,0.002,12.646,21.335,8.639
Tesla K20Xm,Reduction,ONE_D,2.49037e+06,2,1,1,38,203.916,31.166,0.002,10.254,10.953,7.461
Tesla K20Xm,Reduction,ONE_D,2.49037e+06,4,1,1,38,200.325,30.877,0.002,8.764,5.654,6.82
Tesla K20Xm,Reduction,ONE_D,2.49037e+06,8,1,1,38,197.751,30.709,0.003,7.972,3.273,6.517
Tesla K20Xm,Reduction,ONE_D,2.49037e+06,16,1,1,38,196.285,30.707,0.003,7.35,2.029,6.387
Tesla K20Xm,Reduction,ONE_D,2.49037e+06,32,1,1,38,195.939,30.691,0.002,7.06,1.632,6.278
Tesla K20Xm,Reduction,ONE_D,2.49037e+06,64,1,1,38,195.923,30.881,0.002,6.96,1.408,6.297
Tesla K20Xm,Reduction,ONE_D,2.49037e+06,128,1,1,38,195.877,30.606,0.003,6.933,1.353,6.285
Tesla K20Xm,Reduction,ONE_D,2.49037e+06,256,1,1,38,196.233,30.636,0.003,7.054,1.266,6.325
Tesla K20Xm,Reduction,ONE_D,2.49037e+06,512,1,1,38,196.288,30.816,0.002,7.059,1.257,6.369
Tesla K20Xm,Reduction,ONE_D,2.49037e+06,1024,1,1,38,196.604,30.619,0.003,7.14,1.265,6.288
