device/C,kernel/C,workDimension/C,width/F,height/F,steps/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Tesla K20Xm,MonteCarloAsian,TWO_D,1145,2290,4,1,1,1,40.0093,890.742,1.621,0.003,6858.45,0.003,2.506
Tesla K20Xm,MonteCarloAsian,TWO_D,1145,2290,4,1,2,1,40.0093,890.738,1.611,0.003,3679.63,0.003,2.481
Tesla K20Xm,MonteCarloAsian,TWO_D,1145,2290,4,1,4,1,40.0093,890.907,1.596,0.002,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,1145,2290,4,1,8,1,40.0093,891.603,1.595,0.002,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,1145,2290,4,1,16,1,40.0093,890.731,1.586,0.002,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,1145,2290,4,1,32,1,40.0093,892.169,1.607,0.003,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,1145,2290,4,1,64,1,40.0093,889.989,1.588,0.002,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,1145,2290,4,1,128,1,40.0093,891.469,1.603,0.002,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,1145,2290,4,1,256,1,40.0093,890.568,1.603,0.002,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,1145,2290,4,1,512,1,40.0093,891.273,1.583,0.002,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,1145,2290,4,1,1024,1,40.0093,890.425,1.586,0.002,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,1145,2290,4,2,1,1,40.0093,890.292,1.61,0.002,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,1145,2290,4,2,2,1,40.0093,891.488,1.582,0.003,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,1145,2290,4,2,4,1,40.0093,890.693,1.624,0.002,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,1145,2290,4,2,8,1,40.0093,891.468,1.593,0.003,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,1145,2290,4,2,16,1,40.0093,890.625,1.59,0.003,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,1145,2290,4,2,32,1,40.0093,892.644,1.587,0.002,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,1145,2290,4,2,64,1,40.0093,890.65,1.608,0.002,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,1145,2290,4,2,128,1,40.0093,890.551,1.585,0.002,-1,-1,-1
