device/C,kernel/C,workDimension/C,noOfTraj/F,steps/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,4096,10,1,1,1,32,1827.85,58.838,0.007,5269.04,0.005,5.259
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,4096,10,1,2,1,32,1809.1,36.111,0.005,4903.27,0.006,4.696
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,4096,10,1,4,1,32,1849.05,36.311,0.004,4716.99,0.005,4.466
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,4096,10,1,8,1,32,1866.89,35.712,0.006,4633.68,0.005,4.259
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,4096,10,1,16,1,32,1856.96,35.714,0.005,4591.16,0.004,3.927
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,4096,10,1,32,1,32,1869.25,35.827,0.005,4630.71,0.006,4.402
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,4096,10,1,64,1,32,1822.68,35.75,0.005,4589.46,0.006,4.203
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,4096,10,1,128,1,32,1847.87,35.178,0.005,4614.07,0.006,4.025
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,4096,10,1,256,1,32,1833.29,36.017,0.005,4698.27,0.029,4.976
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,4096,10,1,512,1,32,1852.14,35.844,0.006,4769.55,0.007,4.741
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,4096,10,1,1024,1,32,1842.75,36.086,0.005,4796.2,0.013,4.534
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,4096,10,1,2048,1,32,1859.76,35.487,0.006,-1,-1,-1
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,4096,10,1,4096,1,32,1712.13,35.776,0.005,-1,-1,-1
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,4096,10,1,8192,1,32,1711.92,35.714,0.005,-1,-1,-1
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,4096,10,2,1,1,32,1715.47,35.842,0.005,4858.47,0.005,4.511
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,4096,10,2,2,1,32,1837.36,35.857,0.005,4709.51,0.006,4.434
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,4096,10,2,4,1,32,1855.31,35.796,0.005,4597.51,0.006,4.975
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,4096,10,2,8,1,32,1810.13,35.597,0.005,4603.3,0.005,4.311
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,4096,10,2,16,1,32,1848.98,35.827,0.005,4632.96,0.005,3.805
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,4096,10,2,32,1,32,1824.23,35.883,0.005,4593.59,0.005,3.898
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,4096,10,2,64,1,32,1827.16,35.88,0.005,4639.57,0.005,4.144
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,4096,10,2,128,1,32,1828.77,35.938,0.006,4768.27,0.005,4.409
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,4096,10,2,256,1,32,1907.08,59.731,0.007,4896.05,0.008,5.191
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,4096,10,2,512,1,32,1845.1,34.869,0.005,5023.97,0.006,4.452
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,4096,10,2,1024,1,32,1812.8,35.734,0.005,-1,-1,-1
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,4096,10,2,2048,1,32,1711.8,35.872,0.005,-1,-1,-1
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,4096,10,2,4096,1,32,1713.69,35.804,0.005,-1,-1,-1
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,4096,10,4,1,1,32,1707.05,35.893,0.004,4695.72,0.005,3.681
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,4096,10,4,2,1,32,1814.41,35.859,0.005,4604.1,0.005,3.433
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,4096,10,4,4,1,32,1860.28,35.179,0.005,4596.07,0.005,3.401
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,4096,10,4,8,1,32,1847.49,35.666,0.005,4623.92,0.009,3.398
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,4096,10,4,16,1,32,1844.04,35.716,0.005,4634.5,0.006,3.679
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,4096,10,4,32,1,32,1837.21,35.84,0.005,4596.32,0.005,3.298
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,4096,10,4,64,1,32,1837.42,35.72,0.005,4737.35,0.005,3.713
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,4096,10,4,128,1,32,1841.55,35.96,0.005,4691.5,0.004,5.014
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,4096,10,4,256,1,32,1841.81,35.961,0.005,4973.08,0.005,3.895
Intel(R) Many Integrated Core Acceleration Card,MonteCarloAsian,TWO_D,4096,10,4,512,1,32,1825.01,35.762,0.005,-1,-1,-1
