device/C,kernel/C,workDimension/C,N/F,P/F,M/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel(R) Many Integrated Core Acceleration Card,MatrixMultiplication,TWO_D,1024,1024,1024,1,1,1,4,58.878,5.832,0.008,1324.13,2.542,1.664
Intel(R) Many Integrated Core Acceleration Card,MatrixMultiplication,TWO_D,1024,1024,1024,1,2,1,4,55.952,8.148,0.005,1361.01,1.456,1.6
Intel(R) Many Integrated Core Acceleration Card,MatrixMultiplication,TWO_D,1024,1024,1024,1,4,1,4,56.812,7.543,0.006,1409.88,2.247,1.48
Intel(R) Many Integrated Core Acceleration Card,MatrixMultiplication,TWO_D,1024,1024,1024,1,8,1,4,57.806,8.015,0.007,1421.89,2.211,1.923
Intel(R) Many Integrated Core Acceleration Card,MatrixMultiplication,TWO_D,1024,1024,1024,1,16,1,4,57.083,7.87,0.006,1464.21,2.148,1.566
Intel(R) Many Integrated Core Acceleration Card,MatrixMultiplication,TWO_D,1024,1024,1024,1,32,1,4,55.68,8.28,0.008,1489.96,2.062,1.582
Intel(R) Many Integrated Core Acceleration Card,MatrixMultiplication,TWO_D,1024,1024,1024,1,64,1,4,56.613,7.641,0.005,1522.22,2.069,1.604
Intel(R) Many Integrated Core Acceleration Card,MatrixMultiplication,TWO_D,1024,1024,1024,1,128,1,4,56.581,7.024,0.007,1518.29,2.095,2.165
Intel(R) Many Integrated Core Acceleration Card,MatrixMultiplication,TWO_D,1024,1024,1024,1,256,1,4,53.809,5.815,0.007,1553.29,2.082,3.612
Intel(R) Many Integrated Core Acceleration Card,MatrixMultiplication,TWO_D,1024,1024,1024,1,512,1,4,59.513,5.895,0.006,1528.89,2.071,2.662
Intel(R) Many Integrated Core Acceleration Card,MatrixMultiplication,TWO_D,1024,1024,1024,1,1024,1,4,60.037,5.942,0.008,1664.37,2.215,3.619
Intel(R) Many Integrated Core Acceleration Card,MatrixMultiplication,TWO_D,1024,1024,1024,1,2048,1,4,56.896,5.886,0.007,-1,-1,-1
Intel(R) Many Integrated Core Acceleration Card,MatrixMultiplication,TWO_D,1024,1024,1024,1,4096,1,4,53.601,5.794,0.009,-1,-1,-1
Intel(R) Many Integrated Core Acceleration Card,MatrixMultiplication,TWO_D,1024,1024,1024,1,8192,1,4,53.18,5.416,0.007,-1,-1,-1
