device/C,kernel/C,workDimension/C,width/F,height/F,maskwidth/F,maskheight/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
AMD Firepro W9100,Convolution,ONE_D,1773,1773,64,64,1,1,1,11,61.503,9.757,0.002,3651.55,3.654,0.873
AMD Firepro W9100,Convolution,ONE_D,1773,1773,64,64,2,1,1,11,86.669,8.127,0.002,1826.49,3.569,0.107
AMD Firepro W9100,Convolution,ONE_D,1773,1773,64,64,4,1,1,11,83.735,8.212,0.002,914.052,3.585,0.106
AMD Firepro W9100,Convolution,ONE_D,1773,1773,64,64,8,1,1,11,83.878,8.353,0.001,457.806,3.517,0.056
AMD Firepro W9100,Convolution,ONE_D,1773,1773,64,64,16,1,1,11,82.016,8.647,0.002,229.628,3.502,0.057
AMD Firepro W9100,Convolution,ONE_D,1773,1773,64,64,32,1,1,11,84.978,8.668,0.001,115.573,3.524,0.059
AMD Firepro W9100,Convolution,ONE_D,1773,1773,64,64,64,1,1,11,83.478,8.491,0.002,77.697,3.525,0.06
AMD Firepro W9100,Convolution,ONE_D,1773,1773,64,64,128,1,1,11,81.967,8.654,0.002,76.53,3.519,0.056
AMD Firepro W9100,Convolution,ONE_D,1773,1773,64,64,256,1,1,11,81.542,8.447,0.002,74.655,3.588,0.111
AMD Firepro W9100,Convolution,ONE_D,1773,1773,64,64,1,1,1,11,61.152,8.913,0.002,3651.71,3.534,0.972
AMD Firepro W9100,Convolution,ONE_D,1773,1773,64,64,2,1,1,11,63.72,8.889,0.001,1826.69,3.539,0.152
AMD Firepro W9100,Convolution,ONE_D,1773,1773,64,64,4,1,1,11,83.984,8.859,0.002,914.207,3.475,0.12
AMD Firepro W9100,Convolution,ONE_D,1773,1773,64,64,8,1,1,11,83.616,8.626,0.002,458.016,3.485,0.118
AMD Firepro W9100,Convolution,ONE_D,1773,1773,64,64,16,1,1,11,86.772,8.814,0.001,229.857,3.489,0.072
AMD Firepro W9100,Convolution,ONE_D,1773,1773,64,64,32,1,1,11,81.994,8.528,0.002,115.84,3.48,0.12
AMD Firepro W9100,Convolution,ONE_D,1773,1773,64,64,64,1,1,11,87.151,9.181,0.002,77.826,3.53,0.07
AMD Firepro W9100,Convolution,ONE_D,1773,1773,64,64,128,1,1,11,83.103,8.688,0.001,76.843,3.488,0.07
AMD Firepro W9100,Convolution,ONE_D,1773,1773,64,64,256,1,1,11,80.19,9.067,0.002,74.896,3.49,0.088
AMD Firepro W9100,Convolution,ONE_D,1773,1773,64,64,1,1,1,11,64.062,9.192,0.002,3651.55,3.549,1.359
AMD Firepro W9100,Convolution,ONE_D,1773,1773,64,64,2,1,1,11,86.204,8.828,0.002,1826.62,3.735,0.117
AMD Firepro W9100,Convolution,ONE_D,1773,1773,64,64,4,1,1,11,84.222,8.553,0.002,914.059,3.868,0.119
AMD Firepro W9100,Convolution,ONE_D,1773,1773,64,64,8,1,1,11,83.342,8.629,0.002,457.797,3.832,0.126
AMD Firepro W9100,Convolution,ONE_D,1773,1773,64,64,16,1,1,11,86.403,8.07,0.002,229.554,3.857,0.125
AMD Firepro W9100,Convolution,ONE_D,1773,1773,64,64,32,1,1,11,87.44,8.92,0.003,115.59,3.868,0.121
AMD Firepro W9100,Convolution,ONE_D,1773,1773,64,64,64,1,1,11,84.486,7.434,0.003,77.584,3.905,0.122
AMD Firepro W9100,Convolution,ONE_D,1773,1773,64,64,128,1,1,11,87.091,8.661,0.005,76.643,3.833,0.104
AMD Firepro W9100,Convolution,ONE_D,1773,1773,64,64,256,1,1,11,84.438,8.173,0.003,74.593,3.745,0.119
AMD Firepro W9100,Convolution,ONE_D,1773,1773,64,64,1,1,1,11,63.515,8.071,0.003,3651.64,3.573,1.357
AMD Firepro W9100,Convolution,ONE_D,1773,1773,64,64,2,1,1,11,84.787,8.607,0.002,1826.63,3.637,0.121
AMD Firepro W9100,Convolution,ONE_D,1773,1773,64,64,4,1,1,11,82.887,8.051,0.003,914.109,3.65,0.114
AMD Firepro W9100,Convolution,ONE_D,1773,1773,64,64,8,1,1,11,82.727,8.336,0.003,457.822,3.419,0.123
AMD Firepro W9100,Convolution,ONE_D,1773,1773,64,64,16,1,1,11,81.379,8.245,0.003,229.588,3.183,0.061
AMD Firepro W9100,Convolution,ONE_D,1773,1773,64,64,32,1,1,11,80.601,8.487,0.003,115.627,3.572,0.063
AMD Firepro W9100,Convolution,ONE_D,1773,1773,64,64,64,1,1,11,80.923,8.749,0.003,77.667,3.57,0.065
AMD Firepro W9100,Convolution,ONE_D,1773,1773,64,64,128,1,1,11,80.564,8.318,0.002,76.599,3.578,0.13
AMD Firepro W9100,Convolution,ONE_D,1773,1773,64,64,256,1,1,11,81.02,8.569,0.002,74.672,3.569,0.121
