device/C,kernel/C,workDimension/C,cubeLength/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
AMD Firepro W9100,Array3dAverage,THREE_D,164,1,1,4,16.8264,159.074,5.458,0.002,5.988,4.799,1.893
AMD Firepro W9100,Array3dAverage,THREE_D,164,1,2,4,16.8264,148.428,5.806,0.001,3.592,4.523,1.937
AMD Firepro W9100,Array3dAverage,THREE_D,164,1,4,1,16.8264,162.396,5.026,0.003,5.858,3.829,1.602
AMD Firepro W9100,Array3dAverage,THREE_D,164,1,4,2,16.8264,148.955,5.686,0.001,2.869,4.095,0.036
AMD Firepro W9100,Array3dAverage,THREE_D,164,1,4,4,16.8264,148.004,5.879,0.016,2.412,3.995,0.054
AMD Firepro W9100,Array3dAverage,THREE_D,164,2,1,4,16.8264,149.18,5.62,0.016,3.591,3.835,1.841
AMD Firepro W9100,Array3dAverage,THREE_D,164,2,2,4,16.8264,150.928,5.577,0.001,2.174,3.706,1.823
AMD Firepro W9100,Array3dAverage,THREE_D,164,2,4,1,16.8264,162.391,5.77,0.001,3.48,4.346,1.624
AMD Firepro W9100,Array3dAverage,THREE_D,164,2,4,2,16.8264,149.842,5.727,0.016,1.605,3.979,0.053
AMD Firepro W9100,Array3dAverage,THREE_D,164,2,4,4,16.8264,148.81,5.272,0.019,1.514,4.053,0.051
AMD Firepro W9100,Array3dAverage,THREE_D,164,4,1,1,16.8264,166.685,5.332,0.016,5.818,3.911,1.847
AMD Firepro W9100,Array3dAverage,THREE_D,164,4,1,2,16.8264,145.104,5.409,0.003,2.854,4.068,0.049
AMD Firepro W9100,Array3dAverage,THREE_D,164,4,1,4,16.8264,145.701,5.344,0.001,1.655,4.087,0.052
AMD Firepro W9100,Array3dAverage,THREE_D,164,4,2,1,16.8264,163.134,5.591,0.002,3.403,3.647,1.204
AMD Firepro W9100,Array3dAverage,THREE_D,164,4,2,2,16.8264,149.801,5.823,0.002,1.632,4.06,0.049
AMD Firepro W9100,Array3dAverage,THREE_D,164,4,2,4,16.8264,150.109,5.088,0.016,0.989,3.988,0.052
AMD Firepro W9100,Array3dAverage,THREE_D,164,4,4,1,16.8264,152.288,5.38,0.015,2.312,4.409,0.757
AMD Firepro W9100,Array3dAverage,THREE_D,164,4,4,2,16.8264,152.144,4.954,0.001,0.995,3.888,0.045
AMD Firepro W9100,Array3dAverage,THREE_D,164,4,4,4,16.8264,151.295,5.918,0.001,0.858,3.784,0.054
AMD Firepro W9100,Array3dAverage,THREE_D,164,1,1,4,16.8264,148.988,6.366,0.001,5.776,4.892,1.491
AMD Firepro W9100,Array3dAverage,THREE_D,164,1,2,4,16.8264,146.589,6.541,0.001,3.252,4.829,0.745
AMD Firepro W9100,Array3dAverage,THREE_D,164,1,4,1,16.8264,150.287,6.617,0.002,5.802,4.831,0.668
AMD Firepro W9100,Array3dAverage,THREE_D,164,1,4,2,16.8264,145.556,6.194,0.002,3.392,4.843,0.055
AMD Firepro W9100,Array3dAverage,THREE_D,164,1,4,4,16.8264,145.537,6.236,0.001,2.575,4.839,0.056
AMD Firepro W9100,Array3dAverage,THREE_D,164,2,1,4,16.8264,148.063,6.189,0.001,3.408,4.862,1.465
AMD Firepro W9100,Array3dAverage,THREE_D,164,2,2,4,16.8264,150.089,6.49,0.001,2.236,4.825,1.075
AMD Firepro W9100,Array3dAverage,THREE_D,164,2,4,1,16.8264,151.644,6.151,0.001,3.423,4.822,0.877
AMD Firepro W9100,Array3dAverage,THREE_D,164,2,4,2,16.8264,149.317,6.418,0.002,1.873,4.86,0.056
AMD Firepro W9100,Array3dAverage,THREE_D,164,2,4,4,16.8264,147.327,5.957,0.002,1.727,4.82,0.057
AMD Firepro W9100,Array3dAverage,THREE_D,164,4,1,1,16.8264,147.563,6.278,0.001,5.804,4.832,0.998
AMD Firepro W9100,Array3dAverage,THREE_D,164,4,1,2,16.8264,145.046,6.279,0.001,3.041,4.9,0.104
AMD Firepro W9100,Array3dAverage,THREE_D,164,4,1,4,16.8264,151.596,6.281,0.002,1.836,4.879,0.055
AMD Firepro W9100,Array3dAverage,THREE_D,164,4,2,1,16.8264,147.038,6.229,0.002,3.463,4.829,0.683
AMD Firepro W9100,Array3dAverage,THREE_D,164,4,2,2,16.8264,146.655,6.317,0.001,1.838,4.833,0.103
AMD Firepro W9100,Array3dAverage,THREE_D,164,4,2,4,16.8264,152.985,6.203,0.002,1.21,4.837,0.123
AMD Firepro W9100,Array3dAverage,THREE_D,164,4,4,1,16.8264,149.181,6.453,0.001,2.291,4.852,0.363
AMD Firepro W9100,Array3dAverage,THREE_D,164,4,4,2,16.8264,146.708,5.867,0.002,1.199,4.856,0.058
AMD Firepro W9100,Array3dAverage,THREE_D,164,4,4,4,16.8264,147.316,6.336,0.002,1.22,4.828,0.099
AMD Firepro W9100,Array3dAverage,THREE_D,164,1,1,4,16.8264,153.11,6.021,0.004,5.998,4.739,1.937
AMD Firepro W9100,Array3dAverage,THREE_D,164,1,2,4,16.8264,149.745,5.834,0.003,3.55,4.661,1.942
AMD Firepro W9100,Array3dAverage,THREE_D,164,1,4,1,16.8264,177.476,4.889,0.003,5.896,3.321,1.746
AMD Firepro W9100,Array3dAverage,THREE_D,164,1,4,2,16.8264,151.595,6.045,0.004,2.888,4.465,0.047
AMD Firepro W9100,Array3dAverage,THREE_D,164,1,4,4,16.8264,154.64,5.968,0.004,2.445,4.472,0.047
AMD Firepro W9100,Array3dAverage,THREE_D,164,2,1,4,16.8264,154.129,5.663,0.004,3.544,4.51,2.062
AMD Firepro W9100,Array3dAverage,THREE_D,164,2,2,4,16.8264,150.584,6.039,0.005,2.421,4.551,1.456
AMD Firepro W9100,Array3dAverage,THREE_D,164,2,4,1,16.8264,173.449,5.567,0.003,3.506,4.445,1.571
AMD Firepro W9100,Array3dAverage,THREE_D,164,2,4,2,16.8264,150.278,5.5,0.002,1.69,4.469,0.047
AMD Firepro W9100,Array3dAverage,THREE_D,164,2,4,4,16.8264,149.249,5.453,0.002,1.559,4.426,0.047
AMD Firepro W9100,Array3dAverage,THREE_D,164,4,1,1,16.8264,174.641,6.525,0.001,6.026,4.615,1.675
AMD Firepro W9100,Array3dAverage,THREE_D,164,4,1,2,16.8264,149.874,5.745,0.002,2.879,4.485,0.044
AMD Firepro W9100,Array3dAverage,THREE_D,164,4,1,4,16.8264,153.569,6.261,0.002,1.677,4.443,0.044
AMD Firepro W9100,Array3dAverage,THREE_D,164,4,2,1,16.8264,173.175,5.641,0.002,3.496,4.485,1.234
AMD Firepro W9100,Array3dAverage,THREE_D,164,4,2,2,16.8264,150.789,5.848,0.004,1.721,4.701,0.07
AMD Firepro W9100,Array3dAverage,THREE_D,164,4,2,4,16.8264,154.791,6.05,0.001,1.015,4.476,0.046
AMD Firepro W9100,Array3dAverage,THREE_D,164,4,4,1,16.8264,155.453,6.065,0.001,2.33,4.465,0.642
AMD Firepro W9100,Array3dAverage,THREE_D,164,4,4,2,16.8264,155.575,5.737,0.002,1.024,4.471,0.045
AMD Firepro W9100,Array3dAverage,THREE_D,164,4,4,4,16.8264,153.263,5.251,0.003,1.042,4.485,0.048
AMD Firepro W9100,Array3dAverage,THREE_D,164,1,1,4,16.8264,156.859,5.551,0.003,5.967,4.551,1.906
AMD Firepro W9100,Array3dAverage,THREE_D,164,1,2,4,16.8264,148.099,5.46,0.004,3.447,4.047,1.674
AMD Firepro W9100,Array3dAverage,THREE_D,164,1,4,1,16.8264,165.842,6.086,0.002,6.002,4.346,1.668
AMD Firepro W9100,Array3dAverage,THREE_D,164,1,4,2,16.8264,148.926,5.765,0.006,2.848,3.676,0.056
AMD Firepro W9100,Array3dAverage,THREE_D,164,1,4,4,16.8264,147.439,5.917,0.017,2.413,4.066,0.039
AMD Firepro W9100,Array3dAverage,THREE_D,164,2,1,4,16.8264,147.59,5.494,0.004,3.361,4.11,1.663
AMD Firepro W9100,Array3dAverage,THREE_D,164,2,2,4,16.8264,151.247,5.084,0.019,2.245,3.876,1.322
AMD Firepro W9100,Array3dAverage,THREE_D,164,2,4,1,16.8264,162.512,5.445,0.028,3.582,4.016,1.65
AMD Firepro W9100,Array3dAverage,THREE_D,164,2,4,2,16.8264,151.328,5.199,0.019,1.689,4.056,0.056
AMD Firepro W9100,Array3dAverage,THREE_D,164,2,4,4,16.8264,148.936,5.628,0.005,1.49,4.042,0.044
AMD Firepro W9100,Array3dAverage,THREE_D,164,4,1,1,16.8264,166.033,5.789,0.021,5.854,4.138,1.74
AMD Firepro W9100,Array3dAverage,THREE_D,164,4,1,2,16.8264,151.022,4.949,0.004,2.855,4.088,0.055
AMD Firepro W9100,Array3dAverage,THREE_D,164,4,1,4,16.8264,148.554,5.311,0.02,1.713,4.048,0.054
AMD Firepro W9100,Array3dAverage,THREE_D,164,4,2,1,16.8264,162.327,5.11,0.019,3.462,3.931,1.391
AMD Firepro W9100,Array3dAverage,THREE_D,164,4,2,2,16.8264,151.156,5.787,0.017,1.48,4.048,0.057
AMD Firepro W9100,Array3dAverage,THREE_D,164,4,2,4,16.8264,149.405,5.031,0.006,1.024,3.793,0.042
AMD Firepro W9100,Array3dAverage,THREE_D,164,4,4,1,16.8264,147.494,5.477,0.003,2.246,3.773,0.61
AMD Firepro W9100,Array3dAverage,THREE_D,164,4,4,2,16.8264,145.939,5.789,0.004,1.012,4.072,0.038
AMD Firepro W9100,Array3dAverage,THREE_D,164,4,4,4,16.8264,148.038,5.512,0.002,1.017,3.238,0.038
