device/C,kernel/C,workDimension/C,actualMB/F,width/F,height/F,nSteps/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
AMD Firepro W9100,FluidSimulation,ONE_D,15,1448,1448,3,2,1,1,16,251.319,58.053,0.005,428.307,0.001,14.782
AMD Firepro W9100,FluidSimulation,ONE_D,15,1448,1448,3,4,1,1,16,250.848,57.404,0.007,399.249,0.002,14.898
AMD Firepro W9100,FluidSimulation,ONE_D,15,1448,1448,3,8,1,1,16,250.667,56.406,0.004,394.889,0.001,14.889
AMD Firepro W9100,FluidSimulation,ONE_D,15,1448,1448,3,16,1,1,16,250.77,58.473,0.005,397.558,0.001,14.854
AMD Firepro W9100,FluidSimulation,ONE_D,15,1448,1448,3,32,1,1,16,251.532,56.155,0.005,405.795,0.001,14.96
AMD Firepro W9100,FluidSimulation,ONE_D,15,1448,1448,3,64,1,1,16,250.664,55.639,0.007,399.268,0.001,14.848
AMD Firepro W9100,FluidSimulation,ONE_D,15,1448,1448,3,128,1,1,16,251.161,53.027,0.007,400.516,0.001,15.019
AMD Firepro W9100,FluidSimulation,ONE_D,15,1448,1448,3,256,1,1,16,250.902,53.702,0.008,409.878,0.002,14.992
AMD Firepro W9100,FluidSimulation,ONE_D,15,1448,1448,3,1,1,1,16,252.614,55.986,0.004,527.261,0.001,11.124
AMD Firepro W9100,FluidSimulation,ONE_D,15,1448,1448,3,2,1,1,16,253.798,55.469,0.004,468.094,0.001,10.005
AMD Firepro W9100,FluidSimulation,ONE_D,15,1448,1448,3,4,1,1,16,253.53,51.413,0.004,433.225,0.002,9.915
AMD Firepro W9100,FluidSimulation,ONE_D,15,1448,1448,3,8,1,1,16,253.272,54.043,0.004,425.199,0.002,9.892
AMD Firepro W9100,FluidSimulation,ONE_D,15,1448,1448,3,16,1,1,16,257.353,55.724,0.007,435.905,0.001,9.934
AMD Firepro W9100,FluidSimulation,ONE_D,15,1448,1448,3,32,1,1,16,253.267,53.401,0.007,443.014,0.001,9.96
AMD Firepro W9100,FluidSimulation,ONE_D,15,1448,1448,3,64,1,1,16,252.899,52.131,0.004,435.006,0.002,9.913
AMD Firepro W9100,FluidSimulation,ONE_D,15,1448,1448,3,128,1,1,16,255.135,52.87,0.007,425.207,0.002,9.926
AMD Firepro W9100,FluidSimulation,ONE_D,15,1448,1448,3,256,1,1,16,253.167,56.397,0.007,436.977,0.001,9.912
AMD Firepro W9100,FluidSimulation,ONE_D,15,1448,1448,3,1,1,1,16,252.846,59.643,0.006,501.072,0.001,16.878
AMD Firepro W9100,FluidSimulation,ONE_D,15,1448,1448,3,2,1,1,16,253.299,59.176,0.005,438.781,0.002,14.883
AMD Firepro W9100,FluidSimulation,ONE_D,15,1448,1448,3,4,1,1,16,255.724,59.139,0.009,403.231,0.002,14.861
AMD Firepro W9100,FluidSimulation,ONE_D,15,1448,1448,3,8,1,1,16,253.458,60.074,0.009,408.814,0.001,14.827
AMD Firepro W9100,FluidSimulation,ONE_D,15,1448,1448,3,16,1,1,16,252.763,58.171,0.005,404.108,0.001,14.802
AMD Firepro W9100,FluidSimulation,ONE_D,15,1448,1448,3,32,1,1,16,253.079,51.81,0.008,401.261,0.001,14.665
AMD Firepro W9100,FluidSimulation,ONE_D,15,1448,1448,3,64,1,1,16,256.195,57.835,0.008,409.988,0.002,18.22
AMD Firepro W9100,FluidSimulation,ONE_D,15,1448,1448,3,128,1,1,16,295.634,54.096,0.006,430.068,0.002,10.122
AMD Firepro W9100,FluidSimulation,ONE_D,15,1448,1448,3,256,1,1,16,252.885,53.984,0.004,433.678,0.001,10.209
AMD Firepro W9100,FluidSimulation,ONE_D,15,1448,1448,3,1,1,1,16,252.534,55.841,0.007,530.519,0.001,11.324
AMD Firepro W9100,FluidSimulation,ONE_D,15,1448,1448,3,2,1,1,16,253.044,55.492,0.007,468.734,0.001,10.11
AMD Firepro W9100,FluidSimulation,ONE_D,15,1448,1448,3,4,1,1,16,253.043,51.195,0.004,433.847,0.002,10.138
AMD Firepro W9100,FluidSimulation,ONE_D,15,1448,1448,3,8,1,1,16,253.244,54.67,0.006,431.826,0.002,10.098
AMD Firepro W9100,FluidSimulation,ONE_D,15,1448,1448,3,16,1,1,16,252.979,53.203,0.004,435.354,0.002,10.058
AMD Firepro W9100,FluidSimulation,ONE_D,15,1448,1448,3,32,1,1,16,253.053,54.312,0.007,432.543,0.002,10.091
AMD Firepro W9100,FluidSimulation,ONE_D,15,1448,1448,3,64,1,1,16,253.025,54.308,0.006,432.256,0.001,10.135
AMD Firepro W9100,FluidSimulation,ONE_D,15,1448,1448,3,128,1,1,16,254.005,53.5,0.007,441.457,0.002,10.183
AMD Firepro W9100,FluidSimulation,ONE_D,15,1448,1448,3,256,1,1,16,253.146,55.866,0.005,429.654,0.001,9.837
AMD Firepro W9100,FluidSimulation,ONE_D,15,1448,1448,3,1,1,1,16,240.373,55.503,0.006,534.513,0.001,10.166
AMD Firepro W9100,FluidSimulation,ONE_D,15,1448,1448,3,2,1,1,16,243.932,55.008,0.007,467.374,0.001,9.08
AMD Firepro W9100,FluidSimulation,ONE_D,15,1448,1448,3,4,1,1,16,242.331,54.482,0.006,433.785,0.002,9.177
AMD Firepro W9100,FluidSimulation,ONE_D,15,1448,1448,3,8,1,1,16,242.307,54.064,0.005,424.136,0.001,9.137
AMD Firepro W9100,FluidSimulation,ONE_D,15,1448,1448,3,16,1,1,16,242.313,54.309,0.004,424.754,0.002,9.154
AMD Firepro W9100,FluidSimulation,ONE_D,15,1448,1448,3,32,1,1,16,243.07,53.047,0.004,424.617,0.002,9.172
AMD Firepro W9100,FluidSimulation,ONE_D,15,1448,1448,3,64,1,1,16,242.3,53.695,0.004,425.241,0.002,9.151
AMD Firepro W9100,FluidSimulation,ONE_D,15,1448,1448,3,128,1,1,16,242.286,53.404,0.004,424.899,0.001,9.139
AMD Firepro W9100,FluidSimulation,ONE_D,15,1448,1448,3,256,1,1,16,242.436,53.338,0.004,426.117,0.001,9.097
