device/C,kernel/C,workDimension/C,cubeLength/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
AMD Firepro W9100,Array3dAverage,THREE_D,184,8,1,4,23.7637,216.869,6.694,0.003,1.306,17.507,0.447
AMD Firepro W9100,Array3dAverage,THREE_D,184,8,1,8,23.7637,215.909,6.719,0.002,0.934,16.101,0.446
AMD Firepro W9100,Array3dAverage,THREE_D,184,8,2,1,23.7637,226.829,7.985,0.001,3.057,9.769,2.906
AMD Firepro W9100,Array3dAverage,THREE_D,184,8,2,2,23.7637,219.471,7.291,0.003,1.311,16.214,0.445
AMD Firepro W9100,Array3dAverage,THREE_D,184,8,2,4,23.7637,215.356,7.449,0.002,0.94,15.855,0.448
AMD Firepro W9100,Array3dAverage,THREE_D,184,8,2,8,23.7637,216.355,7.088,0.002,0.895,14.403,0.46
AMD Firepro W9100,Array3dAverage,THREE_D,184,8,4,1,23.7637,239.37,7.814,0.002,2.311,9.564,3.472
AMD Firepro W9100,Array3dAverage,THREE_D,184,8,4,2,23.7637,217.206,7.376,0.003,0.892,15.111,0.444
AMD Firepro W9100,Array3dAverage,THREE_D,184,8,4,4,23.7637,216.912,7.266,0.002,0.982,16.313,0.833
AMD Firepro W9100,Array3dAverage,THREE_D,184,8,4,8,23.7637,222.883,7.663,0.002,0.922,15.742,0.454
AMD Firepro W9100,Array3dAverage,THREE_D,184,8,8,1,23.7637,214.532,6.908,0.003,0.929,15.388,0.475
AMD Firepro W9100,Array3dAverage,THREE_D,184,8,8,2,23.7637,216.779,6.778,0.004,0.924,15.866,0.515
AMD Firepro W9100,Array3dAverage,THREE_D,184,8,8,4,23.7637,214.948,7.008,0.002,0.914,16.459,0.454
AMD Firepro W9100,Array3dAverage,THREE_D,184,1,1,8,23.7637,218.41,8.021,0.002,4.551,7.039,1.467
AMD Firepro W9100,Array3dAverage,THREE_D,184,1,2,8,23.7637,207.902,7.554,0.002,3.72,6.96,2.299
AMD Firepro W9100,Array3dAverage,THREE_D,184,1,4,8,23.7637,215.151,8.286,0.002,4.164,6.979,2.421
AMD Firepro W9100,Array3dAverage,THREE_D,184,1,8,1,23.7637,209.104,8.045,0.002,4.549,6.958,1.136
AMD Firepro W9100,Array3dAverage,THREE_D,184,1,8,2,23.7637,210.309,7.96,0.002,3.55,6.943,0.063
AMD Firepro W9100,Array3dAverage,THREE_D,184,1,8,4,23.7637,209.954,7.592,0.002,3.704,7.015,0.061
AMD Firepro W9100,Array3dAverage,THREE_D,184,1,8,8,23.7637,211.006,7.266,0.002,4.013,6.98,0.061
AMD Firepro W9100,Array3dAverage,THREE_D,184,2,1,8,23.7637,214.519,7.906,0.002,2.858,7,2.296
AMD Firepro W9100,Array3dAverage,THREE_D,184,2,2,8,23.7637,213.228,7.896,0.002,2.737,6.919,2.461
AMD Firepro W9100,Array3dAverage,THREE_D,184,2,4,8,23.7637,214.048,7.878,0.002,2.597,6.961,2.489
AMD Firepro W9100,Array3dAverage,THREE_D,184,2,8,1,23.7637,208.067,8.289,0.001,2.791,7.041,1.595
AMD Firepro W9100,Array3dAverage,THREE_D,184,2,8,2,23.7637,210,7.662,0.002,2.148,7.011,0.061
AMD Firepro W9100,Array3dAverage,THREE_D,184,2,8,4,23.7637,212.02,7.703,0.001,2.217,6.921,0.063
AMD Firepro W9100,Array3dAverage,THREE_D,184,2,8,8,23.7637,213.101,7.688,0.002,2.134,6.944,0.065
AMD Firepro W9100,Array3dAverage,THREE_D,184,4,1,8,23.7637,211.381,8.132,0.001,1.97,6.989,1.758
AMD Firepro W9100,Array3dAverage,THREE_D,184,4,2,8,23.7637,213.668,8.173,0.002,1.93,6.94,2.421
AMD Firepro W9100,Array3dAverage,THREE_D,184,4,4,8,23.7637,207.517,8.449,0.001,1.973,7.008,1.917
AMD Firepro W9100,Array3dAverage,THREE_D,184,4,8,1,23.7637,209.862,8.224,0.002,1.982,6.978,1.639
AMD Firepro W9100,Array3dAverage,THREE_D,184,4,8,2,23.7637,211.103,7.479,0.002,1.42,6.945,0.064
AMD Firepro W9100,Array3dAverage,THREE_D,184,4,8,4,23.7637,211.689,7.723,0.002,1.417,6.92,0.128
AMD Firepro W9100,Array3dAverage,THREE_D,184,4,8,8,23.7637,207.071,7.565,0.003,1.414,6.934,0.065
AMD Firepro W9100,Array3dAverage,THREE_D,184,8,1,1,23.7637,207.971,8.246,0.002,4.519,6.927,1.339
AMD Firepro W9100,Array3dAverage,THREE_D,184,8,1,2,23.7637,211.02,7.309,0.001,2.293,6.963,0.068
