device/C,kernel/C,workDimension/C,a/F,b/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
AMD Firepro W9100,Computation,ONE_D,422,861,1,1,1,256,0.009,0,0.001,0.74,0,0.029
AMD Firepro W9100,Computation,ONE_D,422,861,2,1,1,256,0.004,0,0,0.231,0.001,0.017
AMD Firepro W9100,Computation,ONE_D,422,861,4,1,1,256,0.003,0,0,0.228,0,0.016
AMD Firepro W9100,Computation,ONE_D,422,861,8,1,1,256,0.003,0,0.001,0.343,0,0.016
AMD Firepro W9100,Computation,ONE_D,422,861,16,1,1,256,0.003,0,0,0.187,0,0.017
AMD Firepro W9100,Computation,ONE_D,422,861,32,1,1,256,0.004,0,0.001,0.185,0,0.016
AMD Firepro W9100,Computation,ONE_D,422,861,64,1,1,256,0.003,0,0,0.328,0,0.046
AMD Firepro W9100,Computation,ONE_D,422,861,128,1,1,256,0.003,0,0,0.306,0,0.016
AMD Firepro W9100,Computation,ONE_D,422,861,256,1,1,256,0.003,0,0,0.221,0,0.016
AMD Firepro W9100,Computation,ONE_D,212,908,1,1,1,256,0.007,0.001,0.002,0.876,0.001,0.084
AMD Firepro W9100,Computation,ONE_D,212,908,2,1,1,256,0.005,0,0.001,0.426,0,0.028
AMD Firepro W9100,Computation,ONE_D,212,908,4,1,1,256,0.003,0,0,0.394,0,0.027
AMD Firepro W9100,Computation,ONE_D,212,908,8,1,1,256,0.004,0,0,0.38,0.001,0.028
AMD Firepro W9100,Computation,ONE_D,212,908,16,1,1,256,0.004,0,0.001,0.389,0,0.054
AMD Firepro W9100,Computation,ONE_D,212,908,32,1,1,256,0.003,0,0,0.388,0.001,0.054
AMD Firepro W9100,Computation,ONE_D,212,908,64,1,1,256,0.003,0.001,0,0.397,0,0.027
AMD Firepro W9100,Computation,ONE_D,212,908,128,1,1,256,0.003,0,0,0.373,0,0.026
AMD Firepro W9100,Computation,ONE_D,212,908,256,1,1,256,0.003,0,0,0.401,0.001,0.026
