device/C,kernel/C,workDimension/C,actualMB/F,width/F,height/F,nSteps/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,19,1619,1619,3,1,1,1,20,309.057,226.921,0.015,678.475,0.001,5.195
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,19,1619,1619,3,2,1,1,20,306.271,224.781,0.017,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,19,1619,1619,3,4,1,1,20,306.952,223.505,0.018,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,19,1619,1619,3,8,1,1,20,308.776,226.012,0.017,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,19,1619,1619,3,16,1,1,20,306.768,225.936,0.016,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,19,1619,1619,3,32,1,1,20,306.355,248.904,0.009,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,19,1619,1619,3,64,1,1,20,306.966,226.027,0.015,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,19,1619,1619,3,128,1,1,20,307.294,227.465,0.017,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,19,1619,1619,3,256,1,1,20,306.515,248.858,0.009,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,19,1619,1619,3,512,1,1,20,308.416,225.328,0.015,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,19,1619,1619,3,1024,1,1,20,306.182,226.767,0.014,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,19,1619,1619,3,2048,1,1,20,307.373,227.264,0.015,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,19,1619,1619,3,4096,1,1,20,307.027,230.433,0.014,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,19,1619,1619,3,8192,1,1,20,306.878,227.63,0.015,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,19,1619,1619,3,1,1,1,20,319.955,254.97,0.015,598.501,0.001,6.04
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,19,1619,1619,3,2,1,1,20,311.527,235.705,0.015,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,19,1619,1619,3,4,1,1,20,311.053,219.952,0.017,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,19,1619,1619,3,8,1,1,20,310.881,242.526,0.01,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,19,1619,1619,3,16,1,1,20,315.21,221.557,0.014,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,19,1619,1619,3,32,1,1,20,310.96,247.284,0.01,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,19,1619,1619,3,64,1,1,20,311.163,217.792,0.014,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,19,1619,1619,3,128,1,1,20,315.082,216.603,0.014,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,19,1619,1619,3,256,1,1,20,310.959,217.752,0.015,-1,-1,-1
