device/C,kernel/C,workDimension/C,a/F,b/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,322,364,1,1,1,512,0.008,0,0.002,0.372,0.001,0.427
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,322,364,2,1,1,512,0.004,0,0.002,0.277,0,0.457
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,322,364,4,1,1,512,0.005,0,0.001,0.284,0,0.507
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,322,364,8,1,1,512,0.005,0,0.001,0.271,0.001,0.429
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,322,364,16,1,1,512,0.004,0.001,0.001,0.196,0.001,0.411
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,322,364,32,1,1,512,0.004,0,0.001,0.048,0,0.616
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,322,364,64,1,1,512,0.005,0,0.002,0.246,0.001,0.4
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,322,364,128,1,1,512,0.004,0,0.002,0.033,0,0.543
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,322,364,256,1,1,512,0.005,0,0.002,0.039,0,0.657
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,322,364,512,1,1,512,0.004,0,0.001,0.279,0.001,0.396
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,322,364,1024,1,1,512,0.004,0,0.001,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,322,364,2048,1,1,512,0.004,0,0.001,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,322,364,4096,1,1,512,0.004,0,0.001,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,322,364,8192,1,1,512,0.004,0.001,0.001,-1,-1,-1
