device/C,kernel/C,workDimension/C,width/F,height/F,maskwidth/F,maskheight/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,2985,2985,64,64,1024,1,1,33,178.68,63.577,0.007,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,2985,2985,64,64,2048,1,1,33,179.996,59.566,0.011,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,2985,2985,64,64,4096,1,1,33,178.64,59.364,0.01,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,2985,2985,64,64,8192,1,1,33,178.879,59.553,0.011,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,2985,2985,64,64,1,1,1,33,174.075,63.024,0.011,2124.74,13.116,2.208
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,2985,2985,64,64,2,1,1,33,174.441,52.091,0.009,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,2985,2985,64,64,4,1,1,33,174.044,52.61,0.011,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,2985,2985,64,64,8,1,1,33,174.073,55.493,0.008,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,2985,2985,64,64,16,1,1,33,174.462,57.218,0.02,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,2985,2985,64,64,32,1,1,33,174.241,53.151,0.009,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,2985,2985,64,64,64,1,1,33,174.202,51.782,0.007,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,2985,2985,64,64,128,1,1,33,174.126,52.803,0.009,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,2985,2985,64,64,256,1,1,33,175.135,55.201,0.008,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,2985,2985,64,64,512,1,1,33,174.303,52.738,0.011,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,2985,2985,64,64,1024,1,1,33,174.577,51.852,0.011,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,2985,2985,64,64,2048,1,1,33,180.627,59.233,0.009,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,2985,2985,64,64,4096,1,1,33,174.154,52.334,0.011,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,2985,2985,64,64,8192,1,1,33,174.357,51.671,0.01,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,2985,2985,64,64,1,1,1,33,179.016,61.439,0.011,2126.49,15.733,2.757
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,2985,2985,64,64,2,1,1,33,178.326,59.931,0.01,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,2985,2985,64,64,4,1,1,33,178.474,58.801,0.01,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,2985,2985,64,64,8,1,1,33,178.32,58.731,0.011,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,2985,2985,64,64,16,1,1,33,178.365,59.29,0.009,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,2985,2985,64,64,32,1,1,33,178.45,58.64,0.009,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,2985,2985,64,64,64,1,1,33,179.268,70.785,0.01,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,2985,2985,64,64,128,1,1,33,179.229,59.212,0.026,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,2985,2985,64,64,256,1,1,33,178.37,60.56,0.009,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,2985,2985,64,64,512,1,1,33,178.337,61.209,0.009,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,2985,2985,64,64,1024,1,1,33,178.374,62.558,0.009,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,2985,2985,64,64,2048,1,1,33,178.443,60.929,0.18,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,2985,2985,64,64,4096,1,1,33,178.411,60.252,0.011,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,2985,2985,64,64,8192,1,1,33,178.337,61.831,0.008,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,2985,2985,64,64,1,1,1,33,182.221,59.451,0.011,2127.71,22.927,2.064
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,2985,2985,64,64,2,1,1,33,178.616,60.469,0.01,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,2985,2985,64,64,4,1,1,33,178.599,59.024,0.009,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,2985,2985,64,64,8,1,1,33,178.946,59.874,0.01,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,2985,2985,64,64,16,1,1,33,178.511,59.975,0.009,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,2985,2985,64,64,32,1,1,33,178.654,59.938,0.009,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,2985,2985,64,64,64,1,1,33,178.801,59.005,0.009,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,2985,2985,64,64,128,1,1,33,179.07,60.192,0.01,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,2985,2985,64,64,256,1,1,33,178.689,58.826,0.01,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,2985,2985,64,64,512,1,1,33,178.754,59.958,0.01,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,2985,2985,64,64,1024,1,1,33,179.114,59.063,0.01,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,2985,2985,64,64,2048,1,1,33,179.846,58.721,0.025,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,2985,2985,64,64,4096,1,1,33,178.672,59.106,0.011,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,2985,2985,64,64,8192,1,1,33,178.791,59.387,0.012,-1,-1,-1
