device/C,kernel/C,workDimension/C,a/F,b/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,754,703,1,1,1,192,0.008,0,0.002,0.417,0,0.63
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,754,703,2,1,1,192,0.004,0,0.002,0.257,0,0.352
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,754,703,4,1,1,192,0.004,0,0.002,0.49,0,0.383
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,754,703,8,1,1,192,0.004,0,0.001,0.343,0.001,0.413
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,754,703,16,1,1,192,0.004,0,0.001,0.312,0,0.596
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,754,703,32,1,1,192,0.005,0,0.001,0.048,0,0.671
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,754,703,64,1,1,192,0.004,0,0.001,0.043,0,0.585
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,754,703,128,1,1,192,0.005,0,0.002,0.043,0.001,0.588
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,754,703,256,1,1,192,0.004,0,0.001,0.04,0,0.51
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,754,703,512,1,1,192,0.004,0,0.001,0.039,0,0.587
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,754,703,1024,1,1,192,0.004,0,0.001,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,754,703,2048,1,1,192,0.004,0,0.001,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,754,703,4096,1,1,192,0.004,0,0.001,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,754,703,8192,1,1,192,0.004,0,0.001,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,836,429,1,1,1,192,0.008,0,0.002,0.16,0,0.416
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,836,429,2,1,1,192,0.005,0,0.001,0.141,0,0.444
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,836,429,4,1,1,192,0.004,0,0.002,0.127,0,0.442
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,836,429,8,1,1,192,0.01,0,0.003,0.176,0,0.624
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,836,429,16,1,1,192,0.01,0,0.003,0.15,0,0.634
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,836,429,32,1,1,192,0.009,0,0.003,0.178,0,0.591
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,836,429,64,1,1,192,0.003,0,0.002,0.044,0,0.521
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,836,429,128,1,1,192,0.004,0,0.001,0.042,0.001,0.53
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,836,429,256,1,1,192,0.009,0,0.003,0.083,0,0.552
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,836,429,512,1,1,192,0.004,0,0.001,0.039,0,0.374
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,836,429,1024,1,1,192,0.004,0,0.001,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,836,429,2048,1,1,192,0.004,0,0.001,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,836,429,4096,1,1,192,0.003,0,0.001,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,836,429,8192,1,1,192,0.003,0,0.001,-1,-1,-1
