device/C,kernel/C,workDimension/C,nBodies/F,timeStep/F,nSteps/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,1.04858e+06,0.005,1,1,1,1,16,93.312,22.938,0.005,285864,0.002,1.915
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,1.04858e+06,0.005,1,2,1,1,16,89.818,20.624,0.005,285809,0.001,2.029
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,1.04858e+06,0.005,1,4,1,1,16,89.821,20.84,0.004,285814,0.001,2.259
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,1.04858e+06,0.005,1,8,1,1,16,89.883,20.735,0.005,69574.5,0.001,2.048
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,1.04858e+06,0.005,1,16,1,1,16,89.809,20.821,0.004,70029.4,0.002,1.98
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,1.04858e+06,0.005,1,32,1,1,16,89.557,20.679,0.005,69617.5,0.002,2.011
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,1.04858e+06,0.005,1,64,1,1,16,90.091,20.866,0.005,69663.9,0.001,2.007
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,1.04858e+06,0.005,1,128,1,1,16,89.918,20.884,0.005,69956.3,0.001,2.037
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,1.04858e+06,0.005,1,256,1,1,16,90.03,20.94,0.004,70254.3,0.001,1.985
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,1.04858e+06,0.005,1,512,1,1,16,89.949,20.822,0.005,71187.4,0.001,1.997
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,1.04858e+06,0.005,1,1024,1,1,16,89.879,20.774,0.004,72714.9,0.001,2.016
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,1.04858e+06,0.005,1,2048,1,1,16,89.977,20.908,0.005,74868.6,0.001,2.071
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,1.04858e+06,0.005,1,4096,1,1,16,89.964,20.949,0.005,76849.7,0.002,3.411
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,1.04858e+06,0.005,1,8192,1,1,16,94.401,24.602,0.005,78578.7,0.001,4.259
