device/C,kernel/C,workDimension/C,a/F,b/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,822,619,1,1,1,448,0.008,0,0.003,0.145,0,0.408
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,822,619,2,1,1,448,0.005,0,0.001,0.127,0,0.712
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,822,619,4,1,1,448,0.01,0,0.004,0.16,0.005,0.756
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,822,619,8,1,1,448,0.009,0,0.004,0.173,0,0.4
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,822,619,16,1,1,448,0.004,0,0.002,0.051,0,0.399
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,822,619,32,1,1,448,0.004,0,0.001,0.043,0,0.476
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,822,619,64,1,1,448,0.004,0,0.002,0.045,0,0.429
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,822,619,128,1,1,448,0.005,0,0.002,0.044,0,0.425
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,822,619,256,1,1,448,0.005,0,0.002,0.041,0.001,0.419
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,822,619,512,1,1,448,0.004,0,0.001,0.04,0,0.421
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,822,619,1024,1,1,448,0.004,0,0.001,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,822,619,2048,1,1,448,0.004,0,0.001,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,822,619,4096,1,1,448,0.004,0,0.001,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,822,619,8192,1,1,448,0.004,0.001,0.001,-1,-1,-1
