device/C,kernel/C,workDimension/C,length/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.88358e+06,1,1,1,44,246.028,22.023,0.006,7.13,14.727,1.505
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.88358e+06,2,1,1,44,237.04,22.304,0.007,4.342,7.34,1.731
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.88358e+06,4,1,1,44,234.151,22.658,0.008,4.379,3.798,1.819
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.88358e+06,8,1,1,44,232.992,22.37,0.007,4.138,1.93,1.687
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.88358e+06,16,1,1,44,232.453,22.524,0.008,1.857,1.101,1.643
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.88358e+06,32,1,1,44,230.854,22.749,0.007,1.859,0.618,1.683
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.88358e+06,64,1,1,44,230.792,22.603,0.007,1.917,0.358,1.61
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.88358e+06,128,1,1,44,231.02,22.584,0.006,2.095,0.28,1.591
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.88358e+06,256,1,1,44,232.063,22.67,0.007,2.21,0.18,1.583
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.88358e+06,512,1,1,44,230.733,22.581,0.007,2.443,0.195,1.561
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.88358e+06,1024,1,1,44,230.758,22.649,0.022,2.692,0.099,1.512
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.88358e+06,2048,1,1,44,230.99,22.746,0.007,2.974,0.081,1.531
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.88358e+06,4096,1,1,44,231.631,22.648,0.008,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.88358e+06,8192,1,1,44,227.744,22.037,0.008,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.88358e+06,1,1,1,44,248.882,22.306,0.009,5.021,14.447,1.635
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.88358e+06,2,1,1,44,236.927,23.254,0.007,4.493,7.384,1.776
