device/C,kernel/C,workDimension/C,actualMB/F,width/F,height/F,nSteps/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,15,1448,1448,3,1,1,1,16,245.85,205.524,0.016,458.165,0.001,5.067
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,15,1448,1448,3,2,1,1,16,242.891,178.858,0.014,497.319,0.001,5.085
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,15,1448,1448,3,4,1,1,16,243.577,189.561,0.012,567.95,0.001,5.242
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,15,1448,1448,3,8,1,1,16,243.972,199.081,0.009,536.33,0.001,5.64
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,15,1448,1448,3,16,1,1,16,246.37,181.162,0.015,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,15,1448,1448,3,32,1,1,16,243.837,181.057,0.015,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,15,1448,1448,3,64,1,1,16,242.824,179.942,0.015,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,15,1448,1448,3,128,1,1,16,243.988,179,0.015,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,15,1448,1448,3,256,1,1,16,243.505,179.919,0.014,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,15,1448,1448,3,512,1,1,16,248.507,179.669,0.016,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,15,1448,1448,3,1024,1,1,16,242.972,179.764,0.015,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,15,1448,1448,3,2048,1,1,16,244.069,180.486,0.014,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,15,1448,1448,3,4096,1,1,16,242.878,179.827,0.014,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,15,1448,1448,3,8192,1,1,16,249.667,177.887,0.015,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,15,1448,1448,3,1,1,1,16,251.341,178.243,0.013,546.091,0.001,4.641
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,15,1448,1448,3,2,1,1,16,245.98,179.776,0.013,542.209,0.002,4.797
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,15,1448,1448,3,4,1,1,16,243.311,200.159,0.009,544.853,0.002,5.162
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,15,1448,1448,3,8,1,1,16,243.047,196.654,0.009,531.476,0.001,5.039
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,15,1448,1448,3,16,1,1,16,243.054,203.746,0.009,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,15,1448,1448,3,32,1,1,16,243.794,181.099,0.014,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,15,1448,1448,3,64,1,1,16,243.047,177.915,0.012,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,15,1448,1448,3,128,1,1,16,242.303,177.67,0.013,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,15,1448,1448,3,256,1,1,16,241.62,196.79,0.009,-1,-1,-1
