nVectors,memcpyOut,plan,execu,memcpyIn
2,0.030,175.058,0.080,0.035,
100000,0.645,0.301,0.090,0.818,
200000,0.916,0.286,0.117,1.496,
300000,1.198,0.288,0.180,2.160,
400000,1.498,0.299,0.201,2.783,
500000,1.771,0.286,0.223,3.442,
600000,2.011,0.299,0.306,3.558,
700000,2.311,0.294,0.356,4.210,
800000,2.640,0.309,0.344,4.344,
900000,2.928,0.293,0.440,4.985,
1000000,3.205,0.303,0.397,5.636,
1100000,3.453,0.349,0.664,5.776,
1200000,3.789,0.293,0.584,6.426,
1300000,4.109,0.349,0.772,7.069,
1400000,4.387,0.292,0.647,7.208,
1500000,4.611,0.298,0.717,7.860,
1600000,4.958,0.301,0.688,8.004,
1700000,5.279,0.358,1.043,8.638,
1800000,5.536,0.298,0.822,9.280,
1900000,5.792,0.365,1.176,9.435,
2000000,6.166,0.296,0.755,10.078,
2100000,6.465,0.378,1.156,10.220,
2200000,6.728,0.367,1.251,10.861,
2300000,6.993,0.368,1.508,11.508,
2400000,7.291,0.301,1.128,11.675,
2500000,7.620,0.310,1.134,12.301,
2600000,7.918,0.362,1.476,12.960,
2700000,8.189,0.317,1.225,13.224,
2800000,8.481,0.314,1.276,14.009,
2900000,8.825,0.372,1.838,13.999,
3000000,9.159,0.330,1.368,14.541,
3100000,9.405,0.373,2.061,15.193,
3200000,9.710,0.321,1.434,15.348,
3300000,10.075,0.409,2.149,15.980,
3400000,10.393,0.386,2.015,16.616,
3500000,10.711,0.346,1.598,16.749,
3600000,10.980,0.331,1.639,17.510,
3700000,11.353,0.401,2.740,17.561,
3800000,11.710,0.406,2.276,18.215,
3900000,12.000,0.424,2.540,18.870,
4000000,12.252,0.347,1.515,19.048,
4100000,12.620,0.409,3.018,19.663,
4200000,12.992,0.439,2.224,19.788,
4300000,13.336,0.417,3.390,20.480,
4400000,13.673,0.442,2.501,21.122,
4500000,13.916,0.374,2.040,21.260,
4600000,14.469,0.433,2.960,21.879,
4700000,14.635,0.441,3.684,22.638,
4800000,14.906,0.377,2.447,22.665,
4900000,15.212,0.390,2.205,23.331,
5000000,15.586,0.394,2.240,23.197,
5100000,13.516,0.383,3.463,19.565,
5200000,13.782,0.358,2.986,20.162,
5300000,14.022,0.374,4.063,20.282,
5400000,14.311,0.327,2.420,20.856,
5500000,14.599,0.376,3.071,21.266,
5600000,14.949,0.327,2.663,21.365,
5700000,15.227,0.386,3.908,21.962,
5800000,15.391,0.397,3.611,22.162,
5900000,15.722,0.394,4.420,22.764,
6000000,15.961,0.358,2.742,23.084,
6100000,16.171,0.403,5.118,23.394,
6200000,16.523,0.396,4.039,23.719,
6300000,16.806,0.417,3.278,23.834,
6400000,17.047,0.377,2.814,24.364,
6500000,17.248,0.411,3.665,24.852,
6600000,17.558,0.426,4.241,25.075,
6700000,18.098,0.424,6.095,25.798,
6800000,18.105,0.464,4.066,26.032,
6900000,18.383,0.441,5.013,26.208,
7000000,18.615,0.390,3.136,26.776,
7100000,18.894,0.426,6.658,26.796,
7200000,19.197,0.397,3.281,27.325,
7300000,19.397,0.441,7.425,27.828,
7400000,19.711,0.421,5.356,28.019,
7500000,19.977,0.461,3.910,28.537,
7600000,20.245,0.446,4.581,29.036,
7700000,20.567,0.449,4.923,29.379,
7800000,20.674,0.466,5.014,29.704,
7900000,20.950,0.452,8.089,29.777,
8000000,21.288,0.420,3.210,30.348,
8100000,21.530,0.484,3.597,30.830,
8200000,21.771,0.489,5.923,31.011,
8300000,22.031,0.494,8.435,31.504,
8400000,22.313,0.509,4.489,31.746,
8500000,22.610,0.503,5.020,32.722,
8600000,22.886,0.507,6.694,33.026,
8700000,23.363,0.526,6.178,32.890,
8800000,23.363,0.511,4.847,33.364,
8900000,23.681,0.510,10.039,33.769,
9000000,23.879,0.474,4.020,33.955,
9100000,24.166,0.528,5.850,34.499,
9200000,24.436,0.523,5.989,34.526,
9300000,24.869,0.502,6.876,35.170,
9400000,24.990,0.517,7.253,35.655,
9500000,25.173,0.514,5.670,35.723,
9600000,25.481,0.474,5.007,36.506,
9700000,25.758,0.522,11.154,36.372,
9800000,25.984,0.476,4.300,36.876,
9900000,26.224,0.541,6.326,37.539,
10000000,26.499,0.492,4.544,37.781,
2,0.149,0.145,0.031,0.021,
100000,0.515,0.223,0.075,0.664,
200000,0.718,0.221,0.103,0.972,
300000,1.031,0.224,0.172,1.246,
400000,1.284,0.234,0.187,1.517,
500000,1.500,0.223,0.218,1.773,
600000,1.700,0.224,0.301,2.055,
700000,1.998,0.226,0.340,2.314,
800000,2.252,0.223,0.334,2.597,
900000,2.479,0.229,0.426,2.853,
1000000,2.701,0.233,0.391,3.127,
1100000,2.937,0.268,0.656,3.429,
1200000,3.228,0.234,0.571,3.862,
1300000,3.474,0.267,0.770,3.964,
1400000,3.694,0.226,0.642,4.203,
1500000,3.907,0.226,0.705,4.494,
1600000,4.206,0.231,0.673,4.741,
1700000,4.523,0.270,1.033,5.006,
1800000,4.668,0.287,0.812,5.275,
1900000,4.881,0.272,1.163,5.552,
2000000,5.190,0.230,0.748,5.809,
2100000,5.476,0.282,1.139,6.076,
2200000,5.673,0.275,1.248,6.387,
2300000,5.888,0.288,1.503,6.642,
2400000,6.168,0.236,1.122,6.892,
2500000,6.469,0.245,1.127,7.138,
2600000,6.711,0.279,1.469,7.407,
2700000,6.901,0.239,1.220,7.692,
2800000,7.165,0.238,1.269,7.961,
2900000,7.508,0.286,1.829,8.211,
3000000,7.729,0.251,1.360,8.531,
3100000,7.951,0.297,2.045,8.832,
3200000,8.211,0.254,1.416,9.036,
3300000,8.561,0.307,2.147,9.298,
3400000,8.838,0.303,2.004,9.557,
3500000,9.035,0.267,1.592,9.848,
3600000,9.264,0.263,1.632,10.104,
3700000,9.589,0.310,2.718,10.371,
3800000,9.898,0.313,2.263,10.816,
