nThreads,memcpyOut,plan,execu,memcpyIn
9,0.685,7.912,1.544,0.780,
10,0.687,7.899,1.673,0.813,
11,0.667,7.848,1.771,0.817,
12,0.667,7.855,1.737,0.819,
13,0.673,7.859,1.716,0.830,
14,0.671,7.836,1.662,0.795,
15,0.668,7.861,1.715,0.801,
16,0.679,7.873,1.566,0.814,
17,0.666,7.920,1.716,0.803,
18,0.679,7.888,1.732,0.816,
19,0.682,7.880,1.722,0.813,
20,0.682,7.883,1.668,0.813,
21,0.672,8.264,1.681,0.828,
22,0.690,8.240,1.630,0.793,
23,0.661,8.267,1.965,0.787,
24,0.667,8.260,1.679,0.800,
25,0.673,8.265,1.681,0.781,
26,0.696,8.525,1.360,0.795,
27,0.675,8.489,1.209,0.823,
28,0.659,8.505,1.292,1.024,
29,0.985,10.715,1.211,0.805,
30,0.674,8.506,1.100,0.825,
31,0.679,8.514,1.126,0.793,
32,0.679,8.510,1.248,0.825,
33,0.681,8.494,1.316,0.788,
34,0.683,8.520,1.362,1.044,
35,0.963,10.182,1.365,0.831,
36,0.660,8.521,1.412,0.831,
37,0.665,8.517,1.343,0.829,
38,0.681,8.512,1.352,1.050,
39,0.989,10.954,1.005,0.791,
40,0.663,8.528,1.158,0.800,
41,0.687,8.502,1.370,0.804,
42,0.669,8.520,1.376,0.819,
43,0.682,8.508,1.315,0.827,
44,0.682,8.538,1.447,0.804,
45,0.679,8.510,1.408,0.818,
46,0.678,8.525,1.415,1.038,
47,1.006,13.530,1.388,0.802,
48,0.685,8.530,1.121,0.981,
1,1.002,5.009,3.910,0.724,
2,0.711,7.074,3.359,0.760,
3,0.743,8.090,1.505,0.781,
4,0.720,7.447,1.315,0.743,
5,0.726,7.590,2.602,0.786,
6,0.715,7.781,3.180,0.802,
7,0.732,9.098,2.983,0.853,
8,0.836,10.459,3.155,0.777,
9,0.713,8.425,1.661,0.838,
10,0.740,9.052,1.742,0.831,
11,0.748,8.943,1.768,0.852,
12,0.725,8.849,1.798,0.821,
13,0.697,7.850,1.741,0.827,
14,0.676,7.853,1.878,0.827,
15,0.677,7.863,1.744,0.818,
16,0.695,7.848,1.579,0.828,
17,0.698,7.876,1.592,0.828,
18,0.695,7.868,1.534,0.789,
19,0.700,7.875,1.511,0.648,
20,0.572,7.864,1.152,0.804,
21,0.707,8.265,1.311,0.804,
22,0.688,8.234,1.624,0.820,
23,0.701,8.248,1.520,0.828,
24,0.687,8.254,1.819,0.836,
25,0.679,8.254,1.629,0.831,
26,0.675,8.548,1.378,0.848,
27,0.669,8.498,1.378,1.031,
28,0.996,11.834,1.170,0.916,
29,0.967,9.243,1.234,0.818,
30,0.675,8.504,1.166,0.802,
31,0.691,8.499,1.223,0.807,
32,0.681,8.502,1.192,1.047,
33,0.990,10.920,1.080,0.794,
34,0.689,8.515,1.164,0.857,
35,0.698,8.506,1.119,0.803,
36,0.684,8.520,1.105,0.780,
37,0.691,8.521,1.329,0.801,
38,0.679,8.505,1.331,0.822,
39,0.671,8.520,1.308,0.828,
40,0.693,8.507,1.296,0.817,
41,0.687,8.527,1.378,0.836,
42,0.690,8.500,1.244,0.808,
43,0.688,8.525,1.232,0.829,
44,0.695,8.515,1.316,0.831,
45,0.692,8.520,1.445,0.826,
46,0.686,8.527,1.312,0.827,
47,0.674,8.519,1.507,0.828,
48,0.688,8.530,1.391,0.825,
1,0.679,4.195,3.877,0.726,
2,0.723,7.064,2.940,0.731,
3,0.720,7.445,1.412,0.726,
4,0.709,7.438,1.467,0.740,
5,0.711,7.603,2.172,0.769,
6,0.727,7.705,2.360,0.812,
7,0.714,8.163,2.288,0.826,
8,0.728,8.623,2.324,0.803,
9,0.787,9.489,1.634,0.855,
10,0.762,9.060,1.718,0.795,
11,0.682,7.857,1.783,0.827,
12,0.691,7.836,1.652,0.796,
13,0.713,7.838,1.875,0.831,
14,0.675,7.862,1.816,0.814,
15,0.694,7.856,1.783,0.783,
16,0.706,7.859,1.745,0.817,
17,0.691,7.853,1.655,0.809,
18,0.692,7.872,1.614,0.825,
19,0.704,7.879,1.661,0.830,
20,0.697,7.884,1.755,0.820,
21,0.708,8.276,1.871,0.848,
22,0.664,8.219,1.757,1.055,
23,0.967,12.572,1.428,0.809,
24,0.671,8.247,1.490,0.848,
25,0.668,8.238,1.680,0.827,
26,0.678,8.531,1.165,1.054,
27,0.999,12.577,1.166,0.819,
28,0.667,8.495,1.181,0.815,
29,0.677,8.500,1.137,0.806,
30,0.673,8.512,1.220,0.835,
31,0.686,8.507,1.376,0.819,
32,0.677,8.525,1.153,0.807,
33,0.670,8.509,1.295,0.814,
34,0.684,8.516,1.349,0.825,
35,0.677,8.506,1.365,0.818,
36,0.684,8.514,1.177,0.809,
37,0.670,8.517,1.351,1.041,
38,1.009,12.516,1.077,0.795,
39,0.697,8.518,1.347,0.797,
40,0.677,8.537,1.311,1.050,
41,0.783,8.545,1.303,0.820,
42,0.681,8.506,1.274,0.783,
43,0.688,8.543,1.194,0.814,
44,0.687,8.511,1.155,0.805,
45,0.679,8.506,1.166,0.820,
46,0.686,8.521,1.254,0.796,
47,0.686,8.541,1.313,1.020,
48,0.680,8.551,1.295,0.832,
1,0.683,4.201,3.846,0.723,
2,0.702,7.063,2.563,0.738,
3,0.711,7.452,2.808,0.783,
4,0.685,7.677,2.593,0.791,
5,0.720,8.297,2.519,0.820,
6,0.708,8.715,2.687,0.841,
7,0.731,8.965,2.301,0.824,
8,0.671,7.765,2.163,0.792,
9,0.688,8.251,1.887,0.830,
10,0.661,8.546,1.704,0.823,
11,0.692,8.540,1.831,0.880,
12,0.786,10.531,1.829,0.813,
13,0.671,7.839,1.718,0.833,
14,0.678,7.848,1.613,0.797,
15,0.680,7.877,1.623,0.844,
16,0.697,7.870,1.769,0.796,
17,0.704,7.882,1.511,0.803,
18,0.682,7.864,1.570,0.822,
19,0.683,7.885,1.825,0.785,
20,0.694,7.885,1.750,0.803,
21,0.685,8.311,1.499,0.814,
22,0.662,8.227,1.400,0.818,
23,0.659,8.245,1.622,0.812,
24,0.690,8.228,1.700,0.818,
25,0.694,8.243,1.798,1.051,
26,0.969,12.160,1.113,0.785,
27,0.669,8.524,1.088,0.792,
28,0.686,8.505,1.246,0.812,
29,0.699,8.496,1.408,0.794,
30,0.678,8.501,1.367,0.819,
31,0.682,8.508,1.533,1.045,
32,0.988,10.735,1.285,0.974,
33,0.988,8.587,1.339,0.964,
34,0.986,12.551,1.323,1.036,
35,0.982,14.505,1.329,0.824,
36,0.671,8.518,1.297,0.828,
37,0.677,8.506,1.407,0.813,
38,0.684,8.536,1.431,1.029,
39,0.782,8.523,1.044,0.992,
40,0.951,12.275,1.309,0.788,
41,0.662,8.521,1.259,0.793,
42,0.669,8.516,1.098,0.793,
43,0.684,8.496,1.388,0.815,
44,0.668,8.531,1.449,0.801,
45,0.676,8.510,1.381,0.822,
46,0.671,8.530,1.281,0.820,
47,0.674,8.511,1.386,0.817,
48,0.672,8.695,1.356,0.795,
1,0.679,4.200,3.884,0.723,
2,0.709,7.073,3.509,0.760,
3,0.731,8.115,2.661,0.782,
4,0.726,8.294,2.196,0.765,
5,0.691,7.628,2.065,0.793,
6,0.674,7.615,2.311,0.804,
7,0.692,7.885,1.763,0.808,
8,0.708,7.957,2.102,0.824,
9,0.721,8.240,1.355,0.805,
10,0.692,7.919,1.303,0.819,
11,0.704,7.860,1.619,0.783,
12,0.705,7.832,1.601,0.806,
13,0.664,7.853,1.593,0.823,
14,0.664,7.874,1.598,0.832,
15,0.683,7.873,1.485,0.821,
16,0.697,7.883,1.401,0.802,
17,0.693,7.876,1.242,0.779,
18,0.690,7.860,1.386,0.787,
19,0.700,7.896,1.460,0.790,
20,0.694,7.861,1.497,0.796,
21,0.694,8.262,1.351,0.804,
22,0.660,8.227,1.621,0.810,
23,0.664,8.258,1.545,0.797,
24,0.678,8.227,1.748,0.835,
