device/C,kernel/C,workDimension/C,nEvents/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
AMD Firepro W9100,Uux3a,ONE_D,3.4603e+06,1,1,1,263,1412.99,73.215,0.004,183.951,7.653,11.572
AMD Firepro W9100,Uux3a,ONE_D,3.4603e+06,2,1,1,263,1412.46,74.669,0.003,91.678,7.598,11.21
AMD Firepro W9100,Uux3a,ONE_D,3.4603e+06,4,1,1,263,1409.9,75.47,0.003,46.278,7.527,6.64
AMD Firepro W9100,Uux3a,ONE_D,3.4603e+06,8,1,1,263,1411.84,73.986,0.002,23.502,7.544,11.723
AMD Firepro W9100,Uux3a,ONE_D,3.4603e+06,16,1,1,263,1412.14,74.512,0.004,12.16,7.511,11.238
AMD Firepro W9100,Uux3a,ONE_D,3.4603e+06,32,1,1,263,1414.27,74.264,0.005,6.592,7.532,11.246
AMD Firepro W9100,Uux3a,ONE_D,3.4603e+06,64,1,1,263,1410.16,74.157,0.004,3.724,7.692,11.237
AMD Firepro W9100,Uux3a,ONE_D,3.4603e+06,128,1,1,263,1412.83,75.47,0.004,3.766,7.523,11.242
AMD Firepro W9100,Uux3a,ONE_D,3.4603e+06,256,1,1,263,1408.98,77.252,0.002,4.097,7.472,6.199
AMD Firepro W9100,Uux3a,ONE_D,3.4603e+06,1,1,1,263,1414.1,77.208,0.003,183.339,7.99,12.411
AMD Firepro W9100,Uux3a,ONE_D,3.4603e+06,2,1,1,263,1423.33,75.313,0.002,91.74,7.495,11.215
AMD Firepro W9100,Uux3a,ONE_D,3.4603e+06,4,1,1,263,1413.99,74.868,0.003,46.285,7.474,6.547
AMD Firepro W9100,Uux3a,ONE_D,3.4603e+06,8,1,1,263,1415.32,74.783,0.003,23.489,7.475,6.603
AMD Firepro W9100,Uux3a,ONE_D,3.4603e+06,16,1,1,263,1419.87,73.65,0.003,12.182,7.469,6.581
AMD Firepro W9100,Uux3a,ONE_D,3.4603e+06,32,1,1,263,1418.64,73.948,0.006,6.619,7.457,11.846
AMD Firepro W9100,Uux3a,ONE_D,3.4603e+06,64,1,1,263,1418.65,74.947,0.002,3.699,7.749,6.492
AMD Firepro W9100,Uux3a,ONE_D,3.4603e+06,128,1,1,263,1416.2,76.115,0.003,3.743,7.475,6.505
AMD Firepro W9100,Uux3a,ONE_D,3.4603e+06,256,1,1,263,1417.45,73.857,0.003,4.132,7.495,11.243
AMD Firepro W9100,Uux3a,ONE_D,3.4603e+06,1,1,1,263,1411.55,75.224,0.003,183.422,7.898,7.176
AMD Firepro W9100,Uux3a,ONE_D,3.4603e+06,2,1,1,263,1412.14,71.555,0.004,91.67,7.39,11.763
AMD Firepro W9100,Uux3a,ONE_D,3.4603e+06,4,1,1,263,1416.52,76.641,0.003,46.275,7.412,11.187
AMD Firepro W9100,Uux3a,ONE_D,3.4603e+06,8,1,1,263,1412.46,76.157,0.004,23.558,7.433,6.552
AMD Firepro W9100,Uux3a,ONE_D,3.4603e+06,16,1,1,263,1413.02,61.668,0.003,12.061,5.63,6.402
AMD Firepro W9100,Uux3a,ONE_D,3.4603e+06,32,1,1,263,1437.5,77.068,0.002,6.719,7.565,8.736
AMD Firepro W9100,Uux3a,ONE_D,3.4603e+06,64,1,1,263,1549.9,66.568,0.002,3.506,4.769,8.787
AMD Firepro W9100,Uux3a,ONE_D,3.4603e+06,128,1,1,263,1432.71,67.298,0.002,3.634,5.327,9.254
AMD Firepro W9100,Uux3a,ONE_D,3.4603e+06,256,1,1,263,1426.18,69.459,0.004,4.076,6.893,14.549
AMD Firepro W9100,Uux3a,ONE_D,3.4603e+06,1,1,1,263,1415.16,79.208,0.004,184.34,7.636,16.961
AMD Firepro W9100,Uux3a,ONE_D,3.4603e+06,2,1,1,263,1418.4,77.142,0.003,91.666,6.826,10.62
AMD Firepro W9100,Uux3a,ONE_D,3.4603e+06,4,1,1,263,1416.46,78.812,0.004,46.443,7.585,15.528
AMD Firepro W9100,Uux3a,ONE_D,3.4603e+06,8,1,1,263,1422.22,77.931,0.005,23.68,7.632,13.184
AMD Firepro W9100,Uux3a,ONE_D,3.4603e+06,16,1,1,263,1429.61,74.812,0.003,12.312,7.349,6.667
