device/C,kernel/C,workDimension/C,nEvents/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
AMD Firepro W9100,Uux3a,ONE_D,2.62144e+06,8,1,1,200,1343.17,60.33,0.004,1.977,0.035,8.38
AMD Firepro W9100,Uux3a,ONE_D,2.62144e+06,16,1,1,200,1347.09,56.44,0.003,1.231,0.035,8.275
AMD Firepro W9100,Uux3a,ONE_D,2.62144e+06,32,1,1,200,1345.28,61.301,0.005,0.872,0.032,8.32
AMD Firepro W9100,Uux3a,ONE_D,2.62144e+06,64,1,1,200,1346.91,57.884,0.004,0.691,0.02,11.926
AMD Firepro W9100,Uux3a,ONE_D,2.62144e+06,128,1,1,200,1349.84,57.666,0.003,0.511,0.034,8.276
AMD Firepro W9100,Uux3a,ONE_D,2.62144e+06,256,1,1,200,1346,62.091,0.004,0.461,0.034,8.273
AMD Firepro W9100,Uux3a,ONE_D,2.62144e+06,1,1,1,200,1348.11,62.805,0.004,11.965,0.033,8.123
AMD Firepro W9100,Uux3a,ONE_D,2.62144e+06,2,1,1,200,1351.29,59.552,0.003,6.196,0.033,8.108
AMD Firepro W9100,Uux3a,ONE_D,2.62144e+06,4,1,1,200,1342.37,61.106,0.003,3.401,0.014,11.766
AMD Firepro W9100,Uux3a,ONE_D,2.62144e+06,8,1,1,200,1342.15,57.873,0.004,1.976,0.034,8.073
AMD Firepro W9100,Uux3a,ONE_D,2.62144e+06,16,1,1,200,1342.01,58.061,0.005,1.209,0.01,7.712
AMD Firepro W9100,Uux3a,ONE_D,2.62144e+06,32,1,1,200,1341.5,58.189,0.003,0.874,0.03,8.05
AMD Firepro W9100,Uux3a,ONE_D,2.62144e+06,64,1,1,200,1344.24,58.431,0.003,0.595,0.03,8.095
AMD Firepro W9100,Uux3a,ONE_D,2.62144e+06,128,1,1,200,1342.96,57.76,0.003,0.514,0.03,7.674
AMD Firepro W9100,Uux3a,ONE_D,2.62144e+06,256,1,1,200,1344.28,57.45,0.004,0.4,0.008,8.042
AMD Firepro W9100,Uux3a,ONE_D,2.62144e+06,1,1,1,200,1341.65,58.491,0.002,12.151,0.042,8.991
AMD Firepro W9100,Uux3a,ONE_D,2.62144e+06,2,1,1,200,1342.72,55.491,0.003,6.218,0.048,5.207
AMD Firepro W9100,Uux3a,ONE_D,2.62144e+06,4,1,1,200,1344.94,56.917,0.003,3.448,0.043,9.263
AMD Firepro W9100,Uux3a,ONE_D,2.62144e+06,8,1,1,200,1342.26,57.579,0.002,2,0.046,5.207
AMD Firepro W9100,Uux3a,ONE_D,2.62144e+06,16,1,1,200,1344.35,56.858,0.003,1.278,0.053,5.182
AMD Firepro W9100,Uux3a,ONE_D,2.62144e+06,32,1,1,200,1344.35,55.227,0.002,0.919,0.046,5.229
