device/C,kernel/C,workDimension/C,actualMB/F,width/F,height/F,nSteps/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
AMD Firepro W9100,FluidSimulation,ONE_D,43,2401,2401,3,1,1,1,44,684.046,147.801,0.008,1725.29,0.002,23.995
AMD Firepro W9100,FluidSimulation,ONE_D,43,2401,2401,3,2,1,1,44,685.273,134.611,0.007,1284.84,0.002,22.648
AMD Firepro W9100,FluidSimulation,ONE_D,43,2401,2401,3,4,1,1,44,702.4,135.508,0.006,1182.4,0.002,22.658
AMD Firepro W9100,FluidSimulation,ONE_D,43,2401,2401,3,8,1,1,44,682.893,127.218,0.007,1172.02,0.002,22.679
AMD Firepro W9100,FluidSimulation,ONE_D,43,2401,2401,3,16,1,1,44,683.116,136.632,0.006,1189.59,0.001,22.958
AMD Firepro W9100,FluidSimulation,ONE_D,43,2401,2401,3,32,1,1,44,681.985,128.224,0.004,1186.67,0.002,22.789
AMD Firepro W9100,FluidSimulation,ONE_D,43,2401,2401,3,64,1,1,44,682.155,130.659,0.003,1184.92,0.001,22.694
AMD Firepro W9100,FluidSimulation,ONE_D,43,2401,2401,3,128,1,1,44,683.304,128.453,0.006,1184.51,0.001,22.897
AMD Firepro W9100,FluidSimulation,ONE_D,43,2401,2401,3,256,1,1,44,694.565,133.64,0.006,1188.21,0.001,22.744
AMD Firepro W9100,FluidSimulation,ONE_D,43,2401,2401,3,1,1,1,44,683.392,139.277,0.006,1400.14,0.001,39.428
AMD Firepro W9100,FluidSimulation,ONE_D,43,2401,2401,3,2,1,1,44,683.519,134.842,0.004,1521.03,0.001,22.916
AMD Firepro W9100,FluidSimulation,ONE_D,43,2401,2401,3,4,1,1,44,684.651,134.834,0.004,1182.44,0.002,22.786
AMD Firepro W9100,FluidSimulation,ONE_D,43,2401,2401,3,8,1,1,44,682.891,137.174,0.006,1158.95,0.001,23.005
AMD Firepro W9100,FluidSimulation,ONE_D,43,2401,2401,3,16,1,1,44,683.395,129.218,0.004,1184.52,0.001,22.962
AMD Firepro W9100,FluidSimulation,ONE_D,43,2401,2401,3,32,1,1,44,693.309,133.359,0.007,1189.74,0.001,23.141
AMD Firepro W9100,FluidSimulation,ONE_D,43,2401,2401,3,64,1,1,44,683.917,129.298,0.004,1184.31,0.001,23.14
AMD Firepro W9100,FluidSimulation,ONE_D,43,2401,2401,3,128,1,1,44,683.598,133.953,0.007,1190.5,0.001,23.007
AMD Firepro W9100,FluidSimulation,ONE_D,43,2401,2401,3,256,1,1,44,683.385,134.734,0.004,1188.52,0.001,22.963
AMD Firepro W9100,FluidSimulation,ONE_D,43,2401,2401,3,1,1,1,44,684.95,135.188,0.004,1456.06,0.001,24.683
AMD Firepro W9100,FluidSimulation,ONE_D,43,2401,2401,3,2,1,1,44,686.019,133.922,0.007,1257.14,0.001,23.499
AMD Firepro W9100,FluidSimulation,ONE_D,43,2401,2401,3,4,1,1,44,686.162,134.781,0.007,1153.79,0.001,23.658
AMD Firepro W9100,FluidSimulation,ONE_D,43,2401,2401,3,8,1,1,44,686.074,136.582,0.004,1158.93,0.001,23.661
AMD Firepro W9100,FluidSimulation,ONE_D,43,2401,2401,3,16,1,1,44,686.15,138.661,0.006,1157.99,0.001,23.616
AMD Firepro W9100,FluidSimulation,ONE_D,43,2401,2401,3,32,1,1,44,686.568,128.266,0.006,1154.32,0.001,23.7
AMD Firepro W9100,FluidSimulation,ONE_D,43,2401,2401,3,64,1,1,44,686.152,136.182,0.004,1160.09,0.001,23.563
AMD Firepro W9100,FluidSimulation,ONE_D,43,2401,2401,3,128,1,1,44,686.209,133.989,0.007,1164.94,0.001,23.277
AMD Firepro W9100,FluidSimulation,ONE_D,43,2401,2401,3,256,1,1,44,685.537,131.397,0.006,1161.29,0.001,23.241
AMD Firepro W9100,FluidSimulation,ONE_D,43,2401,2401,3,1,1,1,44,688.589,134.105,0.006,1454.7,0.002,24.563
AMD Firepro W9100,FluidSimulation,ONE_D,43,2401,2401,3,2,1,1,44,685.443,134.552,0.004,1245.92,0.002,23.32
AMD Firepro W9100,FluidSimulation,ONE_D,43,2401,2401,3,4,1,1,44,684.928,136.796,0.004,1154.14,0.002,23.399
AMD Firepro W9100,FluidSimulation,ONE_D,43,2401,2401,3,8,1,1,44,685.256,137.237,0.004,1138.35,0.001,23.421
AMD Firepro W9100,FluidSimulation,ONE_D,43,2401,2401,3,16,1,1,44,684.892,127.439,0.005,1161.96,0.002,23.41
AMD Firepro W9100,FluidSimulation,ONE_D,43,2401,2401,3,32,1,1,44,685.137,134.269,0.004,1166.07,0.001,23.402
AMD Firepro W9100,FluidSimulation,ONE_D,43,2401,2401,3,64,1,1,44,685.21,135.592,0.004,1166.96,0.001,23.367
AMD Firepro W9100,FluidSimulation,ONE_D,43,2401,2401,3,128,1,1,44,693.314,137.248,0.004,1164.3,0.002,23.383
AMD Firepro W9100,FluidSimulation,ONE_D,43,2401,2401,3,256,1,1,44,685.134,135.528,0.004,1157.52,0.001,23.378
AMD Firepro W9100,FluidSimulation,ONE_D,43,2401,2401,3,1,1,1,44,687.22,143.663,0.005,1718.21,0.001,24.356
AMD Firepro W9100,FluidSimulation,ONE_D,43,2401,2401,3,2,1,1,44,691.538,132.887,0.004,1260.8,0.001,23.063
AMD Firepro W9100,FluidSimulation,ONE_D,43,2401,2401,3,4,1,1,44,690.869,138.252,0.004,1156.39,0.001,23.072
AMD Firepro W9100,FluidSimulation,ONE_D,43,2401,2401,3,8,1,1,44,689.69,128.142,0.004,1122.17,0.002,23.222
AMD Firepro W9100,FluidSimulation,ONE_D,43,2401,2401,3,16,1,1,44,689.831,134.834,0.004,1157.69,0.001,27.414
AMD Firepro W9100,FluidSimulation,ONE_D,43,2401,2401,3,32,1,1,44,689.936,134.848,0.006,1154.31,0.002,23.248
AMD Firepro W9100,FluidSimulation,ONE_D,43,2401,2401,3,64,1,1,44,689.703,137.722,0.006,1165.49,0.001,23.294
AMD Firepro W9100,FluidSimulation,ONE_D,43,2401,2401,3,128,1,1,44,689.801,126.543,0.004,1159.29,0.001,23.224
AMD Firepro W9100,FluidSimulation,ONE_D,43,2401,2401,3,256,1,1,44,694.288,132.774,0.006,1161.16,0.001,23.209
AMD Firepro W9100,FluidSimulation,ONE_D,43,2401,2401,3,1,1,1,44,685.456,138.498,0.006,1450.47,0.002,24.617
