device/C,kernel/C,workDimension/C,length/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
AMD Firepro W9100,Reduction,ONE_D,2.49037e+06,1,1,1,38,209.183,26.113,0.004,19.454,18.658,1.883
AMD Firepro W9100,Reduction,ONE_D,2.49037e+06,2,1,1,38,203.568,25.257,0.004,13.029,9.805,0.802
AMD Firepro W9100,Reduction,ONE_D,2.49037e+06,4,1,1,38,199.118,25.231,0.003,10.637,4.357,0.628
AMD Firepro W9100,Reduction,ONE_D,2.49037e+06,8,1,1,38,197.475,26.856,0.003,9.716,3.071,0.595
AMD Firepro W9100,Reduction,ONE_D,2.49037e+06,16,1,1,38,196.223,26.798,0.004,9.024,1.584,0.937
AMD Firepro W9100,Reduction,ONE_D,2.49037e+06,32,1,1,38,199.969,26.887,0.003,9.226,0.496,0.48
AMD Firepro W9100,Reduction,ONE_D,2.49037e+06,64,1,1,38,200.808,26.764,0.004,9.423,0.301,0.472
AMD Firepro W9100,Reduction,ONE_D,2.49037e+06,128,1,1,38,202.108,26.797,0.004,9.369,0.152,0.409
AMD Firepro W9100,Reduction,ONE_D,2.49037e+06,256,1,1,38,196.374,26.805,0.003,9.194,0.104,0.411
AMD Firepro W9100,Reduction,ONE_D,2.49037e+06,1,1,1,38,209.548,25.995,0.003,18.397,18.859,1.836
AMD Firepro W9100,Reduction,ONE_D,2.49037e+06,2,1,1,38,200.313,25.257,0.002,12.754,6.826,0.914
AMD Firepro W9100,Reduction,ONE_D,2.49037e+06,4,1,1,38,198.047,25.193,0.003,9.919,4.737,0.866
AMD Firepro W9100,Reduction,ONE_D,2.49037e+06,8,1,1,38,198.908,25.239,0.003,9.393,2.106,0.527
AMD Firepro W9100,Reduction,ONE_D,2.49037e+06,16,1,1,38,196.153,26.772,0.003,9.215,0.847,0.855
AMD Firepro W9100,Reduction,ONE_D,2.49037e+06,32,1,1,38,199.843,26.814,0.003,9.305,0.708,0.822
AMD Firepro W9100,Reduction,ONE_D,2.49037e+06,64,1,1,38,200.758,26.762,0.003,9.022,0.306,0.403
AMD Firepro W9100,Reduction,ONE_D,2.49037e+06,128,1,1,38,203.942,26.804,0.003,9.291,0.151,0.412
AMD Firepro W9100,Reduction,ONE_D,2.49037e+06,256,1,1,38,201.917,26.765,0.004,8.972,0.142,0.598
AMD Firepro W9100,Reduction,ONE_D,2.49037e+06,1,1,1,38,209.135,15.061,0.019,23.255,18.144,2.676
AMD Firepro W9100,Reduction,ONE_D,2.49037e+06,2,1,1,38,204.844,13.749,0.004,14.718,9.43,0.603
AMD Firepro W9100,Reduction,ONE_D,2.49037e+06,4,1,1,38,202.487,13.679,0.019,10.693,7.834,0.684
AMD Firepro W9100,Reduction,ONE_D,2.49037e+06,8,1,1,38,201.639,13.667,0.018,10.192,3.539,0.378
AMD Firepro W9100,Reduction,ONE_D,2.49037e+06,16,1,1,38,200.629,13.731,0.019,9.197,0.958,0.259
