device/C,kernel/C,workDimension/C,width/F,height/F,steps/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,810,1620,4,8,2,1,20.0226,446.723,23.179,0.006,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,810,1620,4,8,4,1,20.0226,451.375,22.907,0.006,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,810,1620,4,8,8,1,20.0226,449.9,23.315,0.006,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,810,1620,4,8,16,1,20.0226,450.093,23.311,0.005,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,810,1620,4,8,32,1,20.0226,450.181,23.322,0.007,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,810,1620,4,8,64,1,20.0226,449.087,22.885,0.007,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,810,1620,4,8,128,1,20.0226,449.952,23.246,0.006,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,810,1620,4,8,256,1,20.0226,450.608,23.465,0.006,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,810,1620,4,8,512,1,20.0226,447.327,23.588,0.007,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,810,1620,4,8,1024,1,20.0226,450.771,23.411,0.006,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,810,1620,4,16,1,1,20.0226,449.436,23.531,0.007,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,810,1620,4,16,2,1,20.0226,450.932,23.505,0.006,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,810,1620,4,16,4,1,20.0226,450.541,23.727,0.006,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,810,1620,4,16,8,1,20.0226,451.266,23.357,0.007,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,810,1620,4,16,16,1,20.0226,450.975,23.797,0.006,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,810,1620,4,16,32,1,20.0226,450.958,23.587,0.006,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,810,1620,4,16,64,1,20.0226,445.756,23.421,0.006,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,810,1620,4,16,128,1,20.0226,450.09,23.467,0.006,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,810,1620,4,16,256,1,20.0226,447.528,23.545,0.005,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,810,1620,4,16,512,1,20.0226,450.219,23.097,0.006,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,810,1620,4,32,1,1,20.0226,451.132,23.517,0.007,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,810,1620,4,32,2,1,20.0226,452.999,23.287,0.006,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,810,1620,4,32,4,1,20.0226,450.53,23.584,0.006,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,810,1620,4,32,8,1,20.0226,446.351,23.204,0.007,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,810,1620,4,32,16,1,20.0226,443.572,23.544,0.006,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,810,1620,4,32,32,1,20.0226,444.181,23.658,0.006,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,810,1620,4,32,64,1,20.0226,444.748,23.678,0.005,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,810,1620,4,32,128,1,20.0226,444.092,23.958,0.006,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,810,1620,4,32,256,1,20.0226,443.371,24.119,0.006,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,810,1620,4,64,1,1,20.0226,441.019,23.536,0.006,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,810,1620,4,64,2,1,20.0226,442.149,23.162,0.006,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,810,1620,4,64,4,1,20.0226,440.953,23.791,0.006,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,810,1620,4,64,8,1,20.0226,441.38,23.396,0.007,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,810,1620,4,64,16,1,20.0226,445.04,23.569,0.006,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,810,1620,4,64,32,1,20.0226,445.216,23.098,0.005,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,810,1620,4,64,64,1,20.0226,443.418,23.728,0.006,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,810,1620,4,64,128,1,20.0226,442.148,23.313,0.008,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,810,1620,4,128,1,1,20.0226,441.067,23.539,0.007,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,810,1620,4,128,2,1,20.0226,442.489,23.549,0.006,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,810,1620,4,128,4,1,20.0226,440.608,23.641,0.006,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,810,1620,4,128,8,1,20.0226,444.629,22.971,0.005,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,810,1620,4,128,16,1,20.0226,439.455,23.449,0.005,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,810,1620,4,128,32,1,20.0226,442.188,23.364,0.005,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,810,1620,4,128,64,1,20.0226,443.806,23.666,0.005,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,810,1620,4,256,1,1,20.0226,444.22,23.141,0.006,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,810,1620,4,256,2,1,20.0226,444.847,23.734,0.006,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,810,1620,4,256,4,1,20.0226,448.097,23.891,0.007,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,810,1620,4,256,8,1,20.0226,446.671,23.574,0.006,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,810,1620,4,256,16,1,20.0226,442.597,23.585,0.005,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,810,1620,4,256,32,1,20.0226,440.391,24.364,0.006,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,810,1620,4,512,1,1,20.0226,443.418,23.823,0.007,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,810,1620,4,512,2,1,20.0226,444.929,23.456,0.008,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,810,1620,4,512,4,1,20.0226,449.47,23.598,0.006,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,810,1620,4,512,8,1,20.0226,450.524,23.122,0.006,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,810,1620,4,512,16,1,20.0226,450.773,23.746,0.006,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,810,1620,4,1024,1,1,20.0226,451.673,23.236,0.005,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,810,1620,4,1024,2,1,20.0226,445.753,23.715,0.007,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,810,1620,4,1024,4,1,20.0226,450.767,23.202,0.006,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,810,1620,4,1024,8,1,20.0226,451.249,23.583,0.007,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,810,1620,4,2048,1,1,20.0226,451.448,23.295,0.007,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,810,1620,4,2048,2,1,20.0226,450.594,23.642,0.007,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,810,1620,4,2048,4,1,20.0226,450.711,23.207,0.006,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,810,1620,4,4096,1,1,20.0226,450.593,23.703,0.007,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,810,1620,4,4096,2,1,20.0226,450.188,23.249,0.006,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,810,1620,4,8192,1,1,20.0226,447.058,23.545,0.006,-1,-1,-1
