device/C,kernel/C,workDimension/C,width/F,height/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2048,2048,8,8,1,16,93.264,5.689,0.005,12.166,11.025,2.19
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2048,2048,8,16,1,16,87.081,5.525,0.006,12.316,10.006,1.628
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2048,2048,8,32,1,16,84.536,5.852,0.006,12.809,7.001,2.123
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2048,2048,8,64,1,16,85.744,5.481,0.006,12.598,6.064,1.72
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2048,2048,8,128,1,16,90.515,5.519,0.005,13.17,10.063,1.67
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2048,2048,8,256,1,16,89.424,5.745,0.006,13.242,6.868,2.373
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2048,2048,8,512,1,16,94.652,5.483,0.006,12.775,7.728,1.671
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2048,2048,8,1024,1,16,89.538,5.571,0.006,13.832,8.415,1.647
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2048,2048,16,1,1,16,90.094,5.661,0.006,12.571,9.016,1.947
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2048,2048,16,2,1,16,87.307,5.425,0.006,11.699,9.634,1.704
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2048,2048,16,4,1,16,93.227,5.336,0.006,12.612,11.037,2.098
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2048,2048,16,8,1,16,93.516,5.749,0.006,11.184,5.73,1.782
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2048,2048,16,16,1,16,94.898,5.371,0.005,11.83,7.787,1.851
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2048,2048,16,32,1,16,87.738,5.527,0.006,11.559,11.406,1.778
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2048,2048,16,64,1,16,89.069,5.415,0.006,11.722,8.945,1.927
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2048,2048,16,128,1,16,113.176,5.978,0.005,12.342,6.625,1.68
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2048,2048,16,256,1,16,88.623,5.681,0.005,11.878,8.013,1.703
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2048,2048,16,512,1,16,90.429,5.516,0.006,12.489,9.791,1.654
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2048,2048,32,1,1,16,90.368,5.832,0.006,13.36,6.735,2.227
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2048,2048,32,2,1,16,88.094,5.591,0.005,15.92,8.315,2.447
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2048,2048,32,4,1,16,94.692,5.73,0.007,11.341,5.646,2.436
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2048,2048,32,8,1,16,90.964,5.534,0.005,13.13,7.915,2.286
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2048,2048,32,16,1,16,115.58,6.144,0.005,15.682,5.719,1.812
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2048,2048,32,32,1,16,89.106,5.844,0.007,12.356,6.475,1.84
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2048,2048,32,64,1,16,88.023,5.518,0.006,11.673,10.026,1.654
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2048,2048,32,128,1,16,84.903,5.577,0.006,12.06,7.633,2.174
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2048,2048,32,256,1,16,90.761,5.251,0.005,11.57,11.243,1.763
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2048,2048,64,1,1,16,84.474,5.44,0.006,10.953,8.32,1.768
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2048,2048,64,2,1,16,90.425,5.683,0.006,11.513,8.645,2.147
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2048,2048,64,4,1,16,89.502,5.628,0.006,12.387,11.269,2.129
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2048,2048,64,8,1,16,96.234,5.571,0.006,15.145,9.898,2.231
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2048,2048,64,16,1,16,87.785,5.653,0.006,19.973,7.39,1.738
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2048,2048,64,32,1,16,90.026,5.621,0.006,19.165,11.413,1.907
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2048,2048,64,64,1,16,84.444,5.419,0.006,15.402,8.896,1.613
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2048,2048,64,128,1,16,93.184,5.536,0.007,16.214,9.318,1.699
