device/C,kernel/C,workDimension/C,nBodies/F,timeStep/F,nSteps/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon Phi coprocessor x100 family,NBody,ONE_D,1.04858e+06,0.005,1,1,1,1,16,97.915,23.59,0.008,1.04355e+06,0.002,5.839
Intel Xeon Phi coprocessor x100 family,NBody,ONE_D,1.04858e+06,0.005,1,2,1,1,16,123.124,23.608,0.008,1.04359e+06,0.002,6.196
Intel Xeon Phi coprocessor x100 family,NBody,ONE_D,1.04858e+06,0.005,1,4,1,1,16,119.485,22.729,0.008,1.04287e+06,0.002,5.866
Intel Xeon Phi coprocessor x100 family,NBody,ONE_D,1.04858e+06,0.005,1,8,1,1,16,123.931,23.538,0.007,1.04403e+06,0.001,5.193
Intel Xeon Phi coprocessor x100 family,NBody,ONE_D,1.04858e+06,0.005,1,16,1,1,16,122.074,28.653,0.008,62640.8,0.001,5.339
Intel Xeon Phi coprocessor x100 family,NBody,ONE_D,1.04858e+06,0.005,1,32,1,1,16,124.001,22.216,0.005,62661.3,0.001,6.045
Intel Xeon Phi coprocessor x100 family,NBody,ONE_D,1.04858e+06,0.005,1,64,1,1,16,126.987,30.793,0.008,63029.8,0.001,5.899
Intel Xeon Phi coprocessor x100 family,NBody,ONE_D,1.04858e+06,0.005,1,128,1,1,16,120.804,22.836,0.005,63786.2,0.002,5.751
Intel Xeon Phi coprocessor x100 family,NBody,ONE_D,1.04858e+06,0.005,1,256,1,1,16,122.184,28.487,0.006,65550.1,0.002,5.744
Intel Xeon Phi coprocessor x100 family,NBody,ONE_D,1.04858e+06,0.005,1,512,1,1,16,124.591,23.745,0.007,65602.6,0.001,5.891
Intel Xeon Phi coprocessor x100 family,NBody,ONE_D,1.04858e+06,0.005,1,1024,1,1,16,113.999,20.029,0.006,72557.6,0.002,5.522
Intel Xeon Phi coprocessor x100 family,NBody,ONE_D,1.04858e+06,0.005,1,2048,1,1,16,126.789,23.704,0.008,86581.5,0.001,6.29
Intel Xeon Phi coprocessor x100 family,NBody,ONE_D,1.04858e+06,0.005,1,4096,1,1,16,122.663,25.942,0.006,90069.2,0.001,7.214
Intel Xeon Phi coprocessor x100 family,NBody,ONE_D,1.04858e+06,0.005,1,8192,1,1,16,120.304,25.526,0.005,98711.5,0.002,8.07
Intel Xeon Phi coprocessor x100 family,NBody,ONE_D,1.04858e+06,0.005,1,1,1,1,16,92.871,21.186,0.009,1.00278e+06,0.002,5.672
Intel Xeon Phi coprocessor x100 family,NBody,ONE_D,1.04858e+06,0.005,1,2,1,1,16,125.287,30.275,0.007,1.00223e+06,0.002,5.655
Intel Xeon Phi coprocessor x100 family,NBody,ONE_D,1.04858e+06,0.005,1,4,1,1,16,127.909,22.443,0.01,1.00239e+06,0.002,5.756
Intel Xeon Phi coprocessor x100 family,NBody,ONE_D,1.04858e+06,0.005,1,8,1,1,16,129.511,24.786,0.009,1.00249e+06,0.002,6.222
Intel Xeon Phi coprocessor x100 family,NBody,ONE_D,1.04858e+06,0.005,1,16,1,1,16,125.167,30.226,0.005,60295.8,0.002,5.512
Intel Xeon Phi coprocessor x100 family,NBody,ONE_D,1.04858e+06,0.005,1,32,1,1,16,116.063,20.743,0.005,60211.3,0.002,5.157
Intel Xeon Phi coprocessor x100 family,NBody,ONE_D,1.04858e+06,0.005,1,64,1,1,16,119.239,23.726,0.005,60511,0.002,5.3
Intel Xeon Phi coprocessor x100 family,NBody,ONE_D,1.04858e+06,0.005,1,128,1,1,16,119.754,23.795,0.006,61338.7,0.001,5.606
Intel Xeon Phi coprocessor x100 family,NBody,ONE_D,1.04858e+06,0.005,1,256,1,1,16,121.027,24.059,0.006,63072.4,0.001,5.19
Intel Xeon Phi coprocessor x100 family,NBody,ONE_D,1.04858e+06,0.005,1,512,1,1,16,119.219,23.481,0.005,63181.7,0.002,5.524
Intel Xeon Phi coprocessor x100 family,NBody,ONE_D,1.04858e+06,0.005,1,1024,1,1,16,119.443,23.795,0.005,70219.5,0.002,6.275
Intel Xeon Phi coprocessor x100 family,NBody,ONE_D,1.04858e+06,0.005,1,2048,1,1,16,119.688,22.831,0.006,84140.5,0.002,5.863
Intel Xeon Phi coprocessor x100 family,NBody,ONE_D,1.04858e+06,0.005,1,4096,1,1,16,115.846,21.098,0.007,88288.3,0.002,6.682
Intel Xeon Phi coprocessor x100 family,NBody,ONE_D,1.04858e+06,0.005,1,8192,1,1,16,123.942,24.616,0.007,97168.7,0.034,6.37
