device/C,kernel/C,workDimension/C,length/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon Phi coprocessor x100 family,Reduction,ONE_D,1.31072e+06,1,1,1,20,143.631,20.878,0.016,8.78,19.524,1.798
Intel Xeon Phi coprocessor x100 family,Reduction,ONE_D,1.31072e+06,2,1,1,20,138.249,20.431,0.009,8.031,9.792,2.18
Intel Xeon Phi coprocessor x100 family,Reduction,ONE_D,1.31072e+06,4,1,1,20,135.867,18.871,0.005,5.879,5.436,1.795
Intel Xeon Phi coprocessor x100 family,Reduction,ONE_D,1.31072e+06,8,1,1,20,138.008,18.468,0.006,5.719,2.806,1.855
Intel Xeon Phi coprocessor x100 family,Reduction,ONE_D,1.31072e+06,16,1,1,20,139.569,18.706,0.004,4.98,1.544,1.699
Intel Xeon Phi coprocessor x100 family,Reduction,ONE_D,1.31072e+06,32,1,1,20,141.149,18.456,0.006,4.593,0.513,1.475
Intel Xeon Phi coprocessor x100 family,Reduction,ONE_D,1.31072e+06,64,1,1,20,137.565,18.633,0.005,4.879,0.329,1.4
Intel Xeon Phi coprocessor x100 family,Reduction,ONE_D,1.31072e+06,128,1,1,20,127.569,16.753,0.004,5.499,0.391,1.723
Intel Xeon Phi coprocessor x100 family,Reduction,ONE_D,1.31072e+06,256,1,1,20,109.274,16.666,0.005,6.303,0.278,1.497
Intel Xeon Phi coprocessor x100 family,Reduction,ONE_D,1.31072e+06,512,1,1,20,107.166,15.55,0.004,4.663,0.158,1.607
Intel Xeon Phi coprocessor x100 family,Reduction,ONE_D,1.31072e+06,1024,1,1,20,105.263,15.583,0.003,6.36,0.132,1.584
Intel Xeon Phi coprocessor x100 family,Reduction,ONE_D,1.31072e+06,2048,1,1,20,100.83,15.498,0.003,10.503,0.13,1.807
Intel Xeon Phi coprocessor x100 family,Reduction,ONE_D,1.31072e+06,4096,1,1,20,102.148,16.158,0.003,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Reduction,ONE_D,1.31072e+06,8192,1,1,20,101.477,14.549,0.002,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Reduction,ONE_D,1.31072e+06,1,1,1,20,148.723,20.777,0.009,9.028,18.356,2.112
Intel Xeon Phi coprocessor x100 family,Reduction,ONE_D,1.31072e+06,2,1,1,20,137.768,20.288,0.008,7.029,10.599,2.065
Intel Xeon Phi coprocessor x100 family,Reduction,ONE_D,1.31072e+06,4,1,1,20,137.853,18.834,0.01,5.518,5.448,1.872
Intel Xeon Phi coprocessor x100 family,Reduction,ONE_D,1.31072e+06,8,1,1,20,137.23,19.092,0.009,5.566,2.779,2.183
Intel Xeon Phi coprocessor x100 family,Reduction,ONE_D,1.31072e+06,16,1,1,20,138.589,19.397,0.01,4.659,1.481,2.134
Intel Xeon Phi coprocessor x100 family,Reduction,ONE_D,1.31072e+06,32,1,1,20,135.834,18.804,0.005,4.48,0.826,2.089
Intel Xeon Phi coprocessor x100 family,Reduction,ONE_D,1.31072e+06,64,1,1,20,139.684,18.961,0.005,6.025,0.296,2.296
Intel Xeon Phi coprocessor x100 family,Reduction,ONE_D,1.31072e+06,128,1,1,20,135.604,18.871,0.005,4.368,0.205,1.963
Intel Xeon Phi coprocessor x100 family,Reduction,ONE_D,1.31072e+06,256,1,1,20,131.343,16.03,0.004,4.222,0.225,1.813
Intel Xeon Phi coprocessor x100 family,Reduction,ONE_D,1.31072e+06,512,1,1,20,106.323,16.518,0.007,4.759,0.161,2.365
Intel Xeon Phi coprocessor x100 family,Reduction,ONE_D,1.31072e+06,1024,1,1,20,106.368,16.077,0.005,4.764,0.143,2.095
Intel Xeon Phi coprocessor x100 family,Reduction,ONE_D,1.31072e+06,2048,1,1,20,100.723,16.987,0.008,6.671,0.266,2.316
Intel Xeon Phi coprocessor x100 family,Reduction,ONE_D,1.31072e+06,4096,1,1,20,102.433,16.405,0.007,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Reduction,ONE_D,1.31072e+06,8192,1,1,20,106.389,14.832,0.004,-1,-1,-1
