device/C,kernel/C,workDimension/C,nBodies/F,timeStep/F,nSteps/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,786432,0.005,1,1,1,1,12,75.191,12.354,0.001,175214,0.001,0.86
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,786432,0.005,1,2,1,1,12,68.653,16.336,0.004,175222,0.001,0.924
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,786432,0.005,1,4,1,1,12,68.776,14.256,0.004,175193,0.002,1.179
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,786432,0.005,1,8,1,1,12,68.814,12.157,0.002,175221,0.002,1.069
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,786432,0.005,1,16,1,1,12,68.925,14.593,0.004,175235,0.001,1.174
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,786432,0.005,1,32,1,1,12,68.822,14.334,0.003,175312,0.001,1.227
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,786432,0.005,1,64,1,1,12,68.855,12.522,0.002,175461,0.001,1.181
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,786432,0.005,1,128,1,1,12,68.828,20.249,0.002,175493,0.002,1.174
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,786432,0.005,1,256,1,1,12,71.993,12.531,0.002,175479,0.001,1.107
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,786432,0.005,1,512,1,1,12,74.398,14.308,0.003,175433,0.001,1.094
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,786432,0.005,1,1024,1,1,12,73.753,21.631,0.002,175524,0.001,1.119
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,786432,0.005,1,1,1,1,12,90.498,23.363,0.002,175223,0.001,1.332
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,786432,0.005,1,2,1,1,12,68.574,15.839,0.003,175189,0.001,1.142
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,786432,0.005,1,4,1,1,12,68.718,12.697,0.002,175198,0.001,1.409
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,786432,0.005,1,8,1,1,12,68.422,12.681,0.002,175197,0.001,1.378
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,786432,0.005,1,16,1,1,12,68.477,12.643,0.001,175207,0.002,0.973
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,786432,0.005,1,32,1,1,12,69.836,20.872,0.003,175309,0.001,1.75
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,786432,0.005,1,64,1,1,12,68.482,12.701,0.003,175454,0.001,1.425
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,786432,0.005,1,128,1,1,12,68.493,13.239,0.002,175327,0.001,1.179
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,786432,0.005,1,256,1,1,12,68.568,14.641,0.002,175422,0.002,1.361
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,786432,0.005,1,512,1,1,12,68.595,20.529,0.001,175408,0.002,1.397
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,786432,0.005,1,1024,1,1,12,68.507,20.48,0.002,175336,0.001,0.942
