device/C,kernel/C,workDimension/C,width/F,height/F,maskwidth/F,maskheight/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1448,1448,64,64,32,1,1,7,42.407,10.086,0.002,504.363,3.032,0.697
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1448,1448,64,64,64,1,1,7,42.724,15.189,0.001,504.852,3,0.693
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1448,1448,64,64,128,1,1,7,42.379,11.745,0.001,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1448,1448,64,64,256,1,1,7,44.332,13.244,0.002,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1448,1448,64,64,512,1,1,7,43.57,13.188,0.002,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1448,1448,64,64,1024,1,1,7,49.049,9.524,0.001,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1448,1448,64,64,1,1,1,7,49.19,10.835,0.002,523.436,1.788,0.188
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1448,1448,64,64,2,1,1,7,42.572,7.771,0.001,513.243,2.068,0.169
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1448,1448,64,64,4,1,1,7,42.967,7.514,0.001,501.264,2.102,0.183
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1448,1448,64,64,8,1,1,7,42.845,7.73,0.001,494.698,2.134,0.121
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1448,1448,64,64,16,1,1,7,42.874,6.795,0.001,495.643,2.108,0.118
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1448,1448,64,64,32,1,1,7,42.722,7.642,0.001,495.191,2.171,0.119
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1448,1448,64,64,64,1,1,7,42.902,7.656,0.001,491.089,2.048,0.17
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1448,1448,64,64,128,1,1,7,42.968,7.153,0.001,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1448,1448,64,64,256,1,1,7,46.138,8.46,0.002,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1448,1448,64,64,512,1,1,7,49.118,8.7,0.001,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1448,1448,64,64,1024,1,1,7,47.392,8.503,0.001,-1,-1,-1
