device/C,kernel/C,workDimension/C,nBodies/F,timeStep/F,nSteps/F,xLocal/I,yLocal/I,zLocal/I,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,8192,0.005,100,1,1,1,0.108,0,1958.74,0,0.138
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,8192,0.005,100,2,1,1,0.132,0.001,1926.7,0,0.115
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,8192,0.005,100,4,1,1,0.085,0.001,1928.78,0,0.093
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,8192,0.005,100,8,1,1,0.082,0.001,1928.06,0,0.113
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,8192,0.005,100,16,1,1,0.104,0.001,1971.78,0.001,0.149
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,8192,0.005,100,32,1,1,0.185,0.001,1984.38,0,0.121
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,8192,0.005,100,64,1,1,0.128,0,2154.1,0.001,0.155
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,8192,0.005,100,128,1,1,0.189,0.001,2198.28,0,0.141
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,8192,0.005,100,256,1,1,0.12,0.001,2866.95,0.001,1.1
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,8192,0.005,100,512,1,1,0.195,0.002,3131.21,0.001,0.184
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,8192,0.005,100,1024,1,1,0.071,0.001,6244.07,0.001,0.221
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,8192,0.005,100,1,1,1,0.148,0.001,1961.08,0,0.129
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,8192,0.005,100,2,1,1,0.082,0,1918.98,0,0.113
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,8192,0.005,100,4,1,1,0.09,0.001,1927.95,0,0.097
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,8192,0.005,100,8,1,1,0.084,0,1925.65,0,0.111
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,8192,0.005,100,16,1,1,0.117,0,1970.43,0,0.136
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,8192,0.005,100,32,1,1,0.082,0,1986.57,0,0.12
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,8192,0.005,100,64,1,1,0.116,0.001,2154.08,0.001,0.163
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,8192,0.005,100,128,1,1,0.156,0.001,2198.86,0,0.133
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,8192,0.005,100,256,1,1,0.079,0,2869.37,0.002,1.314
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,8192,0.005,100,512,1,1,0.189,0.001,3133.52,0,0.168
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,8192,0.005,100,1024,1,1,0.056,0.001,6253.84,0.001,0.243
