device/C,kernel/C,workDimension/C,N/F,P/F,M/F,xLocal/I,yLocal/I,zLocal/I,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MatrixMultiplication,TWO_D,2048,4096,1024,8,32,1,28.45,0.004,1032,4.649,4.133
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MatrixMultiplication,TWO_D,2048,4096,1024,8,64,1,28.64,0.003,1041.95,4.618,1.497
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MatrixMultiplication,TWO_D,2048,4096,1024,8,128,1,29.893,0.003,1040.24,4.665,1.615
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MatrixMultiplication,TWO_D,2048,4096,1024,16,1,1,30.161,0.003,1035.87,4.327,1.573
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MatrixMultiplication,TWO_D,2048,4096,1024,16,2,1,28.299,0.003,1034.2,4.628,1.515
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MatrixMultiplication,TWO_D,2048,4096,1024,16,4,1,28.737,0.003,1031.86,4.653,1.559
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MatrixMultiplication,TWO_D,2048,4096,1024,16,8,1,29.64,0.003,1029.36,4.635,1.52
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MatrixMultiplication,TWO_D,2048,4096,1024,16,16,1,29.932,0.003,1027.51,4.639,1.512
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MatrixMultiplication,TWO_D,2048,4096,1024,16,32,1,28.538,0.003,1033.09,4.625,1.536
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MatrixMultiplication,TWO_D,2048,4096,1024,16,64,1,28.853,0.004,1035.53,4.686,1.551
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MatrixMultiplication,TWO_D,2048,4096,1024,32,1,1,28.58,0.003,1038.35,4.584,1.529
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MatrixMultiplication,TWO_D,2048,4096,1024,32,2,1,30.394,0.004,1032.99,4.668,1.587
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MatrixMultiplication,TWO_D,2048,4096,1024,32,4,1,30.158,0.003,1033.04,4.651,1.59
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MatrixMultiplication,TWO_D,2048,4096,1024,32,8,1,28.897,0.003,1031.88,4.66,1.587
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MatrixMultiplication,TWO_D,2048,4096,1024,32,16,1,29.524,0.003,1033.56,4.702,1.61
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MatrixMultiplication,TWO_D,2048,4096,1024,32,32,1,28.88,0.003,1039.21,4.642,1.55
