device/C,kernel/C,workDimension/C,nElements/F,xLocal/I,yLocal/I,zLocal/I,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,262144,1,1,1,0.751,0.003,5.012,0.481,0.123
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,262144,2,1,1,0.735,0.003,2.502,0.504,0.159
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,262144,4,1,1,0.719,0.001,1.338,0.499,0.123
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,262144,8,1,1,0.618,0.001,0.787,0.475,0.165
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,262144,16,1,1,0.874,0.001,0.46,0.295,0.12
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,262144,32,1,1,0.824,0.001,0.338,0.298,0.12
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,262144,64,1,1,0.602,0.001,0.261,0.293,0.118
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,262144,128,1,1,0.8,0.001,0.227,0.309,0.127
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,262144,256,1,1,0.845,0.001,0.194,0.361,0.116
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,262144,512,1,1,0.481,0.001,0.177,0.321,0.128
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,262144,1024,1,1,0.791,0.001,0.179,0.291,0.127
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,262144,1,1,1,1.341,0.002,4.584,0.648,0.187
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,262144,2,1,1,1.315,0.002,2.144,0.439,0.123
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,262144,4,1,1,1.281,0.001,1.134,0.572,0.147
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,262144,8,1,1,1.369,0.003,0.618,0.515,0.135
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,262144,16,1,1,1.469,0.002,0.583,0.596,0.174
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,262144,32,1,1,1.436,0.002,0.653,0.585,0.175
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,262144,64,1,1,1.399,0.003,0.549,0.585,0.112
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,262144,128,1,1,1.383,0.003,0.429,0.587,0.174
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,262144,256,1,1,1.396,0.002,0.388,0.612,0.165
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,262144,512,1,1,1.427,0.002,0.435,0.623,0.162
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,262144,1024,1,1,1.452,0.002,0.374,0.624,0.164
