device/C,kernel/C,workDimension/C,cubeLength/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,196,1,1,4,28.7229,288.65,18.228,0.002,48.003,12.699,1.167
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,196,1,2,4,28.7229,294.988,19.772,0.003,61.987,14.318,1.131
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,196,1,4,1,28.7229,285.359,14.887,0.002,34.415,14.229,1.219
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,196,1,4,2,28.7229,288.228,18.372,0.003,28.444,12.348,1.014
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,196,1,4,4,28.7229,288.094,19.041,0.002,40.198,13.659,1.067
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,196,2,1,4,28.7229,298.134,26.077,0.002,59.938,14.309,1.195
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,196,2,2,4,28.7229,298.354,14.343,0.002,23.179,15.459,1.309
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,196,2,4,1,28.7229,302.765,17.77,0.001,28.018,16.974,1.476
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,196,2,4,2,28.7229,303.529,18.595,0.003,53.253,17.12,0.964
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,196,2,4,4,28.7229,304.791,20.143,0.002,26.294,17.31,1.089
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,196,4,1,1,28.7229,287.101,14.283,0.003,49.536,14.013,1.185
