device/C,kernel/C,workDimension/C,nEvents/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,5.97688e+06,64,1,1,455,2440.61,229.344,0.004,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,5.97688e+06,128,1,1,455,2440.46,231.786,0.004,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,5.97688e+06,256,1,1,455,2442.17,228.769,0.004,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,5.97688e+06,512,1,1,455,2440.45,231.199,0.004,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,5.97688e+06,1024,1,1,455,2440.3,229.132,0.004,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,5.97688e+06,1,1,1,455,2489.9,292.437,0.004,247.132,24.386,3.712
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,5.97688e+06,2,1,1,455,2449.62,265.851,0.003,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,5.97688e+06,4,1,1,455,2451.91,251.082,0.005,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,5.97688e+06,8,1,1,455,2450.26,247.852,0.003,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,5.97688e+06,16,1,1,455,2453.61,249.435,0.003,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,5.97688e+06,32,1,1,455,2452.05,246.32,0.004,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,5.97688e+06,64,1,1,455,2447.76,263.453,0.004,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,5.97688e+06,128,1,1,455,2446.64,241.503,0.003,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,5.97688e+06,256,1,1,455,2449.7,241.773,0.002,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,5.97688e+06,512,1,1,455,2449.99,246.875,0.004,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,5.97688e+06,1024,1,1,455,2450.43,251.088,0.002,-1,-1,-1
