device/C,kernel/C,workDimension/C,nEvents/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,1.101e+07,1,1,1,840,5757.74,435.678,0.004,427.413,0.014,3.662
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,1.101e+07,2,1,1,840,5636.62,442.312,0.003,378.808,0.012,3.637
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,1.101e+07,4,1,1,840,5635.96,426.947,0.003,347.299,0.012,3.659
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,1.101e+07,8,1,1,840,5637.29,440.718,0.003,333.032,0.011,3.707
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,1.101e+07,16,1,1,840,5647.27,427.552,0.003,319.523,0.01,3.584
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,1.101e+07,32,1,1,840,5638.09,423.276,0.004,319.007,0.011,3.64
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,1.101e+07,64,1,1,840,5636.21,422.652,0.003,314.363,0.011,3.634
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,1.101e+07,128,1,1,840,5637.04,430.141,0.003,310.854,0.01,3.753
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,1.101e+07,256,1,1,840,5637.14,423.184,0.003,314.377,0.012,3.728
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,1.101e+07,512,1,1,840,5638.05,437.222,0.003,311.179,0.015,3.818
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,1.101e+07,1024,1,1,840,5638.67,435.677,0.003,312.03,0.01,3.757
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,1.101e+07,1,1,1,840,5642.5,432.987,0.004,428.504,0.012,3.729
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,1.101e+07,2,1,1,840,5637.99,434.082,0.003,374.525,0.012,3.646
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,1.101e+07,4,1,1,840,5648.07,439.472,0.003,351.319,0.013,3.757
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,1.101e+07,8,1,1,840,5636.41,431.166,0.004,334.371,0.011,3.767
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,1.101e+07,16,1,1,840,5636.83,426.114,0.003,321.281,0.011,3.685
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,1.101e+07,32,1,1,840,5637.04,428.188,0.004,314.787,0.012,3.719
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,1.101e+07,64,1,1,840,5637.27,422.135,0.003,315.963,0.011,3.698
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,1.101e+07,128,1,1,840,5636.46,422.959,0.003,315.168,0.011,3.709
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,1.101e+07,256,1,1,840,5638.53,427.076,0.003,310.579,0.011,3.699
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,1.101e+07,512,1,1,840,5635.09,429.939,0.003,311.469,0.009,3.808
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,1.101e+07,1024,1,1,840,5647.26,427.421,0.003,312.074,0.01,3.713
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,1.101e+07,1,1,1,840,5641.74,416.558,0.003,428.109,0.012,3.77
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,1.101e+07,2,1,1,840,5641.23,427.05,0.003,375.349,0.012,3.718
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,1.101e+07,4,1,1,840,5636.96,433.752,0.003,349.352,0.012,3.715
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,1.101e+07,8,1,1,840,5634.96,436.534,0.003,333.413,0.011,3.684
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,1.101e+07,16,1,1,840,5635.61,440.542,0.003,323.112,0.011,3.775
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,1.101e+07,32,1,1,840,5634.36,430,0.003,319.409,0.01,3.699
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,1.101e+07,64,1,1,840,5635.92,425.159,0.003,311.786,0.011,3.852
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,1.101e+07,128,1,1,840,5634.93,423.041,0.003,316.36,0.011,3.742
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,1.101e+07,256,1,1,840,5635.9,428.137,0.002,312.31,0.011,3.835
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,1.101e+07,512,1,1,840,5645.73,424.821,0.003,315.196,0.01,3.661
