device/C,kernel/C,workDimension/C,length/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.62144e+06,32,1,1,40,209.887,20.388,0.003,2.304,0.482,0.724
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.62144e+06,64,1,1,40,210.024,20.243,0.003,1.966,0.283,0.722
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.62144e+06,128,1,1,40,209.947,20.205,0.003,1.911,0.146,0.76
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.62144e+06,256,1,1,40,209.75,20.17,0.003,2.096,0.09,0.746
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.62144e+06,512,1,1,40,209.357,20.069,0.004,2.457,0.055,0.714
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.62144e+06,1024,1,1,40,209.787,20.144,0.003,2.78,0.038,0.742
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.62144e+06,1,1,1,40,228.091,21.018,0.005,22.728,12.959,2.087
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.62144e+06,2,1,1,40,212.225,20.684,0.004,28.188,6.601,0.756
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.62144e+06,4,1,1,40,212.215,20.516,0.004,5.948,3.664,0.832
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.62144e+06,8,1,1,40,210.642,20.672,0.005,3.642,1.76,0.762
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.62144e+06,16,1,1,40,209.919,20.668,0.004,2.901,0.969,0.778
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.62144e+06,32,1,1,40,214.658,20.644,0.004,2.344,0.594,0.826
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.62144e+06,64,1,1,40,212.237,20.608,0.004,2.044,0.382,0.761
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.62144e+06,128,1,1,40,209.985,20.547,0.004,1.963,0.192,0.76
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.62144e+06,256,1,1,40,209.711,20.522,0.005,1.98,0.086,0.727
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.62144e+06,512,1,1,40,209.736,20.618,0.005,2.247,0.064,0.711
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.62144e+06,1024,1,1,40,210.642,20.516,0.004,2.827,0.07,0.763
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.62144e+06,1,1,1,40,213.099,19.826,0.003,39.659,13.21,1.954
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.62144e+06,2,1,1,40,217.033,20.913,0.004,33.585,6.571,0.639
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.62144e+06,4,1,1,40,210.832,20.435,0.004,6.335,3.306,0.631
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.62144e+06,8,1,1,40,210.385,20.626,0.003,4.088,1.749,0.627
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.62144e+06,16,1,1,40,209.591,20.566,0.003,3.085,0.933,0.625
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.62144e+06,32,1,1,40,209.406,20.505,0.003,2.279,0.521,0.603
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.62144e+06,64,1,1,40,209.307,20.55,0.003,1.985,0.287,0.606
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.62144e+06,128,1,1,40,210.093,20.583,0.003,1.933,0.149,0.643
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.62144e+06,256,1,1,40,208.904,20.478,0.018,2.064,0.086,0.649
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.62144e+06,512,1,1,40,208.905,20.407,0.003,2.325,0.048,0.652
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.62144e+06,1024,1,1,40,208.777,20.482,0.017,2.674,0.034,0.664
