device/C,kernel/C,workDimension/C,nBodies/F,timeStep/F,nSteps/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,32768,0.005,5,1,1,1,0.5,7.434,0.29,0.002,1603.92,0,0.192
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,32768,0.005,5,2,1,1,0.5,3.14,0.281,0.002,1522.41,0,0.108
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,32768,0.005,5,4,1,1,0.5,3.164,0.265,0.001,1525.86,0,0.126
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,32768,0.005,5,8,1,1,0.5,3.142,0.267,0.001,1526.92,0,0.13
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,32768,0.005,5,16,1,1,0.5,3.14,0.254,0.001,1534.5,0.001,0.163
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,32768,0.005,5,32,1,1,0.5,2.889,0.302,0.001,1537.79,0.001,0.138
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,32768,0.005,5,64,1,1,0.5,3.146,0.272,0.001,1569.84,0,0.177
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,32768,0.005,5,128,1,1,0.5,2.805,0.283,0.002,1612.41,0,0.2
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,32768,0.005,5,256,1,1,0.5,2.827,0.331,0.001,1713.83,0,0.187
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,32768,0.005,5,512,1,1,0.5,2.801,0.291,0.001,1781.25,0,0.168
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,32768,0.005,5,1024,1,1,0.5,2.794,0.284,0.001,2285.78,0.001,0.167
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,32768,0.005,5,1,1,1,0.5,7.389,0.278,0.003,1610.59,0.001,0.144
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,32768,0.005,5,2,1,1,0.5,2.791,0.26,0.002,1524.07,0,0.133
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,32768,0.005,5,4,1,1,0.5,3.137,0.253,0.002,1526.21,0,0.184
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,32768,0.005,5,8,1,1,0.5,2.961,0.239,0.001,1527.45,0.001,0.187
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,32768,0.005,5,16,1,1,0.5,3.056,0.236,0.001,1536.61,0,0.165
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,32768,0.005,5,32,1,1,0.5,2.81,0.307,0.001,1536.07,0,0.149
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,32768,0.005,5,64,1,1,0.5,2.959,0.224,0.001,1570.24,0.001,0.159
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,32768,0.005,5,128,1,1,0.5,2.811,0.219,0.001,1588.28,0,0.213
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,32768,0.005,5,256,1,1,0.5,2.799,0.243,0.002,1714.35,0,0.183
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,32768,0.005,5,512,1,1,0.5,2.797,0.252,0.002,1781.14,0,0.229
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,32768,0.005,5,1024,1,1,0.5,2.807,0.254,0.001,2284.6,0.001,0.237
