device/C,kernel/C,workDimension/C,noOfTraj/F,steps/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,2048,10,1,1,1,8,478.481,0.19,0.003,960.115,0.014,0.763
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,2048,10,1,2,1,8,469.697,0.117,0.003,855.168,0.012,0.662
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,2048,10,1,4,1,8,469.999,0.118,0.003,799.52,0.015,0.718
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,2048,10,1,8,1,8,470.319,0.111,0.003,773.552,0.013,0.744
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,2048,10,1,16,1,8,470.472,0.131,0.003,647.95,0.007,0.621
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,2048,10,1,32,1,8,470.276,0.06,0.002,617.989,0.004,0.601
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,2048,10,1,64,1,8,469.995,0.059,0.002,610.757,0.006,0.577
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,2048,10,1,128,1,8,471.516,0.059,0.003,613.664,0.007,0.557
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,2048,10,1,256,1,8,473.655,0.059,0.002,607.492,0.006,0.541
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,2048,10,1,512,1,8,472.612,0.064,0.002,608.846,0.006,0.57
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,2048,10,1,1024,1,8,473.858,0.059,0.003,636.321,0.007,0.594
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,2048,10,2,1,1,8,471.646,0.058,0.003,699.183,0.007,0.673
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,2048,10,2,2,1,8,470.541,0.062,0.003,642.991,0.007,0.725
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,2048,10,2,4,1,8,470.879,0.099,0.003,617.539,0.007,0.743
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,2048,10,2,8,1,8,469.853,0.094,0.003,610.9,0.007,0.569
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,2048,10,2,16,1,8,470.099,0.094,0.002,606.639,0.007,0.573
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,2048,10,2,32,1,8,470.231,0.097,0.002,608.754,0.006,0.509
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,2048,10,2,64,1,8,484.717,0.059,0.003,605.463,0.006,0.53
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,2048,10,2,128,1,8,470.543,0.093,0.002,609.167,0.007,0.513
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,2048,10,2,256,1,8,485.405,0.058,0.002,617.223,0.006,0.533
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,2048,10,2,512,1,8,470.475,0.083,0.003,641.306,0.006,1.977
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,2048,10,4,1,1,8,477.603,0.095,0.003,644.954,0.007,0.697
