device/C,kernel/C,workDimension/C,nBodies/F,timeStep/F,nSteps/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,65536,0.005,5,1,1,1,1,14.625,0.757,0.003,6179.67,0,0.214
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,65536,0.005,5,2,1,1,1,5.73,0.718,0.002,6092.86,0,0.168
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,65536,0.005,5,4,1,1,1,6.298,0.68,0.002,6091.88,0,0.147
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,65536,0.005,5,8,1,1,1,6.296,0.55,0.001,6100.38,0,0.189
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,65536,0.005,5,16,1,1,1,5.76,0.64,0.001,6103.16,0,0.219
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,65536,0.005,5,32,1,1,1,5.583,0.519,0.002,6138.85,0,0.189
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,65536,0.005,5,64,1,1,1,6.141,0.631,0.002,6143.95,0.001,0.148
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,65536,0.005,5,128,1,1,1,5.593,0.572,0.001,6283.56,0.001,0.361
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,65536,0.005,5,256,1,1,1,6.026,0.691,0.002,6330.35,0.002,0.433
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,65536,0.005,5,512,1,1,1,5.868,0.66,0.002,6858.03,0,0.221
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,65536,0.005,5,1024,1,1,1,5.557,0.64,0.001,7029.48,0.001,0.181
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,65536,0.005,5,1,1,1,1,12.433,0.577,0.001,6178.83,0,0.159
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,65536,0.005,5,2,1,1,1,5.712,0.544,0.001,6093.8,0,0.242
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,65536,0.005,5,4,1,1,1,5.918,0.507,0.001,6093.75,0,0.313
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,65536,0.005,5,8,1,1,1,6.349,0.523,0.002,6100.83,0.001,0.222
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,65536,0.005,5,16,1,1,1,5.546,0.496,0.001,6101.51,0.001,0.298
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,65536,0.005,5,32,1,1,1,5.732,0.545,0.002,6139.02,0,0.178
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,65536,0.005,5,64,1,1,1,5.545,0.473,0.002,6147.69,0.001,0.331
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,65536,0.005,5,128,1,1,1,5.657,0.487,0.002,6284.13,0.001,0.236
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,65536,0.005,5,256,1,1,1,5.63,0.616,0.001,6319.34,0,0.174
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,65536,0.005,5,512,1,1,1,5.544,0.492,0.001,6853.01,0,0.181
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,65536,0.005,5,1024,1,1,1,5.559,0.467,0.001,7028.18,0.001,0.303
