device/C,kernel/C,workDimension/C,width/F,height/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,512,512,8,64,1,1,19.85,0.66,0.004,141.276,0.674,0.531
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,512,512,8,128,1,1,19.545,0.557,0.002,157.784,0.7,0.557
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,512,512,16,1,1,1,18.625,0.622,0.002,421.577,0.536,0.316
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,512,512,16,2,1,1,10.314,0.406,0.001,223.056,0.9,1.665
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,512,512,16,4,1,1,19.437,0.581,0.002,247.193,0.883,0.54
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,512,512,16,8,1,1,20.022,0.612,0.002,192.144,0.95,0.454
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,512,512,16,16,1,1,17.938,0.642,0.005,175.93,0.865,0.542
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,512,512,16,32,1,1,18.934,0.593,0.003,168.323,0.862,0.506
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,512,512,16,64,1,1,20.076,0.651,0.002,163.689,0.855,0.496
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,512,512,32,1,1,1,17.447,0.642,0.003,282.964,0.982,0.519
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,512,512,32,2,1,1,16.213,0.551,0.003,204.813,0.973,0.513
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,512,512,32,4,1,1,18.996,0.565,0.001,202.657,0.891,0.501
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,512,512,32,8,1,1,18.205,0.611,0.002,154.965,0.781,0.501
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,512,512,32,16,1,1,20.001,0.559,0.003,131.854,0.565,0.399
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,512,512,32,32,1,1,11.568,0.641,0.004,165.687,0.86,0.456
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,512,512,64,1,1,1,18.918,0.653,0.004,206.041,0.905,0.456
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,512,512,64,2,1,1,16.041,0.559,0.005,177.665,0.86,0.454
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,512,512,64,4,1,1,17.689,0.568,0.004,126.306,0.646,0.479
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,512,512,64,8,1,1,19.69,0.6,0.002,118.554,0.563,0.474
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,512,512,64,16,1,1,19.701,0.532,0.002,120.786,0.548,0.478
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,512,512,128,1,1,1,13.869,0.491,0.002,174.416,0.882,0.441
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,512,512,128,2,1,1,18.731,0.578,0.005,146.465,0.726,0.54
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,512,512,128,4,1,1,20.057,0.472,0.001,121.424,0.528,0.552
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,512,512,128,8,1,1,14.293,0.52,0.002,121.186,0.568,0.556
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,512,512,256,1,1,1,15.218,0.552,0.001,146.49,0.687,0.588
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,512,512,256,2,1,1,18.246,0.465,0.002,120.342,0.586,0.533
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,512,512,256,4,1,1,18.183,0.405,0.001,121.762,0.572,0.533
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,512,512,512,1,1,1,17.404,0.42,0.002,121.078,0.601,0.523
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FloydWarshall,TWO_D,512,512,512,2,1,1,17.336,0.391,0.001,116.834,0.595,0.532
