device/C,kernel/C,workDimension/C,length/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,131072,1,1,1,2,17.672,0.659,0.002,12.484,0.916,0.118
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,131072,2,1,1,2,13.372,0.672,0.001,0.643,0.738,0.168
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,131072,4,1,1,2,13.757,0.623,0.001,0.423,0.245,0.11
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,131072,8,1,1,2,13.399,0.618,0.001,0.32,0.132,0.112
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,131072,16,1,1,2,13.412,0.6,0.001,0.3,0.074,0.101
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,131072,32,1,1,2,13.396,0.621,0.001,0.319,0.072,0.112
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,131072,64,1,1,2,15.377,0.619,0.002,0.333,0.032,0.066
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,131072,128,1,1,2,13.335,0.646,0.001,0.289,0.024,0.064
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,131072,256,1,1,2,13.401,0.565,0.001,0.379,0.022,0.102
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,131072,512,1,1,2,13.385,0.623,0,0.381,0.027,0.091
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,131072,1024,1,1,2,13.394,0.593,0.001,0.388,0.025,0.063
