device/C,kernel/C,workDimension/C,noOfTraj/F,steps/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,1,1,1,2,116.464,0.061,0.002,201.263,0.005,0.221
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,1,2,1,2,116.372,0.023,0.001,204.382,0.008,0.265
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,1,4,1,2,154.082,0.056,0.002,198.208,0.007,0.248
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,1,8,1,2,156.234,0.029,0.001,184.843,0.006,0.235
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,1,16,1,2,154.082,0.054,0.001,188.233,0.008,0.259
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,1,32,1,2,154.043,0.057,0.001,183.416,0.006,0.261
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,1,64,1,2,154.063,0.053,0.001,185.368,0.008,0.272
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,1,128,1,2,154.057,0.056,0.001,183.573,0.004,0.254
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,1,256,1,2,154.075,0.058,0.002,187.882,0.012,0.265
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,1,512,1,2,154.101,0.037,0.002,193.57,0.011,0.255
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,1,1024,1,2,154.031,0.056,0.001,-1,-1,-1
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,2,1,1,2,154.044,0.044,0.001,198.224,0.012,0.247
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,2,2,1,2,154.064,0.055,0.001,198.816,0.006,0.261
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,2,4,1,2,154.052,0.057,0.002,187.616,0.004,0.245
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,2,8,1,2,154.062,0.054,0.001,183.326,0.006,0.247
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,2,16,1,2,154.072,0.055,0.001,182.837,0.01,0.276
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,2,32,1,2,154.377,0.054,0.002,182.269,0.011,0.245
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,2,64,1,2,154.028,0.072,0.001,181.323,0.011,0.239
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,2,128,1,2,154.066,0.055,0.001,185.032,0.011,0.238
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,2,256,1,2,153.986,0.06,0.001,191.241,0.014,0.254
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,2,512,1,2,154.066,0.059,0.001,207.869,0.007,0.267
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,4,1,1,2,154.082,0.053,0.001,191.677,0.007,0.232
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,4,2,1,2,154.066,0.059,0.001,185.692,0.011,0.244
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,4,4,1,2,154.025,0.059,0.001,184.112,0.008,0.24
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,4,8,1,2,154.073,0.06,0.001,177.79,0.011,0.216
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,4,16,1,2,153.999,0.057,0.001,178.616,0.014,0.281
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,4,32,1,2,156.761,0.031,0.001,180.272,0.01,0.24
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,4,64,1,2,154.003,0.057,0.002,186.119,0.01,0.257
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,4,128,1,2,154.052,0.059,0.002,185.139,0.01,0.247
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,4,256,1,2,154.073,0.058,0.001,196.909,0.011,0.254
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,8,1,1,2,154.088,0.037,0.002,179.325,0.007,0.247
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,8,2,1,2,153.818,0.057,0.002,180.472,0.007,0.239
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,8,4,1,2,153.815,0.03,0.001,177.705,0.015,0.24
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,8,8,1,2,153.993,0.038,0.002,175.813,0.007,0.285
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,8,16,1,2,156.578,0.025,0.001,181.577,0.005,0.241
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,8,32,1,2,154.852,0.03,0.001,182.656,0.004,0.246
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,8,64,1,2,154.139,0.03,0.002,194.072,0.004,0.251
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,8,128,1,2,154.438,0.023,0.001,200.955,0.005,0.261
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,16,1,1,2,155.253,0.022,0.002,177.705,0.004,0.229
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,16,2,1,2,154.185,0.028,0.001,182.379,0.011,0.238
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,16,4,1,2,154.054,0.058,0.001,177.915,0.01,0.234
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,16,8,1,2,154.042,0.049,0.001,181.748,0.01,0.234
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,16,16,1,2,154.081,0.057,0.001,182.533,0.007,0.245
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,16,32,1,2,154.002,0.059,0.002,189.566,0.008,0.253
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,1024,10,16,64,1,2,154.186,0.056,0.001,195.906,0.006,0.257
