device/C,kernel/C,workDimension/C,width/F,height/F,nSteps/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,256,256,5,1,1,1,0.5,10.264,9.213,0.005,47.612,0.001,0.519
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,256,256,5,1,2,1,0.5,8.901,3.167,0.004,36.246,0.001,0.285
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,256,256,5,1,4,1,0.5,8.939,2.71,0.003,30.498,0,0.472
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,256,256,5,1,8,1,0.5,12.324,2.651,0.003,28.082,0.001,0.458
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,256,256,5,1,16,1,0.5,10.551,2.696,0.002,26.961,0.001,0.381
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,256,256,5,1,32,1,0.5,11.306,4.408,0.02,26.812,0,0.287
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,256,256,5,1,64,1,0.5,13.817,3.983,0.004,25.061,0,0.467
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,256,256,5,1,128,1,0.5,12.111,4.228,0.002,21.835,0.001,0.33
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,256,256,5,1,256,1,0.5,12.886,4.502,0.005,21.465,0.001,0.314
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,256,256,5,1,512,1,0.5,13.288,4.599,0.019,-1,-1,-1
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,256,256,5,1,1024,1,0.5,12.763,3.969,0.004,-1,-1,-1
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,256,256,5,2,1,1,0.5,12.193,4.118,0.003,25.899,0,0.299
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,256,256,5,2,2,1,0.5,11.414,4.056,0.004,34.819,0.001,0.446
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,256,256,5,2,4,1,0.5,11.227,3.927,0.003,25.221,0.001,0.307
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,256,256,5,2,8,1,0.5,9.44,4.468,0.003,26.594,0.001,0.404
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,256,256,5,2,16,1,0.5,15.36,4.075,0.004,25.238,0.001,0.373
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,256,256,5,2,32,1,0.5,12.07,4.649,0.005,20.851,0,0.345
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,256,256,5,2,64,1,0.5,12.674,4.189,0.005,22.144,0,0.438
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,256,256,5,2,128,1,0.5,9.186,4.121,0.003,24.656,0,0.441
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,256,256,5,2,256,1,0.5,14.993,4.332,0.018,25.021,0,0.447
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,256,256,5,2,512,1,0.5,12.604,4.487,0.005,-1,-1,-1
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,256,256,5,4,1,1,0.5,11.926,4.365,0.019,24.658,0.001,0.437
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,256,256,5,4,2,1,0.5,12.009,4.087,0.002,22.329,0,0.441
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,256,256,5,4,4,1,0.5,16.95,4.382,0.004,36.741,0.001,0.456
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,256,256,5,4,8,1,0.5,14.147,2.726,0.005,23.619,0,0.277
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,256,256,5,4,16,1,0.5,8.944,4.508,0.019,25.197,0.001,0.385
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,256,256,5,4,32,1,0.5,12.192,4.614,0.003,24.98,0,0.39
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,256,256,5,4,64,1,0.5,11.369,4.257,0.019,27.738,0.001,0.428
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,256,256,5,4,128,1,0.5,15.251,4.595,0.004,22.101,0.001,0.286
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,256,256,5,4,256,1,0.5,13.555,4.412,0.02,22.413,0,0.305
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,256,256,5,8,1,1,0.5,13.745,4.36,0.02,21.278,0.001,0.369
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,256,256,5,8,2,1,0.5,13.067,4.219,0.018,20.879,0.001,0.283
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,256,256,5,8,4,1,0.5,12.901,4.42,0.019,20.458,0.001,0.273
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,256,256,5,8,8,1,0.5,10.543,3.413,0.003,18.645,0,0.281
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,256,256,5,8,16,1,0.5,9.053,2.917,0.004,19.1,0,0.464
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,256,256,5,8,32,1,0.5,13.38,4.466,0.004,20.068,0,0.44
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,256,256,5,8,64,1,0.5,9.163,4.002,0.02,23.163,0,0.426
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,256,256,5,8,128,1,0.5,10.81,3.519,0.003,27.123,0.001,0.291
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,256,256,5,16,1,1,0.5,8.996,3.487,0.004,24.255,0.001,0.447
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,256,256,5,16,2,1,0.5,11.309,3.833,0.004,24.836,0,0.413
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,256,256,5,16,4,1,0.5,10.889,3.621,0.003,23.73,0.001,0.418
