device/C,kernel/C,workDimension/C,noOfTraj/F,steps/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,4096,10,1,1,1,32,2027.39,0.1,0.003,3736.93,0.006,1.29
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,4096,10,1,2,1,32,1997.38,0.089,0.003,3290.78,0.005,1.33
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,4096,10,1,4,1,32,2002.44,0.088,0.003,3213.66,0.008,1.409
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,4096,10,1,8,1,32,2010.93,0.093,0.003,3116.36,0.005,1.362
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,4096,10,1,16,1,32,2005.09,0.085,0.003,3077.95,0.007,1.425
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,4096,10,1,32,1,32,2012.71,0.09,0.003,3150.79,0.005,1.375
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,4096,10,1,64,1,32,2018.2,0.088,0.003,3003.65,0.007,1.349
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,4096,10,1,128,1,32,1913.08,0.114,0.002,3044.97,0.006,1.163
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,4096,10,1,256,1,32,1885.45,0.1,0.002,3018.75,0.011,1.118
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,4096,10,1,512,1,32,1886.09,0.096,0.002,3080.86,0.011,1.078
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,4096,10,1,1024,1,32,1885.48,0.102,0.002,3142.32,0.012,1.111
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,4096,10,2,1,1,32,1889.19,0.101,0.002,3378.48,0.005,1.141
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,4096,10,2,2,1,32,1883.85,0.097,0.002,3189.47,0.013,1.274
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,4096,10,2,4,1,32,1883.49,0.099,0.002,3099.91,0.006,1.182
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,4096,10,2,8,1,32,1882.33,0.098,0.002,3064.77,0.013,2.13
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,4096,10,2,16,1,32,1884,0.098,0.002,3065.39,0.013,1.255
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,4096,10,2,32,1,32,1882.73,0.101,0.002,3041.08,0.01,1.042
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,4096,10,2,64,1,32,1886.79,0.095,0.002,3033.21,0.013,1.118
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,4096,10,2,128,1,32,1882.65,0.1,0.002,3015.38,0.01,1.036
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,4096,10,2,256,1,32,1886.83,0.098,0.002,3003.74,0.013,1.144
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,4096,10,2,512,1,32,1883.11,0.094,0.002,3035.16,0.011,1.029
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,4096,10,4,1,1,32,1882.41,0.098,0.002,3155.49,0.013,2.177
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,4096,10,4,2,1,32,1885.13,0.1,0.002,3076.69,0.013,1.803
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,4096,10,4,4,1,32,1882.33,0.097,0.001,3031.36,0.017,2.101
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,4096,10,4,8,1,32,1891.66,0.104,0.002,3008.99,0.014,2.038
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,4096,10,4,16,1,32,1878.23,0.097,0.003,2996.74,0.014,1.828
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,4096,10,4,32,1,32,1971.35,0.118,0.002,2983.83,0.015,1.184
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,4096,10,4,64,1,32,2057.72,0.117,0.003,3029.66,0.011,1.165
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,4096,10,4,128,1,32,2571.58,0.114,0.002,2994.28,0.015,1.218
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,4096,10,4,256,1,32,2405.24,0.11,0.001,3041.29,0.011,1.215
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,4096,10,8,1,1,32,2028.91,0.112,0.004,3064.25,0.015,2.448
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,4096,10,8,2,1,32,2369.92,0.107,0.002,3086.09,0.014,2.062
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,4096,10,8,4,1,32,2511.96,0.106,0.001,2993.42,0.013,1.451
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,4096,10,8,8,1,32,2499.05,0.114,0.002,2964.6,0.014,1.287
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,4096,10,8,16,1,32,2633.39,0.11,0.002,2964.06,0.013,2.074
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,4096,10,8,32,1,32,2577.21,0.11,0.002,2970.13,0.008,1.197
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,4096,10,8,64,1,32,2657.57,0.118,0.002,3007.68,0.011,1.091
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,4096,10,8,128,1,32,2803.05,0.127,0.003,3013.88,0.013,1.159
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,4096,10,16,1,1,32,2704.76,0.125,0.003,3018.62,0.017,1.478
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,4096,10,16,2,1,32,2642.54,0.127,0.004,2991.22,0.014,1.403
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,4096,10,16,4,1,32,2475.34,0.104,0.001,2660.08,0.009,2.772
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,4096,10,16,8,1,32,2546.55,0.084,0.002,2680.25,0.007,1.261
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,4096,10,16,16,1,32,2465.44,0.087,0.002,2578.24,0.006,1.149
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,4096,10,16,32,1,32,2497.46,0.086,0.002,2920.9,0.012,1.267
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,4096,10,16,64,1,32,2558.65,0.119,0.002,2964.33,0.009,1.283
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,4096,10,32,1,1,32,2134.37,0.119,0.002,2961.38,0.016,1.54
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,4096,10,32,2,1,32,2035.44,0.111,0.002,2776.66,0.014,1.443
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,4096,10,32,4,1,32,2115.82,0.125,0.005,2986.95,0.011,1.304
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,4096,10,32,8,1,32,2337.27,0.126,0.003,3061.76,0.013,2.057
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,4096,10,32,16,1,32,2158.78,0.105,0.002,3189.25,0.007,2.236
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,4096,10,32,32,1,32,2194.1,0.103,0.003,2882.13,0.009,1.649
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,4096,10,64,1,1,32,2070.56,0.109,0.002,3118.86,0.014,1.855
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,4096,10,64,2,1,32,2166.98,0.104,0.002,2832.46,0.011,1.787
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,4096,10,64,4,1,32,2176.46,0.111,0.002,2953.6,0.012,1.777
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,4096,10,64,8,1,32,2112.95,0.104,0.002,3036.57,0.008,1.553
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,4096,10,64,16,1,32,2269.58,0.105,0.002,2830.05,0.01,2.577
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,4096,10,128,1,1,32,2266.52,0.138,0.005,2758.37,0.017,2.204
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,4096,10,128,2,1,32,2179.38,0.11,0.002,2857.38,0.034,1.479
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,4096,10,128,4,1,32,2171.5,0.11,0.002,2878.93,0.01,4.254
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,4096,10,128,8,1,32,2262.77,0.102,0.002,2629.59,0.012,6.989
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,4096,10,256,1,1,32,3982.09,0.141,0.003,3150.62,0.011,6.575
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,4096,10,256,2,1,32,3654.8,0.118,0.002,3176.32,0.007,6.62
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,4096,10,256,4,1,32,3187.01,0.117,0.002,2659.93,0.01,26.439
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,4096,10,512,1,1,32,2246.82,0.123,0.002,2704.81,0.015,8.463
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,4096,10,512,2,1,32,2255.51,0.087,0.003,2595.41,0.011,6.995
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,4096,10,1024,1,1,32,2380.59,0.08,0.002,2642.27,0.011,8.894
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,4096,10,1,1,1,32,1710.57,0.115,0.003,3614.86,0.007,1.289
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,4096,10,1,2,1,32,1708.01,0.084,0.003,3269.48,0.008,1.163
Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,4096,10,1,4,1,32,1783.22,0.106,0.004,3170.8,0.013,2.408
